@relation antA-weka.filters.supervised.instance.Resample-B1.0-S1-Z38.755556-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
4,4,1,3,1,2,11,0,0.666667,4.5,FALSE
20,1,0,1,1,2,1,0,1,0,FALSE
5,2,1,0,2,2,2,0,0.75,0,FALSE
9,9,3,4,2,2,23,0,0.666667,6.666667,FALSE
6,14,1,5,2,2,44,0,1,21,FALSE
10,5,10,0,5,2,5,0,0.533333,0,FALSE
9,9,1,4,2,2,31,0,0.666667,14.5,FALSE
5,14,91,0,14,2,14,0,0.271429,0,FALSE
22,29,0,18,16,0,135,0,0.125,7.375,FALSE
7,17,0,7,5,0.5,75,0,0.8,13.4,FALSE
193,26,0,1,14,0.384615,153,1,0.333333,9.785714,FALSE
5,17,0,5,3,0,91,0,1,29,FALSE
6,8,0,0,7,0,89,0,0.428571,11.571429,FALSE
11,38,11,8,10,0.683333,287,3,0.287879,24.545455,FALSE
7,28,20,5,12,0.809524,183,2,0.3,12.538462,FALSE
5,6,15,1,6,2,6,0,0.444444,0,FALSE
5,68,181,3,17,0.806818,462,0,0.140909,18.73913,FALSE
4,13,0,4,5,0.5,65,0,0.8,11.6,FALSE
32,9,3,4,2,2,23,0,0.666667,6.666667,FALSE
11,41,67,8,11,0.846154,366,1,0.223214,24.714286,FALSE
3,17,0,1,3,0.25,196,0,0.666667,63,FALSE
3,11,3,0,7,0.583333,53,0,0.714286,6.285714,FALSE
8,20,3,7,2,1,150,0,0.5,48,FALSE
9,24,10,9,3,2,137,0,0.4,26.4,FALSE
4,37,0,1,1,0.766234,340,0,0.818182,26.166667,FALSE
11,36,0,11,10,0.694444,236,1,0.45,22.2,FALSE
9,34,10,9,7,0.729167,214,0,0.3125,22.111111,FALSE
3,8,0,0,7,0,147,0,0.342857,19.857143,FALSE
6,2,0,0,1,2,5,0,1,4,FALSE
7,14,0,3,2,0.25,92,1,0.555556,29,FALSE
3,1,0,1,1,2,1,0,1,0,FALSE
11,37,11,8,10,0.683333,285,3,0.287879,24.363636,FALSE
9,29,0,9,9,0.583333,168,1,0.444444,17.333333,FALSE
18,56,97,13,12,0.814815,406,2,0.190789,19.894737,FALSE
5,22,1,5,6,0.7,137,0,0.416667,21.166667,FALSE
25,78,218,21,17,0.914783,1203,0,0.322981,48.083333,FALSE
0,4,3,0,3,2,20,0,0.5,5.666667,FALSE
2,20,21,2,9,0.6,132,0,0.4,11.7,FALSE
13,48,58,13,12,0.786667,485,2,0.25,28.6875,FALSE
15,66,78,7,12,1.083333,476,0,0.207692,35.461538,FALSE
13,65,2,13,6,0.916667,608,0,0.333333,73.5,FALSE
15,103,609,6,24,0.886364,1377,1,0.184211,33.74359,FALSE
9,33,3,9,8,0.722222,145,1,0.4,13.1,FALSE
5,15,1,5,1,2,67,0,1,32.5,FALSE
5,4,6,1,4,2,4,0,0.875,0,FALSE
30,46,65,3,17,0.416667,448,0,0.289474,22.473684,FALSE
3,38,84,2,16,0.674074,541,2,0.25,32.25,FALSE
23,69,81,12,14,0.856481,517,4,0.183333,25.578947,FALSE
3,10,0,3,6,0.4,52,1,0.375,7.333333,FALSE
11,46,10,11,1,2,587,0,0.6,116.4,FALSE
6,16,0,6,4,0.333333,46,0,0.625,10.25,FALSE
35,11,4,2,5,0.25,54,0,0.533333,9.6,FALSE
3,4,1,2,1,2,19,0,1,8,FALSE
9,29,0,8,5,0.571429,179,0,0.375,21,FALSE
7,35,4,7,7,0.714286,265,0,0.46875,31.375,FALSE
18,23,0,16,16,0,110,0,0.114583,5.055556,FALSE
12,15,13,4,11,0.75,97,3,0.220779,7.272727,FALSE
18,37,0,6,11,0.454545,164,1,0.416667,12.5,FALSE
5,9,0,2,3,0,47,0,0.666667,14.333333,FALSE
24,81,147,8,7,0.861111,560,1,0.171296,28.157895,FALSE
3,24,11,3,4,0.8,151,0,0.5,23.833333,FALSE
4,13,0,3,4,0,87,0,0.75,20.5,FALSE
9,31,0,5,6,0.428571,181,0,0.3125,21.375,FALSE
8,22,0,3,7,0.542857,141,1,0.34375,16,FALSE
9,26,0,4,7,0.666667,263,0,0.342857,36,FALSE
2,5,0,1,3,0,34,1,0.5,10,FALSE
14,89,301,13,30,0.935532,844,2,0.207407,26.366667,FALSE
23,3,3,0,3,2,3,0,1,0,FALSE
5,53,0,4,9,0.819444,396,1,0.238095,42,FALSE
6,9,0,2,3,0,47,0,0.666667,14.333333,FALSE
5,4,6,1,4,2,4,0,0.5,0,FALSE
4,18,14,1,4,0.65625,88,0,0.518519,8.333333,FALSE
20,41,0,7,13,0.461538,174,1,0.392857,11.285714,FALSE
2,13,6,1,4,2,45,0,0.625,10.25,FALSE
13,5,10,0,5,2,5,0,0.533333,0,FALSE
6,17,6,6,5,0.75,94,0,0.6,17.4,FALSE
1,18,0,0,3,0.5,96,0,0.533333,17.8,FALSE
10,47,73,8,12,0.865079,452,1,0.225,28.533333,FALSE
14,40,17,9,10,0.7,286,2,0.287879,24.545455,FALSE
14,23,68,2,12,0.697917,308,0,0.708333,22.076923,FALSE
6,14,2,5,4,0.666667,68,1,0.5,15.5,FALSE
13,73,128,13,14,0.85,737,3,0.301587,33.47619,FALSE
19,56,48,17,10,0.745455,757,4,0.19375,45.625,FALSE
6,21,0,6,4,0.333333,87,0,1,20.5,FALSE
1,0,0,0,0,2,7,0,0,0,FALSE
6,7,21,1,7,2,7,0,1,0,FALSE
19,10,3,5,3,2,38,0,0.583333,11.666667,FALSE
6,4,6,1,4,2,4,0,0.5,0,FALSE
11,31,0,5,8,0.693878,329,1,0.25,39.25,FALSE
