@relation antB

@attribute ﻿cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
7,42,148,7,15,0.91866,263,0,0.3875,11.6,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
63,15,14,2,9,0.4375,103,1,0.555556,10.222222,FALSE
6,29,0,5,7,0.688889,212,0,0.3,19.7,FALSE
0,2,0,0,1,2,16,0,1,3,TRUE
12,71,163,11,17,0.867347,783,5,0.251701,33.954545,TRUE
8,21,0,3,6,0.6,104,0,0.333333,16,FALSE
2,20,21,2,9,0.6,129,0,0.4,11.4,FALSE
18,12,10,2,4,2,62,0,0.533333,11.4,FALSE
2,4,1,2,1,2,20,0,0.75,9,FALSE
4,18,0,3,5,0.708333,126,0,0.47619,16.428571,FALSE
8,34,1,7,2,2,346,0,1,172,FALSE
69,3,3,0,3,2,3,0,1,0,FALSE
1,12,15,0,6,2,74,0,0.5,11.333333,FALSE
29,119,277,15,19,0.744444,900,0,0.207885,27.83871,TRUE
13,103,176,12,18,0.808184,1046,1,0.175,41.875,TRUE
15,130,434,14,23,0.940848,1220,2,0.328125,35.121212,FALSE
4,15,4,4,5,0.75,90,0,0.533333,16.4,FALSE
11,28,3,10,2,1.5,111,0,0.833333,35.666667,FALSE
2,15,1,2,2,2,73,0,0.75,35.5,FALSE
1,3,0,1,1,2,7,0,1,6,FALSE
12,42,54,7,8,0.791667,233,1,0.261538,16.615385,TRUE
6,29,6,6,1,1.166667,164,0,1,39.5,FALSE
2,7,4,0,3,0.666667,502,0,0.555556,124,FALSE
12,37,56,10,4,0.770833,269,2,0.205128,19.384615,FALSE
3,11,0,3,4,0,84,0,0.4375,19.75,FALSE
15,72,54,14,16,0.835,457,2,0.194444,20.285714,TRUE
5,3,3,2,3,1.5,8,0,0.666667,0,FALSE
3,19,3,3,1,2,83,0,0.666667,26.666667,FALSE
29,123,2700,17,68,0.977952,1021,6,0.205937,11.779221,TRUE
4,1,0,0,1,2,1,0,1,0,FALSE
5,10,0,4,4,0.333333,36,0,0.4375,7.75,FALSE
3,20,15,3,5,2,106,0,0.555556,16.666667,FALSE
9,51,28,4,12,0.546875,344,2,0.294118,18.764706,TRUE
5,9,0,1,4,0.333333,27,0,0.625,5.5,FALSE
8,45,15,7,11,0.566667,279,2,0.327273,24.090909,TRUE
8,49,54,7,7,0.84375,450,0,0.346154,33,TRUE
