@relation antA-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z162.162162

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
8,41,33,8,10,0.760684,385,2,0.357143,25.857143,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
8,1,0,2,1,2,3,0,1,0,FALSE
3,19,8,1,9,0.53125,119,0,0.518519,11.777778,FALSE
15,109,395,13,13,0.869732,929,4,0.211207,29.666667,FALSE
19,40,223,19,23,0.045455,179,0,0.093822,6.73913,FALSE
31,5,10,0,5,2,5,0,0.533333,0,FALSE
13,73,128,13,14,0.85,737,3,0.301587,33.47619,FALSE
117,37,179,7,17,0.818182,255,4,0.246377,9.73913,FALSE
7,15,1,1,4,0.583333,92,1,0.464286,11.571429,FALSE
6,46,10,6,7,0.771429,394,0,0.375,47.625,FALSE
9,20,1,8,2,2,132,0,1,65,FALSE
3,37,41,2,14,0.696429,437,1,0.311111,27.333333,FALSE
1,3,0,0,1,2,6,0,1,5,FALSE
3,9,3,2,2,2,48,0,0.666667,15,FALSE
1,18,0,1,1,1.242424,274,0,0.5,79.333333,FALSE
19,40,223,19,23,0.045455,179,0,0.093822,6.73913,FALSE
14,37,19,13,9,0.75,317,1,0.327273,27.272727,FALSE
7,15,1,1,4,0.583333,92,1,0.464286,11.571429,FALSE
15,8,3,3,6,0.4,39,0,0.5,5.333333,FALSE
14,39,19,13,9,0.75,332,1,0.327273,28.636364,FALSE
10,60,145,9,26,0.648352,401,4,0.314815,13.592593,FALSE
3,25,4,2,1,0.333333,183,0,0.583333,44.25,FALSE
14,39,19,13,9,0.75,332,1,0.327273,28.636364,FALSE
3,37,41,2,14,0.696429,437,1,0.311111,27.333333,FALSE
7,40,129,7,16,0.936508,252,0,0.381579,11.526316,FALSE
5,7,1,4,3,0.5,29,0,0.666667,8.333333,FALSE
3,63,297,2,10,0.778846,527,2,0.37963,18.222222,FALSE
6,8,0,0,7,0,89,0,0.428571,11.571429,FALSE
6,8,0,0,7,0,89,0,0.428571,11.571429,FALSE
6,21,28,3,6,1,70,0,0.175,7.625,FALSE
6,26,0,5,5,0.571429,164,0,0.375,19.125,FALSE
6,38,3,5,1,2,198,0,0.555556,65,FALSE
9,20,1,8,2,2,132,0,1,65,FALSE
8,20,3,7,2,1,151,0,0.5,48.333333,FALSE
1,3,0,0,1,2,6,0,1,5,FALSE
3,10,0,3,6,0.4,52,1,0.375,7.333333,FALSE
7,8,0,0,7,0,89,0,0.428571,11.571429,FALSE
6,38,3,5,1,2,198,0,0.555556,65,FALSE
1,2,0,1,1,2,4,0,1,3,FALSE
5,7,1,4,3,0.5,29,0,0.666667,8.333333,FALSE
3,30,27,2,5,0.761905,245,1,0.283333,22.8,FALSE
11,33,0,5,6,0.428571,181,0,0.3125,21.375,FALSE
1,0,0,0,0,2,48,0,0,0,FALSE
11,31,0,5,8,0.693878,329,1,0.25,39.25,FALSE
6,33,0,5,2,0.333333,157,1,0.533333,37.5,FALSE
6,46,10,6,7,0.771429,394,0,0.375,47.625,FALSE
3,9,3,2,2,2,48,0,0.666667,15,FALSE
3,38,84,2,16,0.674074,541,2,0.25,32.25,FALSE
3,26,0,2,7,0.5,218,0,0.47619,29.571429,FALSE
9,20,1,8,2,2,132,0,1,65,FALSE
10,33,0,10,6,0.6,511,0,0.555556,83.5,FALSE
15,109,395,13,13,0.869732,929,4,0.211207,29.666667,FALSE
19,40,223,19,23,0.045455,179,0,0.093822,6.73913,FALSE
10,60,145,9,26,0.648352,401,4,0.314815,13.592593,FALSE
3,10,0,3,6,0.4,52,1,0.375,7.333333,FALSE
19,40,223,19,23,0.045455,179,0,0.093822,6.73913,FALSE
1,15,6,1,1,1.333333,49,0,1,11,FALSE
15,56,86,12,6,0.8,372,2,0.226667,22.0625,FALSE
19,87,105,19,21,0.773333,514,1,0.176923,18.538462,FALSE
3,63,297,2,10,0.778846,527,2,0.37963,18.222222,FALSE
