@relation arA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
7,6,FALSE
9,8,FALSE
21,12,FALSE
30,18,TRUE
8,5,FALSE
7,5,FALSE
22,9,FALSE
32,9,FALSE
14,8,FALSE
9,8,FALSE
3,4,FALSE
8,7,FALSE
7,7,FALSE
45,11,FALSE
10,5,FALSE
8,12,FALSE
10,11,FALSE
9,7,FALSE
6,7,TRUE
6,9,FALSE
8,4,FALSE
9,8,FALSE
21,8,FALSE
7,4,FALSE
6,4,FALSE
13,9,FALSE
20,6,FALSE
21,6,FALSE
22,7,FALSE
25,16,FALSE
33,17,FALSE
9,9,FALSE
4,5,FALSE
4,5,FALSE
3,5,FALSE
3,5,FALSE
3,5,FALSE
3,5,FALSE
11,12,TRUE
35,7,FALSE
22,13,FALSE
10,11,TRUE
21,9,TRUE
21,11,FALSE
10,7,FALSE
9,3,FALSE
19,9,TRUE
60,9,FALSE
10,8,FALSE
19,8,FALSE
36,7,FALSE
8,6,FALSE
3,2,FALSE
38,13,FALSE
54,13,FALSE
55,13,FALSE
14,5,FALSE
72,15,FALSE
7,3,FALSE
35,13,FALSE
37,15,FALSE
39,15,FALSE
13,4,FALSE
12,8,FALSE
4,6,FALSE
4,5,FALSE
27,9,FALSE
31,8,FALSE
8,3,FALSE
10,3,FALSE
79,10,FALSE
21,7,FALSE
34,11,FALSE
6,6,FALSE
26,9,FALSE
58,15,FALSE
36,11,FALSE
6,6,FALSE
26,9,FALSE
60,16,TRUE
4,4,FALSE
3,4,FALSE
3,4,FALSE
60,16,FALSE
48,11,FALSE
6,6,FALSE
26,9,FALSE
95,19,TRUE
32,11,FALSE
6,6,FALSE
26,9,FALSE
34,13,FALSE
38,11,FALSE
6,6,FALSE
26,9,FALSE
34,13,FALSE
40,11,FALSE
3,4,FALSE
4,5,FALSE
95,19,FALSE
40,11,FALSE
6,6,FALSE
26,9,FALSE
34,13,FALSE
12,15,FALSE
3,6,FALSE
18,15,FALSE
8,7,FALSE
2,2,FALSE
2,2,FALSE
2,2,FALSE
4,5,FALSE
2,2,FALSE
2,2,FALSE
2,2,FALSE
2,2,FALSE
32,11,FALSE
6,5,FALSE
6,6,FALSE
27,9,FALSE
51,17,TRUE
307,23,TRUE
3,6,FALSE
268,23,FALSE
11,4,FALSE
