@relation arA-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.97-no-replacement

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
91,5,FALSE
14,5,FALSE
82,12,FALSE
6,6,FALSE
7,6,FALSE
131,17,FALSE
10,3,FALSE
5,5,FALSE
12,8,FALSE
74,11,FALSE
34,13,FALSE
35,7,FALSE
19,8,FALSE
70,12,FALSE
29,10,FALSE
73,13,FALSE
3,5,FALSE
2,2,FALSE
58,15,FALSE
4,5,FALSE
82,11,FALSE
69,12,FALSE
12,8,FALSE
11,4,FALSE
71,14,FALSE
18,15,FALSE
25,6,FALSE
76,19,FALSE
7,5,FALSE
21,5,FALSE
23,9,FALSE
23,10,FALSE
32,11,FALSE
128,16,FALSE
10,8,FALSE
26,9,FALSE
22,9,FALSE
191,22,TRUE
86,11,TRUE
47,17,TRUE
324,21,TRUE
142,17,TRUE
333,18,TRUE
19,9,TRUE
181,24,TRUE
27,9,TRUE
18,6,TRUE
89,20,TRUE
50,14,TRUE
30,18,TRUE
95,19,TRUE
244,17,TRUE
252,20,TRUE
907,20,TRUE
60,16,TRUE
52,17,TRUE
173,31,TRUE
51,17,TRUE
89,18,TRUE
6,7,TRUE
161,11,TRUE
10,11,TRUE
269,26,TRUE
445,19,TRUE
11,12,TRUE
21,9,TRUE
307,23,TRUE
240,19,TRUE
114,12,TRUE
43,14,TRUE
103,17,TRUE
250,28,TRUE
181,6,TRUE
670,27,TRUE
