"X","total_loc","blank_loc","comment_loc","code_and_comment_loc","executable_loc","unique_operands","unique_operators","total_operands","total_operators","halstead_vocabulary","halstead_length","halstead_volume","halstead_level","halstead_difficulty","halstead_effort","halstead_error","halstead_time","branch_count","decision_count","call_pairs","condition_count","multiple_condition_count","cyclomatic_complexity","cyclomatic_density","decision_density","design_complexity","design_density","normalized_cyclomatic_complexity","formal_parameters","Faultiness","Original.Release","Order"
1,7,0,4,0,3,8,6,10,12,14,22,58,0.27,3.7,214.81,0.02,11.93,0,0,0,0,0,1,0.33,0,0,0,0.14,0,FALSE,"ar1","FIRST"
2,9,0,1,0,8,7,8,15,20,15,35,94,0.12,8.33,783.33,0.03,43.52,2,1,0,0,0,2,0.25,0,0,0,0.22,0,FALSE,"ar1","FIRST"
3,21,0,14,1,7,15,12,21,36,27,57,187,0.12,8.33,1558.33,0.06,86.57,8,4,1,4,1,4,0.57,1,1,0.25,0.19,0,FALSE,"ar1","FIRST"
4,30,0,11,0,19,16,18,50,70,34,120,423,0.04,25,10575,0.14,587.5,20,10,1,9,2,9,0.47,1.11,1,0.11,0.3,0,TRUE,"ar1","FIRST"
5,8,0,2,0,6,4,5,5,10,9,15,32,0.32,3.13,100,0.01,5.56,2,1,1,1,0,2,0.33,1,1,0.5,0.25,0,FALSE,"ar1","FIRST"
6,7,0,1,0,6,4,5,4,11,9,15,32,0.4,2.5,80,0.01,4.44,2,1,2,0,0,2,0.33,0,2,1,0.29,0,FALSE,"ar1","FIRST"
7,22,0,5,0,17,15,9,38,50,24,88,279,0.09,11.11,3100,0.09,172.22,16,8,0,8,4,5,0.29,1,0,0,0.23,0,FALSE,"ar1","FIRST"
8,32,0,10,0,22,19,9,26,46,28,72,239,0.16,6.25,1493.75,0.08,82.99,16,8,3,8,2,7,0.32,1,3,0.43,0.22,0,FALSE,"ar1","FIRST"
9,14,0,5,0,9,13,8,22,30,21,52,158,0.15,6.67,1053.33,0.05,58.52,4,2,3,2,1,2,0.22,1,3,1.5,0.14,0,FALSE,"ar1","FIRST"
10,9,0,1,0,8,8,8,10,18,16,28,77,0.2,5,385,0.03,21.39,4,2,0,2,0,3,0.38,1,0,0,0.33,0,FALSE,"ar1","FIRST"
11,3,0,0,0,3,3,4,3,5,7,8,15,0.5,2,30,0.01,1.67,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE,"ar1","FIRST"
12,8,0,0,0,8,7,7,8,14,14,22,58,0.25,4,232,0.02,12.89,4,2,0,2,1,2,0.25,1,0,0,0.25,1,FALSE,"ar1","FIRST"
13,7,0,1,0,6,8,7,10,16,15,26,70,0.23,4.35,304.35,0.02,16.91,2,1,0,1,0,2,0.33,1,0,0,0.29,0,FALSE,"ar1","FIRST"
14,45,0,16,0,29,22,11,40,65,33,105,367,0.1,10,3670,0.12,203.89,18,9,4,9,2,7,0.24,1,4,0.57,0.16,0,FALSE,"ar1","FIRST"
15,10,0,5,1,5,6,5,7,16,11,23,55,0.34,2.94,161.76,0.02,8.99,6,3,3,3,1,3,0.6,1,3,1,0.3,0,FALSE,"ar1","FIRST"
16,8,0,0,0,8,6,12,14,22,18,36,104,0.07,14.29,1485.71,0.03,82.54,2,1,0,0,0,2,0.25,0,0,0,0.25,1,FALSE,"ar1","FIRST"
17,10,0,1,0,9,9,11,17,29,20,46,137,0.1,10,1370,0.05,76.11,2,1,3,0,0,2,0.22,0,3,1.5,0.2,1,FALSE,"ar1","FIRST"
18,9,0,2,0,7,6,7,9,18,13,27,69,0.19,5.26,363.16,0.02,20.18,4,2,2,2,1,2,0.29,1,2,1,0.22,0,FALSE,"ar1","FIRST"
19,6,0,0,0,6,9,7,21,23,16,44,121,0.12,8.33,1008.33,0.04,56.02,0,0,4,0,0,1,0.17,0,4,4,0.17,0,TRUE,"ar1","FIRST"
20,6,0,0,0,6,9,9,22,32,18,54,156,0.09,11.11,1733.33,0.05,96.3,0,0,0,0,0,1,0.17,0,0,0,0.17,1,FALSE,"ar1","FIRST"
21,8,0,3,0,5,5,4,5,9,9,14,30,0.5,2,60,0.01,3.33,0,0,3,0,0,1,0.2,0,3,3,0.13,0,FALSE,"ar1","FIRST"
22,9,0,2,0,7,7,8,9,15,15,24,64,0.19,5.26,336.84,0.02,18.71,2,1,0,1,0,2,0.29,1,0,0,0.22,1,FALSE,"ar1","FIRST"
23,21,0,2,0,19,16,8,36,47,24,83,263,0.11,9.09,2390.91,0.09,132.83,8,4,4,4,0,5,0.26,1,4,0.8,0.24,0,FALSE,"ar1","FIRST"
24,7,0,0,0,7,8,4,8,11,12,19,47,0.5,2,94,0.02,5.22,0,0,1,0,0,1,0.14,0,1,1,0.14,0,FALSE,"ar1","FIRST"
25,6,0,0,0,6,7,4,7,9,11,16,38,0.5,2,76,0.01,4.22,0,0,0,0,0,1,0.17,0,0,0,0.17,0,FALSE,"ar1","FIRST"
26,13,0,0,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,0.06,84.34,2,1,0,0,0,2,0.15,0,0,0,0.15,0,FALSE,"ar1","FIRST"
27,20,0,0,0,20,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,10,5,0,5,1,4,0.2,1,0,0,0.2,1,FALSE,"ar1","FIRST"
28,21,0,0,0,21,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,10,5,0,5,1,4,0.19,1,0,0,0.19,1,FALSE,"ar1","FIRST"
29,22,0,6,0,16,14,7,20,33,21,53,161,0.2,5,805,0.05,44.72,10,5,0,5,1,4,0.25,1,0,0,0.18,1,FALSE,"ar1","FIRST"
30,25,0,10,0,15,18,16,40,58,34,98,345,0.06,16.67,5750,0.12,319.44,14,7,1,6,1,7,0.47,1.17,1,0.14,0.28,0,FALSE,"ar1","FIRST"
31,33,0,14,0,19,17,17,45,62,34,107,377,0.04,25,9425,0.13,523.61,12,6,2,5,1,6,0.32,1.2,2,0.33,0.18,0,FALSE,"ar1","FIRST"
32,9,0,3,0,6,5,9,8,15,14,23,60,0.14,7.14,428.57,0.02,23.81,4,2,0,2,0,3,0.5,1,0,0,0.33,0,FALSE,"ar1","FIRST"
33,4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,FALSE,"ar1","FIRST"
34,4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,FALSE,"ar1","FIRST"
35,3,0,0,0,3,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE,"ar1","FIRST"
36,3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE,"ar1","FIRST"
37,3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE,"ar1","FIRST"
38,3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE,"ar1","FIRST"
39,11,0,1,0,10,9,12,17,25,21,42,127,0.09,11.11,1411.11,0.04,78.4,4,2,0,1,0,3,0.3,2,0,0,0.27,0,TRUE,"ar1","FIRST"
40,35,0,29,0,6,31,7,35,40,38,75,272,0.25,4,1088,0.09,60.44,0,0,5,0,0,1,0.17,0,5,5,0.03,0,FALSE,"ar1","FIRST"
41,22,0,9,1,13,13,13,27,47,26,74,241,0.07,14.29,3442.86,0.08,191.27,12,6,1,5,1,6,0.46,1.2,1,0.17,0.27,0,FALSE,"ar1","FIRST"
42,10,0,2,0,8,8,11,14,24,19,38,111,0.1,10,1110,0.04,61.67,6,3,0,2,0,4,0.5,1.5,0,0,0.4,0,TRUE,"ar1","FIRST"
43,21,0,7,0,14,11,9,25,39,20,64,191,0.1,10,1910,0.06,106.11,10,5,0,5,2,4,0.29,1,0,0,0.19,0,TRUE,"ar1","FIRST"
44,21,0,5,0,16,17,11,40,50,28,90,299,0.08,12.5,3737.5,0.1,207.64,4,2,6,0,0,3,0.19,0,6,2,0.14,0,FALSE,"ar1","FIRST"
45,10,0,3,0,7,9,7,16,18,16,34,94,0.16,6.25,587.5,0.03,32.64,0,0,2,0,0,1,0.14,0,2,2,0.1,1,FALSE,"ar1","FIRST"
46,9,0,4,0,5,4,3,4,9,7,13,25,0.67,1.49,37.31,0.01,2.07,0,0,3,0,0,1,0.2,0,3,3,0.11,0,FALSE,"ar1","FIRST"
47,19,0,7,0,12,15,9,19,31,24,50,158,0.18,5.56,877.78,0.05,48.77,10,5,2,5,2,4,0.33,1,2,0.5,0.21,0,TRUE,"ar1","FIRST"
48,60,9,30,0,21,33,9,40,70,42,110,411,0.18,5.56,2283.33,0.14,126.85,10,5,19,4,1,5,0.24,1.25,19,3.8,0.08,0,FALSE,"ar1","FIRST"
49,10,0,0,0,10,7,8,16,21,15,37,100,0.11,9.09,909.09,0.03,50.51,2,1,0,0,0,2,0.2,0,0,0,0.2,0,FALSE,"ar1","FIRST"
50,19,1,4,0,14,10,8,15,27,18,42,121,0.17,5.88,711.76,0.04,39.54,4,2,5,1,0,3,0.21,2,5,1.67,0.16,0,FALSE,"ar1","FIRST"
51,36,4,5,0,27,15,7,41,59,22,100,309,0.1,10,3090,0.1,171.67,10,5,11,0,0,6,0.22,0,11,1.83,0.17,0,FALSE,"ar1","FIRST"
52,8,0,3,0,5,6,6,7,11,12,18,44,0.29,3.45,151.72,0.01,8.43,4,2,1,1,0,3,0.6,2,1,0.33,0.38,1,FALSE,"ar1","FIRST"
53,3,0,0,0,3,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE,"ar1","FIRST"
54,38,0,13,1,25,23,13,47,68,36,115,412,0.08,12.5,5150,0.14,286.11,10,5,9,3,1,5,0.2,1.67,9,1.8,0.13,0,FALSE,"ar1","FIRST"
55,54,0,19,0,35,40,13,79,112,53,191,758,0.08,12.5,9475,0.25,526.39,24,12,4,9,1,11,0.31,1.33,4,0.36,0.2,0,FALSE,"ar1","FIRST"
56,55,0,13,0,42,43,13,79,108,56,187,752,0.08,12.5,9400,0.25,522.22,20,10,3,8,2,7,0.17,1.25,3,0.43,0.13,1,FALSE,"ar1","FIRST"
57,14,2,8,0,4,15,5,19,22,20,41,122,0.32,3.13,381.25,0.04,21.18,0,0,5,0,0,1,0.25,0,5,5,0.07,0,FALSE,"ar1","FIRST"
58,72,0,23,1,49,47,15,109,158,62,267,1101,0.06,16.67,18350,0.37,1019.44,32,16,10,11,2,13,0.27,1.45,10,0.77,0.18,1,FALSE,"ar1","FIRST"
59,7,0,4,0,3,5,3,7,9,8,16,33,0.48,2.08,68.75,0.01,3.82,0,0,3,0,0,1,0.33,0,3,3,0.14,0,FALSE,"ar1","FIRST"
60,35,0,13,0,22,28,13,49,71,41,120,445,0.09,11.11,4944.44,0.15,274.69,14,7,4,4,1,6,0.27,1.75,4,0.67,0.17,0,FALSE,"ar1","FIRST"
61,37,0,13,1,24,33,15,56,79,48,135,522,0.08,12.5,6525,0.17,362.5,12,6,6,4,1,5,0.21,1.5,6,1.2,0.14,1,FALSE,"ar1","FIRST"
62,39,0,14,1,25,34,15,62,88,49,150,583,0.07,14.29,8328.57,0.19,462.7,14,7,7,4,1,6,0.24,1.75,7,1.17,0.15,1,FALSE,"ar1","FIRST"
63,13,0,9,0,4,7,4,15,17,11,32,76,0.23,4.35,330.43,0.03,18.36,0,0,4,0,0,1,0.25,0,4,4,0.08,0,FALSE,"ar1","FIRST"
64,12,0,4,0,8,9,8,13,22,17,35,99,0.17,5.88,582.35,0.03,32.35,2,1,2,0,0,2,0.25,0,2,1,0.17,0,FALSE,"ar1","FIRST"
65,4,0,0,0,4,4,6,6,7,10,13,29,0.22,4.55,131.82,0.01,7.32,0,0,0,0,0,1,0.25,0,0,0,0.25,2,FALSE,"ar1","FIRST"
66,4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,FALSE,"ar1","FIRST"
67,27,0,10,0,17,15,9,36,48,24,84,266,0.09,11.11,2955.56,0.09,164.2,8,4,5,4,1,4,0.24,1,5,1.25,0.15,0,FALSE,"ar1","FIRST"
68,31,0,11,0,20,17,8,46,66,25,112,360,0.09,11.11,4000,0.12,222.22,8,4,12,0,0,5,0.25,0,12,2.4,0.16,0,FALSE,"ar1","FIRST"
69,8,0,0,0,8,6,3,7,13,9,20,43,0.57,1.75,75.44,0.01,4.19,0,0,5,0,0,1,0.13,0,5,5,0.13,0,FALSE,"ar1","FIRST"
70,10,0,7,0,3,7,3,7,15,10,22,50,0.67,1.49,74.63,0.02,4.15,0,0,6,0,0,1,0.33,0,6,6,0.1,0,FALSE,"ar1","FIRST"
71,79,5,26,2,48,34,10,70,110,44,180,681,0.1,10,6810,0.23,378.33,24,12,7,12,4,9,0.19,1,7,0.78,0.11,0,FALSE,"ar1","FIRST"
72,21,2,9,0,10,9,7,15,27,16,42,116,0.17,5.88,682.35,0.04,37.91,4,2,3,2,0,3,0.3,1,3,1,0.14,0,FALSE,"ar1","FIRST"
73,34,0,5,0,29,18,11,35,58,29,93,313,0.09,11.11,3477.78,0.1,193.21,22,11,0,11,1,10,0.34,1,0,0,0.29,0,FALSE,"ar1","FIRST"
74,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE,"ar1","FIRST"
75,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE,"ar1","FIRST"
76,58,0,8,0,50,26,15,66,108,41,174,646,0.05,20,12920,0.22,717.78,36,18,9,18,4,14,0.28,1,9,0.64,0.24,1,FALSE,"ar1","FIRST"
77,36,0,5,0,31,20,11,37,60,31,97,333,0.1,10,3330,0.11,185,26,13,0,13,1,12,0.39,1,0,0,0.33,0,FALSE,"ar1","FIRST"
78,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE,"ar1","FIRST"
79,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE,"ar1","FIRST"
80,60,0,8,0,52,26,16,71,114,42,185,691,0.05,20,13820,0.23,767.78,38,19,9,19,4,15,0.29,1,9,0.6,0.25,1,TRUE,"ar1","FIRST"
81,4,0,2,0,2,5,4,5,7,9,12,26,0.5,2,52,0.01,2.89,0,0,0,0,0,1,0.5,0,0,0,0.25,0,FALSE,"ar1","FIRST"
