total_loc	blank_loc	comment_loc	code_and_comment_loc	executable_loc	unique_operands	unique_operators	total_operands	total_operators	halstead_vocabulary	halstead_length	halstead_volume	halstead_level	halstead_difficulty	halstead_effort	halstead_error	halstead_time	branch_count	decision_count	call_pairs	condition_count	multiple_condition_count	cyclomatic_complexity	cyclomatic_density	decision_density	design_complexity	design_density	normalized_cyclomatic_complexity	formal_parameters	Faultiness
32	11	3	0	18	7	16	20	42	23	62	194	0.04375	22.8571	4434.2857	0.064667	246.3492	10	5	0	4	1	5	0.27778	1.25	0	0	0.15625	2	FALSE
71	27	9	0	35	19	16	53	80	35	133	472	0.044811	22.3158	10533.0526	0.15733	585.1696	12	6	0	5	1	6	0.17143	1.2	0	0	0.084507	0	FALSE
79	40	5	0	34	23	10	52	79	33	131	458	0.088462	11.3043	5177.3913	0.15267	287.6329	18	9	2	9	2	8	0.23529	1	2	0.25	0.10127	0	FALSE
19	8	0	0	11	8	14	19	29	22	48	148	0.06015	16.625	2460.5	0.049333	136.6944	4	2	0	1	0	3	0.27273	2	0	0	0.15789	2	FALSE
119	59	13	0	47	20	23	68	107	43	175	658	0.025575	39.1	25727.8	0.21933	1429.3222	22	11	2	10	2	10	0.21277	1.1	2	0.2	0.084034	0	FALSE
9	2	0	0	7	5	6	6	11	11	17	40	0.27778	3.6	144	0.013333	8	2	1	1	1	0	2	0.28571	1	1	0.5	0.22222	0	FALSE
82	26	9	0	47	55	12	91	132	67	223	937	0.10073	9.9273	9301.8545	0.31233	516.7697	20	10	20	4	1	10	0.21277	2.5	20	2	0.12195	0	FALSE
16	6	2	1	8	13	6	18	20	19	38	111	0.24074	4.1538	461.0769	0.037	25.6154	2	1	1	0	0	2	0.25	0	1	0.5	0.125	1	FALSE
31	12	3	2	16	18	9	31	42	27	73	240	0.12903	7.75	1860	0.08	103.3333	10	5	1	5	0	6	0.375	1	1	0.16667	0.19355	0	FALSE
477	104	89	2	284	150	29	482	699	179	1181	6126	0.021462	46.5933	285430.76	2.042	15857.2644	236	118	4	116	25	93	0.32746	1.0172	4	0.043011	0.19497	0	TRUE
11	2	0	0	9	10	4	15	17	14	32	84	0.33333	3	252	0.028	14	0	0	2	0	0	1	0.11111	0	2	2	0.090909	0	FALSE
9	2	0	0	7	7	4	11	13	11	24	57	0.31818	3.1429	179.1429	0.019	9.9524	0	0	1	0	0	1	0.14286	0	1	1	0.11111	0	FALSE
10	2	0	0	8	7	4	13	15	11	28	67	0.26923	3.7143	248.8571	0.022333	13.8254	0	0	2	0	0	1	0.125	0	2	2	0.1	0	FALSE
5	0	0	0	5	5	3	5	9	8	14	29	0.66667	1.5	43.5	0.0096667	2.4167	0	0	3	0	0	1	0.2	0	3	3	0.2	0	FALSE
28	5	1	0	22	18	12	49	53	30	102	346	0.061224	16.3333	5651.3333	0.11533	313.963	8	4	2	3	1	4	0.18182	1.3333	2	0.5	0.14286	1	FALSE
26	6	0	0	20	16	11	41	44	27	85	280	0.070953	14.0938	3946.25	0.093333	219.2361	4	2	2	1	0	3	0.15	2	2	0.66667	0.11538	0	FALSE
15	4	0	0	11	11	5	19	22	16	41	113	0.23158	4.3182	487.9545	0.037667	27.1086	0	0	7	0	0	1	0.090909	0	7	7	0.066667	1	FALSE
22	4	1	0	17	17	9	25	36	26	61	198	0.15111	6.6176	1310.2941	0.066	72.7941	4	2	7	1	0	3	0.17647	2	7	2.3333	0.13636	2	FALSE
10	4	0	0	6	9	6	24	23	15	47	127	0.125	8	1016	0.042333	56.4444	0	0	3	0	0	1	0.16667	0	3	3	0.1	2	FALSE
23	5	1	0	17	15	10	43	58	25	101	325	0.069767	14.3333	4658.3333	0.10833	258.7963	16	8	4	8	4	5	0.29412	1	4	0.8	0.21739	1	FALSE
86	22	8	3	56	31	11	76	113	42	189	706	0.074163	13.4839	9519.6129	0.23533	528.8674	24	12	3	11	4	9	0.16071	1.0909	3	0.33333	0.10465	0	FALSE
115	17	1	1	97	35	16	154	204	51	358	1407	0.028409	35.2	49526.4	0.469	2751.4667	52	26	2	25	4	21	0.21649	1.04	2	0.095238	0.18261	0	FALSE
150	43	5	1	102	79	16	184	229	95	413	1880	0.053668	18.6329	35029.8734	0.62667	1946.1041	48	24	13	21	7	18	0.17647	1.1429	13	0.72222	0.12	0	TRUE
47	14	17	0	16	45	5	50	52	50	102	399	0.36	2.7778	1108.3333	0.133	61.5741	0	0	0	0	0	1	0.0625	0	0	0	0.021277	0	FALSE
35	13	15	0	7	26	4	29	31	30	60	204	0.44828	2.2308	455.0769	0.068	25.2821	0	0	0	0	0	1	0.14286	0	0	0	0.028571	0	FALSE
65	18	9	0	38	43	10	92	110	53	202	801	0.093478	10.6977	8568.8372	0.267	476.0465	20	10	14	10	0	11	0.28947	1	14	1.2727	0.16923	0	FALSE
29	4	1	0	24	27	5	55	57	32	112	388	0.19636	5.0926	1975.9259	0.12933	109.7737	0	0	10	0	0	1	0.041667	0	10	10	0.034483	0	FALSE
42	13	0	0	29	27	14	65	85	41	150	557	0.059341	16.8519	9386.4815	0.18567	521.4712	18	9	0	8	2	8	0.27586	1.125	0	0	0.19048	0	FALSE
14	3	0	0	11	14	7	34	43	21	77	234	0.11765	8.5	1989	0.078	110.5	26	13	1	13	6	8	0.72727	1	1	0.125	0.57143	0	FALSE
29	8	0	0	21	18	8	36	46	26	82	267	0.125	8	2136	0.089	118.6667	8	4	2	4	1	4	0.19048	1	2	0.5	0.13793	0	FALSE
151	38	13	4	100	64	28	189	285	92	474	2143	0.024187	41.3438	88599.6562	0.71433	4922.2031	64	32	0	29	3	29	0.29	1.1034	0	0	0.19205	0	FALSE
42	8	3	0	31	18	11	40	59	29	99	333	0.081818	12.2222	4070	0.111	226.1111	16	8	0	8	4	5	0.16129	1	0	0	0.11905	0	FALSE
208	38	28	4	142	70	17	259	371	87	630	2813	0.031797	31.45	88468.85	0.93767	4914.9361	104	52	17	52	12	41	0.28873	1	17	0.41463	0.19712	0	TRUE
48	9	8	4	31	28	14	56	88	42	144	538	0.071429	14	7532	0.17933	418.4444	32	16	6	16	5	12	0.3871	1	6	0.5	0.25	0	FALSE
135	44	20	2	71	87	23	203	258	110	461	2166	0.037267	26.8333	58121	0.722	3228.9444	70	35	4	35	10	26	0.3662	1	4	0.15385	0.19259	0	TRUE
125	25	12	4	88	62	27	153	229	89	382	1714	0.030017	33.3145	57101.0807	0.57133	3172.2823	70	35	9	33	6	29	0.32955	1.0606	9	0.31034	0.232	0	TRUE
14	2	0	0	12	13	11	18	29	24	47	149	0.13131	7.6154	1134.6923	0.049667	63.0385	8	4	1	4	0	5	0.41667	1	1	0.2	0.35714	0	FALSE
147	32	10	4	105	46	17	165	247	63	412	1706	0.032799	30.4891	52014.4565	0.56867	2889.692	92	46	0	46	8	38	0.3619	1	0	0	0.2585	0	FALSE
214	55	38	8	121	71	23	221	309	94	530	2407	0.027936	35.7958	86160.4296	0.80233	4786.6905	108	54	4	54	17	37	0.30579	1	4	0.10811	0.1729	0	TRUE
112	23	7	3	82	35	23	226	305	58	531	2156	0.013467	74.2571	160098.4	0.71867	8894.3556	90	45	1	43	15	30	0.36585	1.0465	1	0.033333	0.26786	0	FALSE
110	29	11	3	70	48	23	135	182	71	317	1351	0.030918	32.3438	43696.4062	0.45033	2427.5781	54	27	1	26	7	21	0.3	1.0385	1	0.047619	0.19091	0	TRUE
49	14	7	3	28	23	16	53	74	39	127	465	0.054245	18.4348	8572.1739	0.155	476.2319	22	11	0	11	3	9	0.32143	1	0	0	0.18367	0	TRUE
8	0	4	0	4	8	6	10	12	14	22	58	0.27	3.7	214.81	0.02	11.93	0	0	0	0	0	1	0.25	0	0	0	0.13	0	FALSE
13	0	1	0	12	10	8	21	26	18	47	135	0.12	8.33	1125	0.05	62.5	2	1	0	0	0	2	0.17	0	0	0	0.15	0	FALSE
20	0	12	0	8	14	12	21	34	26	55	179	0.11	9.09	1627.27	0.06	90.4	6	3	0	3	0	4	0.5	1	0	0	0.2	0	FALSE
40	0	17	0	23	20	18	64	90	38	154	560	0.03	33.33	18666.67	0.19	1037.04	24	12	1	11	2	11	0.48	1.09	1	0.09	0.28	0	FALSE
8	0	3	0	5	7	13	13	21	20	34	101	0.08	12.5	1262.5	0.03	70.14	4	2	0	1	0	3	0.6	2	0	0	0.38	1	FALSE
10	0	2	0	8	4	5	5	10	9	15	32	0.32	3.13	100	0.01	5.56	2	1	1	1	0	2	0.25	1	1	0.5	0.2	0	FALSE
