@relation camelA-weka.filters.supervised.instance.Resample-B1.0-S1-Z158.51

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,9,1,4,3,26,0,1,FALSE
5,0,4,0,1,3,32,0,1,FALSE
5,1,8,37,4,11,117,4,3,FALSE
3,0,4,30,1,9,50,5,1,FALSE
0,0,16,69,4,9,165,0,3,FALSE
1,0,3,0,1,3,21,0,1,FALSE
0,2,10,6,2,1,85,0,5,FALSE
1,1,10,0,5,24,236,0,2,FALSE
3,0,7,3,1,4,46,1,1,FALSE
1,0,2,0,1,0,0,0,0,FALSE
5,0,16,59,1,10,389,1,3,FALSE
1,0,5,87,1,13,317,0,5,FALSE
1,0,5,0,4,1,1,0,1,FALSE
0,0,10,4,1,3,81,0,6,FALSE
1,0,6,1,0,2,23,0,1,FALSE
4,2,7,1,2,2,17,0,0,FALSE
3,0,6,9,2,4,68,4,2,FALSE
1,0,5,0,1,3,54,0,2,FALSE
2,0,11,22,3,8,57,0,1,FALSE
1,0,38,6427,14,111,1327,0,32,FALSE
5,0,2,3,1,3,17,0,0,FALSE
2,0,13,201,2,21,266,1,1,FALSE
1,0,2,1,1,2,2,0,1,FALSE
1,0,3,30,1,8,79,0,1,FALSE
2,0,5,4,4,2,45,1,1,FALSE
1,0,6,298,4,28,271,0,9,FALSE
2,0,1,3,0,3,12,2,1,FALSE
2,0,6,0,1,2,16,0,1,FALSE
2,4,12,34,5,8,172,0,3,FALSE
3,2,7,6,2,0,61,0,5,FALSE
1,0,11,157,10,22,241,0,3,FALSE
2,0,7,26,0,1,415,1,8,FALSE
4,0,9,39,3,10,68,1,1,FALSE
1,0,9,0,8,1,1,0,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
1,0,3,1,1,1,14,0,1,FALSE
3,0,4,3,1,2,16,1,1,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,0,21,1,21,2,2,0,1,FALSE
5,1,9,1,2,1,26,1,1,FALSE
3,0,11,0,1,1,75,1,1,FALSE
2,0,11,0,7,4,34,0,1,FALSE
1,0,2,0,1,0,0,0,0,FALSE
3,0,6,41,0,11,99,1,5,FALSE
1,0,1,6,1,4,4,0,1,FALSE
0,0,9,10,2,2,97,0,2,FALSE
4,0,15,15,4,5,69,0,1,FALSE
1,0,12,0,11,1,1,0,1,FALSE
0,0,10,21,1,1,138,0,9,FALSE
3,0,8,1,4,5,45,1,1,FALSE
3,2,17,77,9,11,106,1,2,FALSE
1,0,2,1,1,2,16,0,3,FALSE
4,0,2,0,1,7,108,0,3,FALSE
1,0,3,4,1,3,17,0,1,FALSE
3,0,4,10,1,3,31,1,1,FALSE
4,0,2,0,1,2,20,0,1,FALSE
3,0,8,16,3,7,108,3,1,FALSE
5,0,2,3,1,3,17,0,0,FALSE
3,0,13,8,1,2,66,0,1,FALSE
3,0,34,46,3,2,672,2,5,FALSE
1,0,5,1,1,5,145,0,10,FALSE
0,0,25,102,4,9,229,0,3,FALSE
4,0,2,0,1,2,20,0,1,FALSE
5,0,4,0,1,3,32,0,1,FALSE
2,0,3,0,1,3,45,1,1,FALSE
3,0,4,10,1,2,25,2,1,FALSE
1,1,7,75,1,12,139,0,2,FALSE
1,3,8,46,6,8,102,0,2,FALSE
1,0,0,3,0,3,57,0,1,FALSE
2,0,10,26,1,9,209,1,8,FALSE
1,0,1,95,1,12,106,0,1,FALSE
4,0,1,0,1,3,37,0,2,FALSE
3,0,9,2,2,2,33,0,1,FALSE
2,1,6,27,5,14,176,0,5,FALSE
3,0,5,16,1,7,75,2,1,FALSE
