@relation camelA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,0,6,6,2,4,26,0,1,FALSE
3,0,21,15,1,2,176,2,1,FALSE
3,0,3,1,0,1,24,1,1,FALSE
1,1,10,0,5,24,236,0,2,FALSE
3,0,4,6,1,3,62,1,1,FALSE
3,0,6,14,2,8,70,1,1,FALSE
2,0,18,76,3,1,1000,1,10,FALSE
1,0,66,78,66,13,13,0,1,TRUE
1,0,4,0,2,2,12,0,1,FALSE
3,0,13,13,1,4,76,1,1,FALSE
2,0,18,252,8,20,273,1,5,FALSE
5,0,2,0,1,2,22,0,1,FALSE
2,0,7,0,1,5,153,1,4,FALSE
5,0,2,3,1,3,16,0,0,FALSE
1,0,2,5,2,5,166,0,1,FALSE
2,0,20,133,6,18,170,1,2,FALSE
2,0,11,17,6,6,90,0,2,FALSE
1,0,9,1,4,3,26,0,1,FALSE
1,0,27,0,26,0,0,0,0,FALSE
2,0,6,0,1,2,16,0,1,FALSE
3,0,8,60,1,9,101,1,3,FALSE
6,0,2,0,1,2,25,0,1,FALSE
3,0,6,35,1,13,132,8,2,FALSE
1,0,1,0,1,0,0,0,0,FALSE
2,9,15,49,10,9,87,1,2,FALSE
3,0,14,68,9,11,121,0,2,FALSE
3,0,5,3,1,2,28,1,1,FALSE
3,0,8,36,1,11,158,7,4,FALSE
1,0,5,0,5,4,28,0,1,FALSE
3,0,11,44,1,8,124,1,3,FALSE
1,0,4,0,2,2,33,0,2,FALSE
2,0,8,114,4,12,90,3,1,FALSE
2,2,3,9,2,7,40,0,2,FALSE
1,3,11,14,10,7,56,0,1,FALSE
1,0,5,0,4,1,1,0,1,FALSE
1,0,5,3,1,3,23,0,1,FALSE
1,0,1,1,1,2,2,0,1,FALSE
4,0,4,0,1,3,33,0,1,FALSE
3,0,4,0,1,2,20,1,1,FALSE
3,0,4,2,1,5,40,1,2,FALSE
3,0,11,0,1,1,75,1,1,FALSE
1,0,4,0,1,4,35,0,1,FALSE
2,0,16,89,3,15,105,2,2,FALSE
3,0,5,3,0,5,141,2,3,FALSE
3,0,6,0,1,2,30,1,1,FALSE
3,0,14,93,1,8,217,2,2,FALSE
1,0,2,1,1,2,54,0,6,FALSE
1,0,1,0,1,1,1,0,1,FALSE
3,1,13,1170,2,46,378,1,2,FALSE
2,0,6,8,0,9,87,0,1,FALSE
2,14,22,16,15,6,77,1,2,FALSE
3,0,8,2,1,3,122,0,3,TRUE
5,0,4,0,2,2,25,0,1,FALSE
5,0,4,0,1,3,32,0,1,FALSE
1,0,2,1,1,2,121,0,13,FALSE
2,0,15,31,3,7,97,1,1,FALSE
2,0,8,0,3,5,67,1,1,FALSE
2,1,13,78,1,10,188,1,3,FALSE
0,0,12,21,0,9,80,0,1,FALSE
3,0,16,43,2,8,93,1,1,FALSE
1,0,5,3,4,3,3,0,1,FALSE
1,4,6,6,4,3,36,0,2,FALSE
2,0,3,1,0,2,14,0,1,FALSE
3,0,4,33,1,10,58,5,1,FALSE
5,0,2,0,1,1,7,0,0,FALSE
0,0,16,74,2,9,223,0,2,FALSE
1,0,4,46,0,11,73,0,1,FALSE
1,0,5,36,2,9,69,0,1,FALSE
1,2,4,0,2,4,28,0,1,FALSE
1,0,84,136,80,17,17,0,1,TRUE
1,0,0,0,0,1,22,0,0,FALSE
2,0,7,0,4,3,24,0,1,FALSE
1,0,16,33,3,5,302,0,5,FALSE
0,0,8,0,2,3,72,0,1,FALSE
1,0,5,1,1,5,145,0,10,FALSE
1,0,6,17,1,8,160,0,5,FALSE
1,0,1,95,1,12,106,0,1,FALSE
1,3,3,0,3,4,31,0,1,FALSE
5,0,2,0,1,2,25,0,1,FALSE
1,1,22,2897,4,77,935,0,26,FALSE
3,0,11,33,3,9,79,1,3,TRUE
2,0,7,2,3,3,112,0,1,FALSE
1,0,7,0,1,9,87,0,1,FALSE
1,0,8,15,1,6,37,0,1,FALSE
1,0,2,3,2,3,3,0,1,FALSE
3,0,4,8,0,5,98,0,4,FALSE
1,1,7,66,2,11,113,0,3,TRUE
3,0,15,0,2,2,105,1,3,FALSE
2,0,1,0,1,7,83,0,1,FALSE
2,0,18,475,6,28,600,1,2,FALSE
1,0,6,0,2,4,153,0,5,FALSE
1,0,14,23,1,7,413,0,15,FALSE
1,0,4,0,4,1,1,0,1,FALSE
1,0,7,0,1,2,60,0,1,FALSE
3,0,12,0,2,1,59,1,1,FALSE
2,0,12,18,2,6,56,1,1,FALSE
1,0,1,4,0,5,62,0,2,FALSE
1,0,5,0,1,4,68,0,1,FALSE
1,0,6,61,2,14,81,0,1,FALSE
1,11,23,346,16,22,258,0,3,TRUE
1,0,4,1,1,3,47,0,2,FALSE
4,12,33,6,33,4,21,0,0,FALSE
3,2,8,79,2,11,146,1,1,FALSE
2,0,5,0,1,4,80,1,3,FALSE
4,2,3,0,3,1,7,0,0,FALSE
1,0,3,0,2,1,1,0,1,FALSE
2,0,6,0,3,1,11,0,0,FALSE
2,0,10,165,6,15,105,3,1,FALSE
1,0,17,0,17,1,1,0,1,FALSE
1,0,11,230,0,22,316,0,3,TRUE
2,0,5,0,0,4,63,1,1,FALSE
1,0,1,1,1,2,37,0,3,FALSE
1,0,0,0,0,1,1,0,1,FALSE
2,0,5,0,1,3,78,1,2,FALSE
1,0,12,0,11,1,1,0,1,FALSE
1,0,7,1,1,2,62,0,3,FALSE
1,0,14,19,6,6,63,0,2,FALSE
1,0,4,41,2,8,217,0,1,FALSE
1,0,126,0,125,1,1,0,1,TRUE
2,0,9,84,4,11,304,1,4,FALSE
2,0,8,163,5,15,124,2,1,FALSE
1,0,5,0,1,3,54,0,2,FALSE
1,0,1,3,0,3,13,0,1,FALSE
5,0,2,3,1,3,16,0,0,FALSE
1,0,6,0,4,1,1,0,1,FALSE
3,1,6,3,2,5,33,1,1,FALSE
2,0,4,1,2,2,31,0,1,FALSE
3,0,3,0,1,2,16,1,1,FALSE
2,16,26,37,18,7,115,1,2,FALSE
1,2,9,9,4,10,86,0,3,FALSE
3,0,3,0,1,2,16,1,1,FALSE
4,0,9,17,1,3,218,4,3,FALSE
1,0,7,9,0,4,110,0,2,FALSE
1,0,4,0,3,1,1,0,1,FALSE
3,0,6,9,1,3,88,1,3,FALSE
3,0,4,3,1,2,16,1,1,FALSE
1,0,4,105,4,13,518,0,5,FALSE
3,1,6,0,2,6,46,1,1,FALSE
1,0,9,15,7,3,91,0,2,FALSE
2,0,9,0,1,3,84,1,1,FALSE
5,0,2,3,1,3,17,0,0,FALSE
1,0,5,7,2,5,54,0,1,FALSE
1,0,0,15,0,6,53,0,2,FALSE
4,2,3,0,3,1,7,0,0,FALSE
5,0,4,0,1,3,34,0,1,FALSE
1,2,9,30,4,7,97,0,2,FALSE
3,0,9,2,2,2,33,0,1,FALSE
3,0,5,36,1,11,129,7,3,FALSE
2,0,5,22,1,6,70,1,2,FALSE
1,0,5,1,4,2,2,0,1,FALSE
1,0,10,386,1,29,382,0,4,FALSE
1,0,11,21,4,3,167,0,3,FALSE
1,0,5,729,2,38,611,0,2,FALSE
5,0,3,0,2,2,21,0,1,FALSE
3,0,1,4,0,3,16,1,1,FALSE
1,0,8,6,5,3,62,0,3,FALSE
0,0,12,0,2,2,87,0,1,FALSE
1,0,1,0,1,0,0,0,0,FALSE
1,0,3,1,1,2,7,0,1,FALSE
1,0,4,28,0,8,40,0,1,FALSE
3,0,6,0,2,6,86,1,1,FALSE
1,0,1,36,1,9,81,0,1,TRUE
1,0,27,121,4,8,299,0,5,FALSE
1,0,9,1,9,2,2,0,1,FALSE
2,0,8,0,3,4,64,1,1,FALSE
3,0,16,52,6,12,136,1,2,FALSE
2,0,10,26,1,9,209,1,8,FALSE
1,0,9,21,6,4,161,0,6,FALSE
3,0,8,35,3,13,98,8,2,FALSE
2,0,12,5,2,3,70,1,1,FALSE
0,0,16,52,4,4,120,0,2,FALSE
1,0,12,5,1,2,359,0,13,FALSE
4,3,5,8,4,1,44,3,4,FALSE
1,0,13,39,5,11,101,0,1,FALSE
1,0,0,0,0,0,3,0,0,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,3,0,2,0,0,0,0,FALSE
1,7,11,24,7,5,118,0,2,FALSE
1,0,1,0,1,1,1,0,1,FALSE
3,0,8,24,2,8,95,1,1,FALSE
4,0,4,36,0,8,50,2,1,FALSE
1,0,3,0,1,3,29,0,1,FALSE
2,0,3,3,0,2,32,0,1,FALSE
2,0,5,3,2,3,65,0,4,FALSE
1,0,3,0,1,3,29,0,1,FALSE
1,0,18,1,18,2,2,0,1,FALSE
1,0,7,35,2,7,380,0,5,FALSE
1,0,1,0,1,1,1,0,1,FALSE
1,0,2,1,0,2,7,0,1,FALSE
1,0,18,15,15,6,159,0,1,FALSE
3,0,5,0,1,1,30,1,1,FALSE
1,17,29,79,20,13,188,1,5,FALSE
2,0,17,47,4,11,78,1,1,FALSE
1,0,34,3,33,3,3,0,1,FALSE
3,0,4,10,1,3,31,1,1,FALSE
2,0,14,0,8,6,69,1,2,FALSE
1,3,16,323,3,24,224,0,2,FALSE
2,0,12,85,3,14,139,1,3,FALSE
3,0,17,0,2,3,133,1,2,FALSE
2,3,6,3,3,2,47,0,1,FALSE
3,0,10,3,3,3,204,1,6,FALSE
2,0,5,4,4,2,45,1,1,FALSE
1,1,10,23,3,3,107,0,1,FALSE
3,0,13,8,1,2,66,0,1,FALSE
2,0,13,6,8,4,25,1,1,FALSE
1,0,4,1,1,3,31,0,1,FALSE
4,0,8,51,1,7,240,1,6,TRUE
2,0,12,148,2,18,214,1,1,FALSE
1,25,26,8,25,6,94,0,1,TRUE
5,0,1,0,1,2,49,1,2,FALSE
1,0,3,0,1,3,21,0,1,FALSE
2,0,1,0,1,6,52,0,1,FALSE
2,4,15,73,11,9,159,3,3,FALSE
5,0,1,0,0,3,33,0,1,FALSE
6,0,5,0,1,1,42,1,3,FALSE
5,0,1,0,0,1,6,0,0,FALSE
2,0,12,13,2,4,112,1,2,FALSE
4,0,3,1,2,2,12,0,0,FALSE
3,0,12,0,1,5,114,1,2,FALSE
1,0,15,330,2,28,235,0,2,FALSE
1,0,7,1,6,2,2,0,1,FALSE
1,0,1,3,0,2,221,0,1,FALSE
1,0,35,3,32,3,3,0,1,FALSE
1,0,3,0,1,3,31,0,1,FALSE
1,0,1,0,1,8,190,0,4,FALSE
3,0,8,3,1,4,151,1,1,FALSE
1,0,6,7,1,5,45,0,2,FALSE
2,0,14,28,3,7,66,1,1,FALSE
2,0,16,34,9,10,126,1,2,FALSE
1,0,1,6,1,4,4,0,1,FALSE
1,0,3,3,1,3,10,0,1,FALSE
3,0,12,0,1,3,103,1,1,FALSE
3,0,5,22,0,9,91,0,5,FALSE
3,0,9,0,1,4,42,1,1,FALSE
3,0,10,0,1,2,134,1,2,FALSE
1,0,2,8,0,5,57,0,2,FALSE
5,0,1,0,0,3,47,0,2,FALSE
1,0,185,105,184,15,15,0,1,FALSE
3,0,13,0,1,5,115,1,2,FALSE
2,0,20,75,2,10,218,1,6,FALSE
1,0,4,0,3,2,25,0,1,FALSE
2,0,12,50,1,11,245,1,4,FALSE
1,0,8,15,6,5,82,0,2,FALSE
1,0,5,0,1,4,85,0,1,FALSE
3,0,9,3,2,3,43,0,1,FALSE
3,0,15,211,12,18,187,0,2,FALSE
2,0,15,237,8,19,174,2,1,FALSE
2,0,6,0,1,6,51,0,1,FALSE
1,0,5,0,0,2,30,0,1,FALSE
2,0,7,4,4,5,42,0,1,FALSE
4,0,2,0,1,2,20,0,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
2,0,16,30,5,9,89,1,1,FALSE
2,16,20,3,16,4,27,1,1,FALSE
1,0,99,36,95,9,9,0,1,FALSE
3,0,10,0,2,1,74,1,1,FALSE
1,0,1,13,0,5,68,0,2,FALSE
2,0,23,523,4,33,339,1,2,FALSE
1,0,10,6,4,11,313,0,8,FALSE
3,0,6,10,1,3,68,0,2,FALSE
3,0,5,8,1,4,36,1,1,FALSE
4,0,3,0,3,2,20,0,1,FALSE
3,0,4,0,1,2,16,1,1,FALSE
3,0,9,59,1,9,250,4,3,FALSE
2,2,7,4,3,3,37,0,2,FALSE
3,0,6,16,1,7,77,1,1,FALSE
2,0,14,89,3,15,103,2,2,FALSE
5,1,3,0,1,1,44,1,2,FALSE
1,0,6,298,4,28,271,0,9,FALSE
1,0,6,0,1,2,48,0,1,FALSE
3,0,6,0,1,2,24,0,1,FALSE
1,0,10,105,10,9,591,0,11,FALSE
1,0,44,147,40,17,404,1,6,FALSE
3,0,8,1,4,5,45,1,1,FALSE
1,0,13,1436,0,45,634,0,6,FALSE
2,0,15,103,2,11,287,1,3,FALSE
3,0,13,4,1,2,129,0,3,FALSE
1,0,10,0,10,1,1,0,1,FALSE
2,2,7,7,2,5,49,0,2,FALSE
2,0,13,145,2,19,133,2,1,FALSE
1,0,6,0,0,2,38,0,1,FALSE
3,0,4,30,1,9,50,5,1,FALSE
1,0,1,3,0,3,14,0,1,FALSE
3,0,18,126,4,14,299,1,2,FALSE
2,0,4,0,2,1,5,0,0,FALSE
1,0,8,3,6,3,3,0,1,FALSE
1,0,6,10,6,5,82,0,4,FALSE
1,0,6,1,0,2,23,0,1,FALSE
3,0,14,0,1,2,129,1,5,FALSE
1,0,9,25,0,10,71,0,1,FALSE
2,0,12,15,3,6,43,1,1,FALSE
1,1,5,1,3,2,21,0,1,FALSE
3,0,4,0,2,1,30,1,1,FALSE
1,0,2,118,0,15,172,0,1,FALSE
2,2,8,0,4,6,68,1,1,FALSE
1,0,1,0,1,1,1,0,1,FALSE
3,0,6,9,2,4,68,4,2,FALSE
2,0,11,1,1,6,126,1,2,FALSE
3,0,3,3,1,2,16,1,1,FALSE
1,0,7,8,1,5,44,0,1,FALSE
1,0,2,1,1,2,16,0,3,FALSE
2,1,7,6,2,6,130,1,2,FALSE
3,0,7,0,1,2,56,1,1,FALSE
2,1,22,400,2,25,718,1,3,TRUE
1,0,5,0,5,1,1,0,1,FALSE
3,0,4,1,0,1,11,1,1,FALSE
1,0,9,104,1,15,158,0,2,FALSE
0,0,23,61,5,5,182,0,2,FALSE
2,0,9,165,4,15,105,3,1,FALSE
4,0,12,0,1,3,216,1,1,FALSE
3,2,2,6,2,4,20,0,0,FALSE
3,0,5,0,2,1,30,1,2,FALSE
2,0,6,17,4,7,46,0,1,FALSE
1,0,5,3,4,3,13,0,1,FALSE
2,0,8,0,2,4,65,1,1,FALSE
2,0,14,85,7,14,114,1,3,FALSE
2,0,10,4,9,2,89,1,1,FALSE
2,0,24,339,3,23,311,2,2,FALSE
4,0,1,0,1,3,37,0,2,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,0,17,105,2,15,123,0,1,TRUE
1,0,6,1,4,2,2,0,1,FALSE
1,0,4,7,3,6,73,0,3,FALSE
1,0,5,0,4,1,1,0,1,FALSE
5,0,2,0,1,1,7,0,0,FALSE
3,0,6,0,1,3,43,0,1,FALSE
2,8,34,1045,15,41,535,0,2,FALSE
2,0,12,26,3,4,190,1,3,FALSE
1,0,10,5,1,5,80,0,2,FALSE
1,0,66,0,65,1,1,0,1,FALSE
2,0,4,4,3,2,56,1,1,FALSE
1,0,1,0,0,1,1,0,1,FALSE
1,0,2,243,2,25,248,0,6,FALSE
4,0,7,9,1,7,49,1,1,FALSE
1,0,10,73,0,10,192,0,2,FALSE
1,0,0,3,0,3,57,0,1,FALSE
1,0,5,1,1,2,29,0,1,FALSE
5,1,4,3,3,3,17,0,0,FALSE
1,0,26,153,12,18,126,0,1,FALSE
0,0,5,0,1,9,213,0,1,FALSE
1,0,6,351,1,27,27,0,1,TRUE
1,0,3,30,1,8,82,0,1,FALSE
1,0,27,7,3,3,198,0,1,FALSE
2,0,10,0,1,3,224,1,2,TRUE
1,0,9,2,3,3,52,0,1,FALSE
0,0,10,2,1,3,71,0,1,FALSE
1,0,2,1,1,1,22,0,3,TRUE
1,0,116,153,116,18,18,0,1,FALSE
1,0,3,12,2,7,100,0,4,FALSE
2,0,3,0,3,7,66,0,2,FALSE
2,0,11,15,4,6,44,0,1,TRUE
2,0,12,42,4,13,175,4,3,TRUE
4,0,9,5,1,3,143,1,1,FALSE
2,1,16,68,2,11,537,1,12,TRUE
4,6,8,0,6,2,23,0,1,TRUE
3,0,8,15,2,6,42,3,1,TRUE
2,0,4,31,1,14,140,4,1,TRUE
5,0,2,0,1,2,22,0,1,FALSE
2,0,7,0,1,5,153,1,4,TRUE
2,0,4,3,1,2,32,0,1,TRUE
2,0,22,133,7,18,174,1,2,FALSE
1,0,2,190,1,20,50,0,1,FALSE
1,0,7,28,0,4,237,0,11,TRUE
1,3,4,6,3,3,24,0,1,FALSE
2,0,5,7,1,2,59,1,2,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,15,32,139,21,16,216,1,5,TRUE
1,0,1,0,1,0,0,0,0,FALSE
1,1,7,137,1,16,183,0,2,FALSE
1,0,6,15,1,6,14,0,1,TRUE
1,0,4,0,2,2,33,0,2,TRUE
1,0,1,0,1,0,0,0,0,FALSE
1,0,3,1,3,2,17,0,2,FALSE
1,0,6,61,2,14,81,0,1,FALSE
1,2,101,168,98,12,352,0,3,FALSE
1,0,9,85,1,10,242,0,5,TRUE
4,15,49,6,49,4,21,0,0,TRUE
1,0,4,1,2,6,50,0,2,FALSE
1,0,2,1,1,2,121,0,13,TRUE
2,0,4,0,3,9,122,0,4,FALSE
2,0,11,26,3,6,57,0,1,TRUE
1,0,6,2,0,4,44,0,2,FALSE
2,0,5,3,2,3,10,0,1,TRUE
1,0,4,3,3,3,3,0,1,FALSE
3,0,6,41,0,11,99,1,5,FALSE
4,0,4,7,1,9,120,2,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
4,0,6,0,1,4,85,2,1,FALSE
2,0,7,46,0,11,83,0,2,FALSE
2,0,40,32,39,7,240,1,4,TRUE
0,0,5,0,3,1,9,0,0,FALSE
1,0,2,189,1,22,182,0,7,TRUE
1,2,4,0,2,4,28,0,1,TRUE
1,0,0,0,0,1,22,0,0,FALSE
3,0,20,151,5,15,401,1,10,TRUE
1,0,2,3,1,0,63,0,1,FALSE
2,0,6,9,1,4,75,0,2,TRUE
3,0,7,0,3,5,41,1,1,FALSE
1,0,5,10,3,5,5,0,1,TRUE
5,0,2,0,1,2,25,0,1,FALSE
3,0,21,598,8,34,335,1,6,TRUE
1,0,4,3,0,3,18,0,1,FALSE
2,17,22,1,17,5,33,1,1,FALSE
2,0,14,302,7,26,303,4,3,TRUE
3,0,6,13,0,6,107,0,4,FALSE
1,1,7,79,2,12,118,0,3,TRUE
1,0,4,91,0,13,105,0,2,TRUE
1,1,1,0,1,4,27,0,1,FALSE
2,0,5,28,1,5,103,2,2,FALSE
1,0,3,0,3,1,1,0,1,FALSE
2,0,7,14,1,7,101,0,1,TRUE
0,0,19,16,2,6,382,0,6,FALSE
1,1,13,59,3,5,189,0,4,FALSE
1,0,1,0,1,0,0,0,0,FALSE
2,0,1,0,0,1,6,0,0,FALSE
