@relation camelA-weka.filters.supervised.instance.Resample-B1.0-S1-Z41.491086-no-replacement

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,5,33,3,14,210,0,3,FALSE
1,0,0,0,0,0,0,0,0,FALSE
3,0,6,8,1,4,36,1,1,FALSE
3,0,11,59,3,9,349,4,4,FALSE
1,0,4,105,4,13,518,0,5,FALSE
1,0,1,208,0,20,215,0,5,FALSE
1,0,5,55,2,10,86,0,1,FALSE
3,0,8,0,1,4,82,0,1,FALSE
3,0,1,0,0,1,4,0,0,FALSE
2,0,9,124,4,13,99,3,1,FALSE
3,0,10,0,2,1,74,1,1,FALSE
1,0,5,0,5,1,1,0,1,FALSE
1,2,9,9,4,10,86,0,3,FALSE
1,0,11,9,1,3,189,0,5,FALSE
2,4,11,9,5,3,46,0,2,FALSE
3,0,6,3,1,2,22,1,1,FALSE
1,0,5,0,1,3,24,0,1,FALSE
1,0,4,1,2,2,8,0,1,FALSE
4,3,5,8,4,1,44,3,4,FALSE
3,0,17,1,2,2,219,0,1,FALSE
1,7,11,24,7,5,125,0,2,FALSE
5,0,5,0,2,3,21,0,1,FALSE
1,0,1,0,1,0,0,0,0,FALSE
3,0,3,4,1,4,22,0,1,FALSE
3,0,11,0,1,3,126,0,4,FALSE
1,0,6,1,6,2,2,0,1,FALSE
1,0,5,1,1,1,23,0,3,FALSE
1,0,12,2,2,3,154,1,1,FALSE
4,0,9,39,3,10,68,1,1,FALSE
2,1,13,78,1,10,188,1,3,FALSE
3,0,15,211,12,18,187,0,2,FALSE
1,0,3,0,3,1,1,0,1,FALSE
2,0,1,0,0,1,7,0,0,FALSE
1,0,1,0,1,0,0,0,0,FALSE
1,0,1,149,1,18,114,0,2,FALSE
1,0,0,0,0,1,22,0,0,FALSE
1,0,13,1436,0,45,634,0,6,FALSE
1,0,13,131,9,16,144,0,2,FALSE
1,0,5,0,1,3,54,0,2,FALSE
1,0,2,0,1,1,7,0,0,FALSE
2,0,9,84,4,11,304,1,4,FALSE
1,0,5,0,5,1,1,0,1,FALSE
1,0,2,118,0,15,172,0,1,FALSE
1,0,6,24,1,22,401,0,2,FALSE
1,0,1,0,1,8,190,0,4,FALSE
1,2,11,30,2,4,195,0,10,FALSE
0,0,5,1,1,2,40,0,1,FALSE
2,0,3,1,0,2,11,0,0,FALSE
2,0,7,26,0,1,417,1,8,FALSE
1,0,21,0,21,1,1,0,1,FALSE
3,0,9,26,1,6,81,1,2,FALSE
2,0,11,0,2,3,94,2,3,FALSE
1,0,1,4,1,9,59,0,1,FALSE
3,0,21,15,1,2,176,2,1,FALSE
1,0,16,3,11,3,47,0,5,FALSE
0,0,3,4,1,4,22,0,1,FALSE
0,0,8,0,2,3,72,0,1,FALSE
2,0,20,73,2,10,243,1,6,FALSE
2,0,19,217,4,23,247,2,2,FALSE
1,0,0,0,0,1,1,0,1,FALSE
2,0,20,293,1,23,343,0,3,FALSE
3,3,10,6,10,4,20,0,0,FALSE
1,0,3,1,1,2,54,0,6,FALSE
2,0,1,3,0,3,12,2,1,FALSE
2,0,13,264,5,19,186,2,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,7,6,0,3,22,0,1,FALSE
3,0,7,1,0,1,42,2,1,FALSE
2,0,20,431,5,30,251,2,2,FALSE
1,0,4,3,0,3,18,0,1,FALSE
2,0,17,66,3,8,239,1,2,FALSE
3,0,3,0,1,2,86,3,3,FALSE
2,0,10,81,1,15,119,0,1,FALSE
4,0,4,7,1,9,120,2,1,FALSE
1,0,21,225,11,22,114,0,1,FALSE
1,0,1,1,0,2,26,0,1,FALSE
1,0,8,8,3,5,39,0,1,FALSE
4,0,2,0,1,2,20,0,1,FALSE
1,0,6,3,5,3,3,0,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
2,0,1,0,1,7,83,0,1,FALSE
3,0,8,48,1,14,188,7,4,FALSE
6,0,3,0,1,4,45,0,1,FALSE
5,0,4,0,1,2,22,0,1,FALSE
3,0,4,1,0,1,11,1,1,FALSE
3,0,4,8,1,4,36,2,1,FALSE
0,2,11,21,2,1,163,0,5,FALSE
2,0,10,79,3,13,129,0,4,FALSE
3,0,4,1,0,1,17,1,1,FALSE
5,0,2,0,1,2,25,0,1,FALSE
1,0,4,1,1,3,47,0,2,FALSE
3,0,6,4,1,4,47,0,1,FALSE
1,0,2,3,1,0,63,0,1,FALSE
3,0,8,27,2,7,98,4,3,FALSE
2,0,16,36,9,10,119,1,2,FALSE
1,0,4,0,2,2,33,0,2,FALSE
1,0,2,3,1,0,63,0,1,FALSE
3,2,17,51,9,10,85,1,2,FALSE
1,0,5,0,4,1,1,0,1,FALSE
5,0,4,0,1,3,34,0,1,FALSE
2,1,15,142,1,12,276,2,3,FALSE
5,0,4,0,1,3,32,0,1,FALSE
3,0,4,35,1,10,62,5,1,FALSE
1,0,1,0,1,1,1,0,1,FALSE
1,0,2,1,1,2,2,0,1,FALSE
3,0,8,11,1,3,334,1,1,FALSE
1,0,1,25,1,11,105,0,3,FALSE
3,0,13,8,1,2,66,0,1,FALSE
2,0,3,0,3,7,66,0,2,FALSE
3,0,4,33,1,10,58,5,1,FALSE
3,2,8,37,2,4,127,1,1,FALSE
5,0,3,6,1,3,67,0,2,FALSE
1,0,5,33,0,5,235,0,4,FALSE
2,0,6,9,1,4,83,0,2,FALSE
3,0,6,0,1,2,24,0,1,FALSE
0,0,4,1,0,2,18,0,1,FALSE
1,2,101,168,98,12,352,0,3,FALSE
1,0,4,2,2,1,226,0,6,FALSE
1,0,6,3,2,2,19,0,1,FALSE
1,0,2,4,0,4,25,0,1,FALSE
1,0,6,36,0,8,51,0,1,FALSE
1,0,3,0,1,3,29,0,1,FALSE
1,0,4,3,1,3,20,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,1,13,34,3,3,217,0,4,FALSE
1,0,3,0,0,22,199,0,1,FALSE
2,0,3,4,2,2,111,1,1,FALSE
1,0,2,6,0,3,37,0,2,FALSE
1,0,9,0,8,1,1,0,1,FALSE
1,0,6,1,0,2,23,0,1,FALSE
1,0,6,10,1,8,185,0,4,FALSE
1,0,8,0,7,1,1,0,1,FALSE
2,0,11,0,7,4,34,0,1,FALSE
1,0,0,2,0,5,29,0,1,FALSE
1,0,9,1,4,3,26,0,1,FALSE
3,0,12,0,1,3,103,1,1,FALSE
2,0,5,15,1,5,95,3,2,FALSE
3,0,8,0,1,5,163,0,1,FALSE
3,0,10,0,2,2,88,1,1,FALSE
3,0,10,0,2,1,119,1,3,FALSE
1,0,1,1,1,2,37,0,3,FALSE
3,0,6,4,1,3,27,0,1,FALSE
5,1,10,0,1,7,198,0,4,FALSE
3,0,7,3,4,2,32,0,1,FALSE
1,0,6,0,4,1,1,0,1,FALSE
1,0,7,9,0,4,110,0,2,FALSE
5,0,3,0,2,3,44,0,1,FALSE
4,0,10,5,1,3,128,1,1,FALSE
1,0,2,0,1,1,7,0,0,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,3,1,1,1,17,2,1,FALSE
0,0,10,2,1,1,71,0,2,FALSE
1,0,53,1,53,2,2,0,1,FALSE
1,0,16,4,14,5,30,0,1,FALSE
1,0,10,73,0,10,192,0,2,FALSE
1,0,19,4,1,3,274,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
4,0,15,15,4,5,69,0,1,FALSE
1,0,11,9,0,7,75,0,1,FALSE
1,0,4,3,0,3,18,0,1,FALSE
1,0,3,9,1,7,59,0,1,FALSE
1,0,7,0,1,2,60,0,1,FALSE
3,0,7,0,2,2,27,0,1,FALSE
4,3,5,8,4,1,44,3,4,FALSE
2,1,27,972,11,37,855,1,4,FALSE
