"X","version","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","Original.Release","Faultiness","Order"
1,1,4,2,0,6,8,6,2,5,4,2,26,0,0,0.896551724,0.5,0,0,5.5,1,0.75,0,"camel-1.0",FALSE,"FIRST"
2,1,6,3,0,21,33,15,1,21,2,2,176,0,0,0.8,0.5,2,2,28.33333333,1,0.6667,0,"camel-1.0",FALSE,"FIRST"
3,1,2,3,0,3,7,1,0,3,1,2,24,0,0,0.833333333,0.666666667,1,1,11,1,0.5,0,"camel-1.0",FALSE,"FIRST"
4,1,26,1,1,10,47,0,5,5,24,0.08,236,1,1,0,0.258241758,0,0,8.038461538,2,1,0,"camel-1.0",FALSE,"FIRST"
5,1,4,3,0,4,19,6,1,4,3,2,62,0,0,0.888888889,0.375,1,1,14.5,1,0.5,0,"camel-1.0",FALSE,"FIRST"
6,1,8,3,0,6,13,14,2,6,8,0.666666667,70,1,0,0.909090909,0.35,1,1,7.375,1,0.875,0,"camel-1.0",FALSE,"FIRST"
7,1,13,2,0,18,112,76,3,17,1,0.875,1000,1,1,0.4,0.272727273,1,1,75.76923077,10,5.2308,0,"camel-1.0",FALSE,"FIRST"
8,1,13,1,0,66,13,78,66,1,13,2,13,0,0,0,0.369230769,0,0,0,1,1,1,"camel-1.0",TRUE,"FIRST"
9,1,2,1,0,4,3,0,2,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,0,"camel-1.0",FALSE,"FIRST"
10,1,6,3,0,13,18,13,1,13,4,0.8,76,1,0,0.8,0.333333333,1,1,11.5,1,0.6667,0,"camel-1.0",FALSE,"FIRST"
11,1,25,2,0,18,45,252,8,14,20,0.675,273,1,3,0.233333333,0.24,1,1,9.72,5,1.12,0,"camel-1.0",FALSE,"FIRST"
12,1,2,5,0,2,6,0,1,1,2,1,22,1,0,0.944444444,0.666666667,0,0,9,1,0.5,0,"camel-1.0",FALSE,"FIRST"
13,1,7,2,0,7,25,0,1,6,5,0.166666667,153,1,1,0.538461538,0.357142857,1,1,20.57142857,4,1.2857,0,"camel-1.0",FALSE,"FIRST"
14,1,3,5,0,2,6,3,1,1,3,2,16,0,0,1,0.777777778,0,0,4.333333333,0,0,0,"camel-1.0",FALSE,"FIRST"
