@relation camelB

@attribute ﻿dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,32,0,3,3,204,0,1,FALSE
2,0,13,0,1,3,294,1,2,TRUE
1,0,5,3,0,3,19,0,1,FALSE
3,0,14,7,1,5,416,0,11,FALSE
4,0,5,1,2,1,24,1,1,TRUE
1,0,9,0,4,1,1,0,1,FALSE
1,0,4,0,1,4,39,0,1,TRUE
3,13,22,30,15,10,114,3,2,FALSE
3,0,21,59,9,13,208,3,3,FALSE
4,8,13,0,11,3,39,0,1,TRUE
4,0,8,3,0,1,49,2,1,FALSE
1,0,7,0,7,1,1,0,1,FALSE
1,1,3,0,1,1,44,1,2,FALSE
0,0,21,9,2,3,309,0,4,FALSE
1,0,2,0,1,1,7,0,0,FALSE
2,0,8,15,2,7,45,20,1,FALSE
1,0,9,0,2,2,61,0,1,FALSE
1,1,15,45,4,12,171,0,3,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,9,4,2,2,36,0,1,FALSE
1,0,7,6,1,4,39,0,1,FALSE
3,0,10,8,0,3,62,3,1,FALSE
1,0,6,3,2,2,31,0,1,FALSE
4,0,11,73,3,13,236,16,6,FALSE
2,6,26,105,12,22,265,3,4,TRUE
2,2,7,15,2,4,44,0,3,FALSE
3,0,8,0,2,2,44,0,2,FALSE
3,0,1,0,0,3,21,2,1,FALSE
1,0,8,1011,5,48,726,0,9,FALSE
1,0,14,0,13,1,1,0,1,TRUE
1,0,4,1,1,3,47,0,2,FALSE
4,0,5,15,1,5,43,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,7,0,5,1,1,0,1,FALSE
1,0,20,178,15,12,880,0,15,FALSE
1,0,6,1,2,1,21,0,1,FALSE
5,0,4,0,2,2,25,0,1,TRUE
1,0,38,1,37,2,2,0,1,FALSE
1,0,4,0,1,4,67,0,2,FALSE
1,0,6,6,5,4,5,0,1,FALSE
1,0,4,1,2,2,8,0,1,FALSE
5,1,9,1,2,1,26,1,1,FALSE
2,1,15,142,1,12,292,2,3,FALSE
3,0,7,1,0,1,19,1,1,FALSE
1,0,4,1,1,2,9,0,1,FALSE
1,0,7,22,3,4,100,0,2,FALSE
3,0,10,0,1,2,136,1,2,FALSE
2,0,7,0,2,4,30,1,1,FALSE
2,0,4,7,0,4,71,1,2,FALSE
1,2,7,21,2,3,133,0,5,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,10,1,1,2,141,0,6,FALSE
3,0,5,0,1,4,34,1,1,TRUE
1,1,11,112,7,14,275,0,1,TRUE
1,0,0,0,0,0,12,0,0,FALSE
1,0,16,0,15,1,1,0,1,FALSE
3,0,14,235,4,23,303,3,4,FALSE
2,0,1,3,0,3,12,2,1,FALSE
3,0,16,7,2,3,108,1,3,FALSE
4,0,7,13,1,10,82,1,2,FALSE
1,0,0,0,0,0,0,0,0,FALSE
5,3,12,0,3,8,202,0,4,FALSE
3,4,11,10,4,1,33,0,1,TRUE
1,0,3,97,0,17,165,0,1,FALSE
3,0,7,15,1,2,138,0,2,FALSE
2,0,2,9,1,6,41,0,2,FALSE
0,0,5,1,1,2,58,0,1,FALSE
1,2,9,9,4,10,86,0,3,FALSE
3,0,12,3,0,1,67,3,1,FALSE
1,0,4,0,1,6,46,0,1,FALSE
3,0,2,1,1,3,15,0,1,FALSE
1,0,7,36,4,9,9,0,1,FALSE
1,0,38,6646,14,113,1370,0,33,FALSE
3,0,4,35,1,10,62,5,1,FALSE
2,0,8,144,2,20,148,0,2,FALSE
2,0,8,99,3,15,89,20,1,FALSE
3,0,6,8,1,4,36,1,1,FALSE
1,0,6,4,1,4,22,0,1,FALSE
2,0,3,4,2,2,111,1,1,FALSE
2,0,73,41,72,8,259,1,4,FALSE
1,0,18,314,3,27,201,0,2,FALSE
0,1,7,4,5,4,24,0,1,FALSE
2,1,24,1296,9,44,614,1,9,TRUE
2,2,6,0,2,4,38,1,1,FALSE
3,0,4,8,1,4,36,2,1,FALSE
1,7,11,24,7,5,125,0,2,FALSE
5,0,4,0,1,3,34,0,1,TRUE
1,0,6,3,4,2,23,0,2,FALSE
1,2,10,49,4,9,118,0,2,FALSE
3,0,4,1,0,1,9,1,1,TRUE
3,0,9,0,1,4,106,0,1,TRUE
1,0,2,3,1,0,63,0,1,FALSE
1,0,9,1,8,2,2,0,1,FALSE
3,0,8,0,3,5,41,1,1,TRUE
1,0,7,0,5,1,1,0,1,FALSE
1,0,16,190,3,20,20,0,1,FALSE
1,0,2,0,1,1,7,0,0,FALSE
1,0,11,11,4,7,66,0,1,FALSE
2,27,32,0,27,6,47,1,1,FALSE
1,0,20,66,7,11,74,0,1,TRUE
1,0,8,6,5,4,4,0,1,FALSE
1,1,8,112,2,12,150,0,3,TRUE
1,0,7,2,1,4,68,0,5,FALSE
3,0,32,245,19,24,345,6,3,FALSE
1,0,11,21,0,9,97,0,1,FALSE
2,0,24,641,4,37,453,1,2,FALSE
0,2,11,21,2,1,163,0,5,FALSE
1,1,15,81,7,18,474,0,8,TRUE
2,0,14,102,4,16,144,0,1,FALSE
2,0,3,1,2,1,29,0,1,FALSE
2,0,5,4,4,2,45,1,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
0,2,10,6,2,1,85,0,5,FALSE
3,0,15,0,1,5,135,1,2,FALSE
3,0,4,111,0,16,200,2,5,FALSE
1,0,0,0,0,0,0,0,0,FALSE
2,0,14,198,8,16,119,3,1,FALSE
1,0,0,6,0,1,79,0,5,FALSE
3,0,4,1,0,1,11,1,1,FALSE
3,0,15,37,3,10,217,1,5,TRUE
3,0,3,3,1,1,25,2,1,FALSE
1,1,9,0,4,24,236,0,2,TRUE
1,0,5,0,1,2,39,0,1,TRUE
1,0,0,0,0,0,19,0,0,FALSE
1,0,3,1,1,1,88,0,5,TRUE
2,4,14,34,6,9,187,0,3,TRUE
1,0,40,1,40,2,2,0,1,TRUE
3,0,7,3,1,4,46,1,1,FALSE
2,0,7,9,3,6,36,20,1,FALSE
2,0,25,104,8,13,305,1,2,TRUE
3,0,6,0,1,3,29,0,1,TRUE
1,0,182,231,182,22,22,0,1,TRUE
2,0,9,15,0,4,90,2,2,FALSE
1,0,3,0,1,2,12,0,1,FALSE
2,0,2,0,1,1,14,0,0,FALSE
3,0,14,57,4,10,195,0,6,FALSE
5,0,13,24,1,8,49,1,1,FALSE
3,0,25,22,1,5,391,3,2,FALSE
1,0,6,0,1,4,90,0,3,FALSE
4,0,17,72,7,16,150,1,1,FALSE
1,1,3,3,3,6,55,0,1,TRUE
1,0,16,24,1,1,239,4,10,FALSE
4,1,5,0,2,1,11,0,0,FALSE
3,0,24,4,2,3,156,0,3,FALSE
3,1,20,55,3,11,188,2,5,FALSE
2,0,11,17,6,6,90,0,2,FALSE
1,0,12,0,2,2,70,0,1,TRUE
1,0,4,39,0,13,231,0,1,FALSE
6,0,14,10,1,4,77,0,1,FALSE
1,0,5,3,1,3,58,0,3,FALSE
3,0,3,1,1,1,17,2,1,FALSE
1,0,2,1,0,2,7,0,1,FALSE
4,0,11,0,1,1,407,4,1,FALSE
4,1,9,1,5,2,5,0,1,FALSE
1,0,10,0,5,10,136,0,2,FALSE
2,0,6,3,3,1,60,1,3,FALSE
3,0,6,1,0,1,39,2,1,FALSE
2,2,14,5,5,4,96,0,2,TRUE
2,0,10,178,4,16,114,3,1,FALSE
2,0,3,1,2,1,40,0,1,FALSE
1,0,7,29,2,9,110,0,4,TRUE
3,0,6,61,1,14,168,3,2,FALSE
1,0,11,45,8,10,10,0,1,FALSE
4,0,6,15,0,5,45,0,1,FALSE
1,0,6,6,4,4,4,0,1,FALSE
3,0,8,0,1,2,201,0,1,FALSE
3,0,8,3,0,2,39,1,1,FALSE
3,0,4,10,1,3,31,1,1,FALSE
1,0,1,0,1,4,52,0,1,FALSE
1,0,4,6,1,4,19,0,1,FALSE
1,0,28,17,2,3,180,4,1,FALSE
3,3,9,37,3,4,127,1,1,TRUE
1,0,8,300,3,27,248,0,4,FALSE
2,2,20,93,7,9,377,1,3,TRUE
2,0,2,7,0,6,39,1,1,FALSE
2,1,56,2573,15,61,1510,1,7,TRUE
2,0,9,10,3,5,30,1,1,FALSE
2,1,45,992,2,42,824,0,6,FALSE
1,0,8,16,0,7,159,0,2,FALSE
3,0,12,15,3,3,156,2,3,TRUE
3,0,17,8,3,3,295,1,18,FALSE
5,0,3,3,2,3,17,0,0,FALSE
4,0,2,0,1,3,34,0,1,FALSE
3,0,9,8,0,3,84,2,2,FALSE
0,0,5,0,1,9,213,0,1,FALSE
2,0,15,11,3,6,181,1,3,TRUE
0,0,17,102,4,10,189,0,3,FALSE
1,0,3,15,3,6,6,0,1,FALSE
4,0,3,1,2,2,12,0,0,FALSE
3,0,9,26,1,9,226,1,8,TRUE
2,0,21,627,3,38,326,0,2,TRUE
3,0,11,71,4,13,171,7,4,FALSE
2,0,13,54,1,4,222,1,3,TRUE
3,0,3,0,1,2,86,3,3,FALSE
0,0,10,2,1,3,71,0,1,FALSE
1,4,5,9,5,5,23,0,1,FALSE
2,0,12,22,3,8,60,0,1,FALSE
0,2,16,28,2,2,208,0,2,FALSE
1,0,10,0,5,5,112,0,3,FALSE
1,0,9,6,0,3,54,0,1,FALSE
2,1,5,8,3,4,29,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
2,0,9,15,3,7,44,20,1,FALSE
2,0,8,3,1,1,17,1,1,FALSE
1,0,1,1,1,2,2,0,1,FALSE
1,0,7,0,1,4,74,0,1,FALSE
2,0,17,289,1,25,279,0,3,FALSE
0,0,10,4,1,3,81,0,6,FALSE
2,0,10,30,3,9,58,21,1,FALSE
1,0,4,3,1,3,60,0,6,FALSE
4,3,4,0,4,1,7,0,0,FALSE
3,0,8,6,4,3,62,0,2,TRUE
4,0,9,30,1,9,75,3,1,FALSE
3,0,9,11,3,3,44,1,1,FALSE
1,0,12,1,2,1,75,1,1,FALSE
1,0,1,0,1,1,1,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,4,3,1,3,20,0,1,FALSE
2,0,20,133,6,18,141,1,1,FALSE
1,1,7,137,1,16,184,0,2,TRUE
4,0,4,6,1,8,89,1,3,FALSE
3,0,5,0,1,1,24,1,1,TRUE
6,0,3,0,1,4,45,0,1,FALSE
1,0,5,0,4,1,1,0,1,FALSE
4,0,16,297,3,17,793,1,17,TRUE
1,0,6,0,6,1,1,0,1,FALSE
1,0,14,7,2,3,213,1,1,FALSE
1,0,1,0,1,0,0,0,0,FALSE
2,0,6,18,1,6,166,1,1,FALSE
5,0,25,0,24,4,52,0,2,TRUE
2,1,25,220,8,16,444,1,5,FALSE
3,16,21,4,17,3,53,3,3,TRUE
3,0,4,3,0,1,33,1,1,FALSE
