@relation camelA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z158.4415584

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,7,0,7,1,1,0,1,FALSE
2,8,34,1045,15,41,535,0,2,FALSE
2,0,13,3,0,3,70,0,3,FALSE
3,0,4,1,0,1,9,1,1,FALSE
1,0,4,1,0,2,10,0,1,FALSE
1,0,1,3,0,1,221,0,1,FALSE
4,0,6,5,1,8,168,2,3,FALSE
1,0,11,21,4,3,167,0,3,FALSE
1,0,1,3,0,1,221,0,1,FALSE
1,0,0,0,0,5,32,0,1,FALSE
1,3,3,0,3,4,31,0,1,FALSE
1,0,2,0,1,1,7,0,0,FALSE
3,0,27,1,1,3,357,0,3,FALSE
3,1,9,0,4,5,41,1,1,FALSE
3,0,3,1,1,1,12,1,1,FALSE
6,0,2,0,1,2,25,0,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
2,0,11,2,1,3,61,2,1,FALSE
1,0,5,3,4,3,3,0,1,FALSE
1,0,14,23,1,7,413,0,15,FALSE
1,0,3,6,0,2,93,2,1,FALSE
1,0,6,36,0,8,49,0,1,FALSE
1,0,4,15,0,5,29,0,1,FALSE
5,0,3,0,2,2,25,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
2,0,8,0,3,5,67,1,1,FALSE
1,0,3,0,2,1,1,0,1,FALSE
1,0,10,0,2,2,49,0,1,FALSE
2,0,12,21,3,4,180,1,3,FALSE
1,0,4,1,2,6,50,0,2,FALSE
1,0,6,36,0,8,49,0,1,FALSE
3,0,12,0,1,3,103,1,1,FALSE
1,0,5,0,1,2,39,0,1,FALSE
1,0,11,161,10,22,249,0,3,FALSE
1,0,4,0,1,13,70,0,1,FALSE
2,0,9,114,4,12,94,3,1,FALSE
3,0,8,19,2,5,59,1,2,FALSE
1,0,8,1,6,2,2,0,1,FALSE
1,0,4,46,0,11,73,0,1,FALSE
1,0,4,0,4,6,57,0,2,FALSE
1,0,4,1,0,2,10,0,1,FALSE
1,0,4,3,1,3,20,0,1,FALSE
1,0,2,3,1,0,63,0,1,FALSE
3,0,14,68,9,11,121,0,2,FALSE
1,0,18,1,18,2,2,0,1,FALSE
3,0,4,2,1,5,40,1,2,FALSE
1,0,8,15,1,6,37,0,1,FALSE
1,2,11,30,2,4,195,0,10,FALSE
1,0,99,36,95,9,9,0,1,FALSE
5,0,4,0,2,2,23,0,1,FALSE
3,0,8,60,1,9,101,1,3,FALSE
1,0,3,0,1,3,29,0,1,FALSE
1,0,4,7,3,6,73,0,3,FALSE
3,0,35,8,1,3,571,1,10,FALSE
0,0,16,69,4,9,165,0,3,FALSE
1,0,1,6,1,3,87,0,2,FALSE
3,0,6,0,1,2,30,1,1,FALSE
1,0,9,1,8,2,2,0,1,FALSE
2,0,11,4,10,2,89,1,1,FALSE
4,0,9,5,1,3,143,1,1,FALSE
1,0,16,235,3,24,182,0,2,FALSE
6,0,12,0,1,2,109,1,2,FALSE
1,0,99,36,95,9,9,0,1,FALSE
1,0,4,7,3,6,73,0,3,FALSE
1,0,14,23,1,7,413,0,15,FALSE
1,0,0,0,0,0,0,0,0,FALSE
3,0,31,99,5,10,500,1,9,FALSE
2,0,8,163,5,15,124,2,1,FALSE
1,0,11,9,1,3,189,0,5,FALSE
1,0,1,6,0,4,36,0,2,FALSE
3,0,6,0,1,3,29,0,1,FALSE
5,0,4,0,2,2,25,0,1,FALSE
1,0,17,1,16,2,2,0,1,FALSE
2,0,11,17,6,6,90,0,2,FALSE
1,0,4,1,0,2,10,0,1,FALSE
4,0,6,5,1,8,168,2,3,FALSE
1,0,163,231,163,22,22,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
2,0,11,1,1,6,126,1,2,FALSE
1,0,63,3,62,3,3,0,1,FALSE
3,0,12,0,1,3,103,1,1,FALSE
3,0,7,3,4,2,32,0,1,FALSE
2,0,5,4,4,2,45,1,1,FALSE
1,0,6,1,0,2,23,0,1,FALSE
1,0,1,3,0,3,13,0,1,FALSE
2,0,3,1,1,2,34,1,1,FALSE
1,0,4,1,2,2,2,0,1,FALSE
1,3,16,323,3,24,224,0,2,FALSE
2,0,8,0,3,5,67,1,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
1,0,4,1,1,2,9,0,1,FALSE
3,2,8,79,2,11,146,1,1,FALSE
1,0,11,36,6,9,9,0,1,FALSE
2,0,15,31,3,7,97,1,1,FALSE
1,0,9,104,1,15,158,0,2,FALSE
1,0,8,0,2,8,140,0,3,FALSE
0,2,5,6,2,1,93,0,4,FALSE
2,0,5,7,1,2,59,1,2,FALSE
3,0,6,1,1,3,48,0,1,FALSE
1,0,6,2,0,4,44,0,2,FALSE
2,0,7,0,4,3,24,0,1,FALSE
3,0,8,19,0,7,118,0,4,FALSE
2,0,11,2,1,3,61,2,1,FALSE
3,0,13,50,1,9,145,1,2,FALSE
4,17,60,6,60,4,21,0,0,FALSE
3,0,16,14,1,4,297,0,6,FALSE
1,0,4,1,2,2,2,0,1,FALSE
1,0,7,0,7,1,1,0,1,FALSE
1,0,10,0,2,2,49,0,1,FALSE
1,0,163,231,163,22,22,0,1,FALSE
3,0,8,49,3,14,164,8,3,FALSE
1,0,4,0,2,5,43,0,1,FALSE
2,0,3,1,0,2,14,0,1,FALSE
2,0,11,2,1,3,61,2,1,FALSE
4,0,8,3,0,1,50,2,1,FALSE
1,1,14,45,4,12,169,0,3,FALSE
1,0,0,0,0,0,0,0,0,FALSE
1,0,63,3,62,3,3,0,1,FALSE
3,1,37,112,10,11,230,3,5,FALSE
1,0,4,1,2,2,8,0,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
3,0,1,0,0,1,4,0,0,FALSE
2,0,4,0,3,9,122,0,4,FALSE
1,0,4,0,2,2,33,0,2,FALSE
1,0,11,0,10,1,1,0,1,FALSE
1,0,4,24,0,5,125,0,2,FALSE
2,14,27,3,23,7,81,1,1,FALSE
1,0,3,0,1,3,29,0,1,FALSE
3,0,1,0,0,1,4,0,0,FALSE
1,0,5,87,1,13,317,0,5,FALSE
3,0,6,0,1,3,29,0,1,FALSE
1,0,24,22,21,6,176,0,1,FALSE
1,0,3,6,0,2,93,2,1,FALSE
2,0,7,26,0,1,415,1,8,FALSE
0,0,10,4,1,3,81,0,6,FALSE
1,0,8,25,1,9,86,0,3,FALSE
1,0,6,1,4,2,2,0,1,FALSE
2,0,5,22,1,6,70,1,2,FALSE
2,0,19,217,4,23,247,2,2,FALSE
2,0,12,32,3,4,184,1,3,FALSE
3,0,7,0,1,3,62,1,1,FALSE
3,0,4,6,1,3,62,1,1,FALSE
1,0,24,22,21,6,176,0,1,FALSE
2,9,20,3,16,7,73,1,1,FALSE
1,0,8,0,7,1,1,0,1,FALSE
3,2,7,6,2,0,61,0,5,FALSE
1,0,10,0,10,1,1,0,1,FALSE
1,0,3,6,0,2,93,2,1,FALSE
2,0,6,6,5,3,75,1,1,FALSE
2,0,3,1,1,2,34,1,1,FALSE
1,0,11,0,10,1,1,0,1,FALSE
2,0,11,17,6,6,90,0,2,FALSE
3,2,7,6,2,0,61,0,5,FALSE
1,0,99,36,95,9,9,0,1,FALSE
1,0,3,0,1,3,31,0,1,FALSE
3,0,3,0,1,2,16,1,1,FALSE
1,0,6,9,1,6,25,0,1,FALSE
3,0,8,19,0,7,118,0,4,FALSE
3,0,10,1,6,5,45,1,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
1,0,3,0,1,3,31,0,1,FALSE
1,0,4,1,2,6,50,0,2,FALSE
1,0,4,24,0,5,125,0,2,FALSE
2,0,7,26,0,1,415,1,8,FALSE
3,0,8,60,1,9,101,1,3,FALSE
2,2,7,4,3,3,37,0,2,FALSE
3,0,6,0,1,3,29,0,1,FALSE
1,0,6,0,1,2,32,0,1,FALSE
3,0,4,33,1,10,58,5,1,FALSE
0,0,13,32,0,10,138,0,8,FALSE
1,0,14,23,1,7,413,0,15,FALSE
1,0,9,1,8,2,2,0,1,FALSE
2,9,20,3,16,7,73,1,1,FALSE
3,0,13,4,1,2,129,0,3,FALSE
4,0,9,5,1,3,143,1,1,FALSE
1,0,4,46,0,11,73,0,1,FALSE
4,0,26,144,2,13,433,5,3,FALSE
2,0,14,85,7,14,114,1,3,FALSE
1,6,11,15,7,5,52,0,2,FALSE
3,0,17,52,6,12,140,1,2,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,1,7,75,1,12,139,0,2,FALSE
2,0,8,0,2,4,65,1,1,FALSE
1,0,1,6,1,3,87,0,2,FALSE
1,0,1,3,0,1,221,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
3,0,27,1,1,3,357,0,3,FALSE
3,10,19,30,12,10,114,3,2,FALSE
4,0,9,8,0,3,91,5,1,FALSE
1,0,6,36,0,8,49,0,1,FALSE
2,0,11,0,7,4,34,0,1,FALSE
6,0,3,0,1,1,13,0,0,FALSE
1,0,17,1,16,2,2,0,1,FALSE
2,0,3,1,0,2,14,0,1,FALSE
0,0,12,0,2,2,87,0,1,FALSE
1,3,11,14,10,7,56,0,1,FALSE
1,0,6,0,1,2,32,0,1,FALSE
3,0,4,0,2,1,30,1,1,FALSE
1,0,262,0,261,1,1,0,1,FALSE
1,0,6,61,2,14,81,0,1,FALSE
5,0,2,0,1,1,7,0,0,FALSE
1,0,7,30,1,5,96,0,1,FALSE
3,0,4,33,1,10,58,5,1,FALSE
1,0,12,1,2,1,74,1,1,FALSE
1,0,9,0,8,1,1,0,1,FALSE
2,0,5,0,1,1,42,0,3,FALSE
1,0,4,1,0,2,10,0,1,FALSE
1,0,4,1,2,2,2,0,1,FALSE
3,0,6,1,1,3,48,0,1,FALSE
3,0,3,1,1,1,17,2,1,FALSE
3,0,4,6,1,3,62,1,1,FALSE
1,0,2,3,1,0,63,0,1,FALSE
2,0,12,18,2,6,56,1,1,FALSE
1,1,31,14,5,6,207,0,1,FALSE
1,0,6,3,2,2,23,0,1,FALSE
1,0,4,1,1,2,9,0,1,FALSE
1,0,0,0,0,0,0,0,0,FALSE
2,4,11,9,5,3,46,0,2,FALSE
1,2,8,3,2,2,96,0,3,FALSE
3,0,18,1,1,2,136,0,1,FALSE
3,0,6,0,1,3,29,0,1,FALSE
3,0,29,245,16,24,348,6,3,FALSE
0,2,5,6,2,1,93,0,4,FALSE
1,0,6,3,2,2,23,0,1,FALSE
5,0,3,0,1,2,21,0,1,FALSE
1,0,18,1,18,2,2,0,1,FALSE
4,0,6,5,1,8,168,2,3,FALSE
