@relation camelA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z41.55844156-no-replacement

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,10,73,0,10,192,0,2,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,2,1,0,2,7,0,1,FALSE
2,0,2,9,1,6,45,0,2,FALSE
1,0,10,105,10,9,591,0,11,FALSE
1,0,2,1,1,2,16,0,3,FALSE
1,0,6,1,0,2,23,0,1,FALSE
1,4,6,6,4,3,36,0,2,FALSE
3,0,6,8,1,4,36,1,1,FALSE
0,0,10,21,1,1,138,0,9,FALSE
2,0,3,1,0,2,12,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,1,6,0,4,36,0,2,FALSE
5,0,4,0,2,3,32,0,1,FALSE
2,0,20,73,2,10,243,1,6,FALSE
1,0,4,3,0,3,12,0,1,FALSE
1,0,3,0,0,4,34,0,2,FALSE
1,0,9,815,4,35,792,0,1,FALSE
1,0,4,1,1,2,9,0,1,FALSE
1,0,3,0,1,3,29,0,1,FALSE
1,0,2,0,2,4,21,0,1,FALSE
3,0,9,3,2,3,43,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,10,0,1,5,203,0,1,FALSE
1,0,6,1,2,1,21,0,1,FALSE
1,0,2,15,0,5,44,0,1,FALSE
3,0,13,0,1,5,115,1,2,FALSE
1,0,7,1,1,2,62,0,3,FALSE
1,0,20,153,12,18,18,0,1,FALSE
1,0,11,9,1,3,189,0,5,FALSE
2,0,18,76,3,1,1000,1,10,FALSE
3,0,18,191,4,18,312,5,2,FALSE
1,0,5,1,1,2,29,0,1,FALSE
5,0,2,0,1,1,7,0,0,FALSE
1,0,1,0,1,1,1,0,1,FALSE
1,0,11,9,0,7,75,0,1,FALSE
1,1,5,1,3,2,21,0,1,FALSE
1,0,3,1,1,1,88,0,5,FALSE
3,0,6,0,1,3,29,0,1,FALSE
3,0,4,3,1,2,17,1,1,FALSE
1,0,8,1,6,2,2,0,1,FALSE
1,0,4,39,0,13,231,0,1,FALSE
1,2,8,3,2,2,96,0,3,FALSE
2,0,7,0,1,5,152,1,4,FALSE
3,0,8,35,3,13,98,8,2,FALSE
2,0,20,75,2,10,218,1,6,FALSE
1,0,27,0,26,0,0,0,0,FALSE
1,0,14,1164,9,48,711,0,2,FALSE
1,0,0,0,0,1,1,0,1,FALSE
2,1,15,142,1,12,292,2,3,FALSE
1,0,3,1,3,2,17,0,2,FALSE
3,1,11,8,5,7,127,0,2,FALSE
0,0,5,1,1,2,40,0,1,FALSE
1,0,4,1,0,2,10,0,1,FALSE
2,0,8,0,1,2,83,2,3,FALSE
1,3,3,0,3,4,31,0,1,FALSE
1,0,16,235,3,24,182,0,2,FALSE
3,0,35,8,1,3,571,1,10,FALSE
3,0,7,24,1,6,131,0,1,FALSE
1,0,0,3,0,3,57,0,1,FALSE
4,0,18,22,4,7,141,0,1,FALSE
1,0,5,1,2,3,31,0,1,FALSE
5,0,2,0,1,2,21,0,1,FALSE
1,0,4,4,1,2,39,0,1,FALSE
1,0,2,1,2,2,2,0,1,FALSE
1,0,19,61,3,10,189,0,1,FALSE
3,4,11,10,4,1,33,0,1,FALSE
3,0,6,0,1,2,24,0,1,FALSE
4,0,13,0,1,3,310,1,1,FALSE
2,0,9,114,4,12,94,3,1,FALSE
4,0,8,4,1,2,63,4,1,FALSE
1,0,6,0,2,4,153,0,5,FALSE
1,0,24,247,11,23,127,0,1,FALSE
1,0,4,3,0,3,18,0,1,FALSE
0,0,25,102,4,9,229,0,3,FALSE
2,0,7,46,0,11,83,0,2,FALSE
1,0,8,15,1,6,37,0,1,FALSE
1,0,9,25,0,10,71,0,1,FALSE
3,0,14,0,1,2,129,1,5,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,5,4,0,3,29,1,1,FALSE
1,0,5,33,0,5,235,0,4,FALSE
0,2,9,10,2,1,145,0,4,FALSE
1,0,4,7,3,6,73,0,3,FALSE
2,0,2,120,1,17,84,0,1,FALSE
2,1,7,6,2,6,130,1,2,FALSE
1,0,5,1,1,1,23,0,3,FALSE
1,7,11,24,7,5,118,0,2,FALSE
0,0,5,0,1,9,213,0,1,FALSE
1,0,6,24,1,22,401,0,2,FALSE
1,0,4,3,1,3,20,0,1,FALSE
1,0,1,149,1,18,114,0,2,FALSE
2,0,5,46,1,12,105,2,3,FALSE
1,0,66,0,65,1,1,0,1,FALSE
2,4,15,73,11,9,159,3,3,FALSE
1,0,6,4,1,4,23,0,1,FALSE
1,0,4,10,1,4,56,0,1,TRUE
2,1,50,1723,12,48,1182,1,7,TRUE
1,0,8,82,3,13,162,0,3,TRUE
4,15,49,6,49,4,21,0,0,TRUE
2,0,7,1,0,2,48,1,4,TRUE
2,2,12,56,2,11,257,1,2,TRUE
5,0,1,0,0,3,33,0,1,TRUE
4,0,14,52,7,10,91,5,2,TRUE
3,0,8,6,4,3,28,3,1,TRUE
2,1,7,0,1,7,66,1,1,TRUE
1,0,2,8,0,5,57,0,2,TRUE
2,0,9,6,3,4,28,1,1,TRUE
4,0,9,21,3,7,45,4,1,TRUE
1,0,1,3,1,3,22,0,1,TRUE
3,0,9,6,6,4,25,2,1,TRUE
1,1,13,12,2,2,388,0,11,TRUE
1,0,126,0,125,1,1,0,1,TRUE
3,3,5,6,5,4,20,0,0,TRUE
5,0,8,0,7,2,21,0,1,TRUE
1,0,41,435,18,29,193,0,1,TRUE
