@relation camelA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z41.49855908-no-replacement

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,7,0,5,1,1,0,1,FALSE
5,0,4,0,2,2,25,0,1,FALSE
3,0,9,4,1,2,218,2,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
5,0,4,0,1,3,34,0,1,FALSE
3,0,7,3,1,4,46,1,1,FALSE
1,0,5,0,4,1,1,0,1,FALSE
3,0,8,36,1,11,158,7,4,FALSE
1,3,3,0,3,4,31,0,1,FALSE
1,0,5,21,4,6,112,0,4,FALSE
2,27,32,0,27,6,47,1,1,FALSE
2,0,25,362,3,24,323,2,2,FALSE
2,0,10,165,6,15,105,3,1,FALSE
1,0,38,6427,14,111,1327,0,32,FALSE
1,0,2,1,1,2,54,0,6,FALSE
2,0,24,339,3,23,311,2,2,FALSE
1,0,6,61,2,14,81,0,1,FALSE
2,0,3,0,1,3,45,1,1,FALSE
1,0,1,1,0,2,26,0,1,FALSE
4,0,1,0,1,3,37,0,2,FALSE
2,0,7,0,4,3,24,0,1,FALSE
1,0,9,1,8,2,2,0,1,FALSE
1,0,9,45,3,8,216,0,4,FALSE
1,0,6,6,4,4,4,0,1,FALSE
3,0,9,80,3,16,187,9,5,FALSE
1,0,10,11,8,6,166,0,1,FALSE
1,0,20,153,12,18,18,0,1,FALSE
3,0,12,0,1,5,107,1,2,FALSE
3,1,6,0,2,6,46,1,1,FALSE
1,0,4,0,1,3,27,0,1,FALSE
3,0,8,11,1,3,334,1,1,FALSE
3,2,8,79,2,11,146,1,1,FALSE
0,0,23,61,5,5,182,0,2,FALSE
4,0,14,22,3,8,244,2,11,FALSE
1,0,2,118,0,15,172,0,1,FALSE
1,0,22,3486,4,83,1002,0,29,FALSE
1,0,4,1,0,1,68,0,8,FALSE
3,0,9,26,1,6,81,1,2,FALSE
1,0,3,1,1,2,7,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,7,8,1,5,44,0,1,FALSE
3,0,4,30,1,9,50,5,1,FALSE
0,0,5,1,1,2,50,0,1,FALSE
2,0,1,0,0,4,22,0,1,FALSE
1,9,9,1,9,3,14,0,1,FALSE
2,8,34,1045,15,41,535,0,2,FALSE
1,1,7,137,1,16,183,0,2,FALSE
2,0,8,0,2,4,65,1,1,FALSE
3,1,37,112,10,11,230,3,5,FALSE
3,0,8,21,2,4,66,0,2,FALSE
1,0,12,1,11,2,2,0,1,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,5,0,0,2,30,0,1,FALSE
1,0,3,1,2,2,2,0,1,FALSE
2,0,59,32,58,7,242,1,4,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,0,2,1,2,2,2,0,1,FALSE
0,0,8,13,1,3,143,0,1,FALSE
1,0,16,6,13,5,31,0,1,FALSE
1,3,3,0,3,4,31,0,1,FALSE
3,0,17,8,3,3,295,1,18,FALSE
1,0,3,0,2,1,1,0,1,FALSE
5,1,8,37,4,11,117,4,3,FALSE
1,0,4,1,1,3,47,0,2,FALSE
1,0,4,0,1,4,35,0,1,FALSE
1,0,11,0,10,1,1,0,1,FALSE
0,0,5,0,1,9,213,0,1,FALSE
1,0,6,36,0,8,51,0,1,FALSE
1,0,14,1436,1,45,650,0,6,FALSE
2,0,7,0,2,4,64,1,1,FALSE
3,0,4,10,1,4,35,0,1,FALSE
2,0,8,28,1,1,396,1,7,FALSE
