"X","version","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","Original.Release","Faultiness","Order"
1,0.6,3,5,0,5,24,3,0,5,3,2,276,0,0,0.933333333,0.5,1,1,91,1,0.6667,0,"forrest-0.6",FALSE,"FIRST"
2,0.6,2,5,0,6,12,1,0,6,2,2,43,0,0,0.933333333,0.75,1,1,20.5,1,0.5,1,"forrest-0.6",TRUE,"FIRST"
3,0.6,10,3,0,17,42,37,0,17,5,0.925925926,340,1,1,0.5,0.366666667,1,1,32.4,3,1.2,0,"forrest-0.6",FALSE,"FIRST"
4,0.6,7,1,0,4,16,21,2,2,5,1.166666667,107,0.75,0,0,0.238095238,0,0,13.71428571,5,1.4286,0,"forrest-0.6",FALSE,"FIRST"
5,0.6,7,4,0,5,44,21,4,2,7,2,219,0,0,0.9,0.30952381,2,6,30.28571429,5,1.7143,0,"forrest-0.6",FALSE,"FIRST"
6,0.6,5,4,0,12,20,6,0,12,3,0.5,88,1,0,0.789473684,0.4,1,1,16.2,1,0.8,0,"forrest-0.6",FALSE,"FIRST"
7,0.7,3,2,0,24,43,0,0,24,3,0.75,247,1,0,0.714285714,0.428571429,0,0,80.66666667,1,0.6667,0,"forrest-0.7",FALSE,"FIRST"
8,0.7,3,3,0,13,30,0,2,13,3,0.625,216,1,2,0.818181818,0.444444444,2,2,69.66666667,1,0.6667,0,"forrest-0.7",FALSE,"FIRST"
9,0.7,14,1,0,7,19,69,7,0,14,0.897435897,81,1,0,0,0.785714286,0,0,4.357142857,1,0.9286,0,"forrest-0.7",FALSE,"FIRST"
10,0.7,5,3,0,14,34,2,4,13,3,0.666666667,235,1,2,0.692307692,0.333333333,1,1,45.4,1,0.8,0,"forrest-0.7",FALSE,"FIRST"
11,0.7,8,5,0,19,43,8,1,19,8,0.821428571,305,0.25,0,0.65,0.3,1,1,36.625,2,1.125,0,"forrest-0.7",FALSE,"FIRST"
12,0.7,3,2,0,10,14,0,0,10,3,0,97,0,0,0.714285714,0.466666667,0,0,31,2,1,0,"forrest-0.7",FALSE,"FIRST"
13,0.7,1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0,"forrest-0.7",FALSE,"FIRST"
14,0.7,2,5,0,5,12,1,0,5,2,2,43,0,0,0.933333333,0.75,0,0,20.5,1,0.5,0,"forrest-0.7",FALSE,"FIRST"
15,0.7,5,2,4,13,28,6,4,9,3,0.625,138,1,0,0.555555556,0.48,0,0,26.2,1,0.8,0,"forrest-0.7",FALSE,"FIRST"
16,0.7,5,4,0,12,20,6,0,12,3,0.5,88,1,0,0.789473684,0.4,1,1,16.2,1,0.8,0,"forrest-0.7",FALSE,"FIRST"
