wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
3,5,0,5,24,3,0,5,3,2,276,0,0,0.933333333,0.5,1,1,91,1,0.6667,FALSE
2,5,0,6,12,1,0,6,2,2,43,0,0,0.933333333,0.75,1,1,20.5,1,0.5,TRUE
10,3,0,17,42,37,0,17,5,0.925925926,340,1,1,0.5,0.366666667,1,1,32.4,3,1.2,FALSE
7,1,0,4,16,21,2,2,5,1.166666667,107,0.75,0,0,0.238095238,0,0,13.71428571,5,1.4286,FALSE
7,4,0,5,44,21,4,2,7,2,219,0,0,0.9,0.30952381,2,6,30.28571429,5,1.7143,FALSE
5,4,0,12,20,6,0,12,3,0.5,88,1,0,0.789473684,0.4,1,1,16.2,1,0.8,FALSE
3,2,0,24,43,0,0,24,3,0.75,247,1,0,0.714285714,0.428571429,0,0,80.66666667,1,0.6667,FALSE
3,3,0,13,30,0,2,13,3,0.625,216,1,2,0.818181818,0.444444444,2,2,69.66666667,1,0.6667,FALSE
14,1,0,7,19,69,7,0,14,0.897435897,81,1,0,0,0.785714286,0,0,4.357142857,1,0.9286,FALSE
5,3,0,14,34,2,4,13,3,0.666666667,235,1,2,0.692307692,0.333333333,1,1,45.4,1,0.8,FALSE
8,5,0,19,43,8,1,19,8,0.821428571,305,0.25,0,0.65,0.3,1,1,36.625,2,1.125,FALSE
3,2,0,10,14,0,0,10,3,0,97,0,0,0.714285714,0.466666667,0,0,31,2,1,FALSE
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
2,5,0,5,12,1,0,5,2,2,43,0,0,0.933333333,0.75,0,0,20.5,1,0.5,FALSE
5,2,4,13,28,6,4,9,3,0.625,138,1,0,0.555555556,0.48,0,0,26.2,1,0.8,FALSE
5,4,0,12,20,6,0,12,3,0.5,88,1,0,0.789473684,0.4,1,1,16.2,1,0.8,FALSE
4,1,0,9,24,0,1,8,4,0.5,144,1,0,0,0.5,0,0,34.5,4,1.5,TRUE
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,FALSE
10,3,0,16,42,37,0,16,5,0.925925926,340,1,1,0.5,0.366666667,1,1,32.4,2,1.1,TRUE
7,2,0,15,48,5,2,14,4,0.9375,364,0.5,2,0.454545455,0.371428571,0,0,49.85714286,2,1,TRUE
3,3,0,13,33,0,2,13,3,0.6,234,1,2,0.818181818,0.444444444,2,2,75.33333333,1,0.6667,FALSE
2,4,0,2,4,1,0,2,1,2,10,0,0,0.9,0.666666667,1,1,4,1,0.5,FALSE
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,FALSE
3,5,0,4,24,3,0,4,3,2,276,0,0,0.931034483,0.5,1,1,91,1,0.6667,FALSE
3,3,0,11,12,1,2,9,3,0.75,45,1,1,0.818181818,0.444444444,0,0,13.33333333,1,0.6667,FALSE
3,1,0,5,7,1,1,4,3,0.5,23,1,0,0,0.555555556,0,0,6.333333333,2,1,FALSE
3,1,0,5,9,1,1,4,3,0.5,52,1,0,0,0.555555556,0,0,15.66666667,6,2.3333,FALSE
17,6,0,13,62,88,0,13,9,0.671875,532,1,0,0.76119403,0.25,1,2,30.05882353,17,2.8235,FALSE
10,2,0,17,38,35,0,17,7,0.722222222,291,1,1,0.384615385,0.37037037,0,0,27.5,1,0.8,TRUE
7,4,0,5,45,21,3,2,7,2,215,0,0,0.9,0.30952381,2,5,29.71428571,5,1.7143,FALSE
7,1,0,4,16,21,2,2,5,1.166666667,104,0,0,0,0.238095238,0,0,13.71428571,5,1.4286,TRUE
13,6,0,16,49,38,0,16,10,0.604166667,410,1,0,0.80952381,0.213675214,1,2,30.23076923,2,1,FALSE
3,1,0,5,13,1,1,4,3,0.5,84,1,0,0,0.555555556,0,0,26.33333333,9,3.3333,FALSE
3,1,0,4,13,1,0,4,3,0.5,90,1,0,0,0.555555556,0,0,28.33333333,11,4,FALSE
7,2,0,11,26,0,0,11,7,0.583333333,141,0,0,0.454545455,0.485714286,0,0,18.85714286,2,1,FALSE
6,3,0,15,37,1,5,14,3,0.666666667,258,1,2,0.642857143,0.305555556,1,1,41.5,1,0.8333,FALSE
8,5,0,19,43,8,1,19,8,0.821428571,305,0.25,0,0.65,0.3,1,1,36.625,2,1.125,FALSE
3,2,0,10,14,0,0,10,3,0,104,0,0,0.714285714,0.466666667,0,0,33.33333333,4,1.6667,FALSE
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
2,5,0,5,12,1,0,5,2,2,43,0,0,0.933333333,0.75,0,0,20.5,1,0.5,FALSE
5,2,6,15,28,6,6,9,3,0.625,138,1,0,0.555555556,0.48,0,0,26.2,1,0.8,FALSE
5,4,0,12,20,6,0,12,3,0.5,88,1,0,0.789473684,0.4,1,1,16.2,1,0.8,FALSE
4,1,0,10,25,0,1,9,4,0.5,144,1,0,0,0.5,0,0,34.5,4,1.5,FALSE
2,4,0,5,13,1,0,5,1,2,62,0,0,0.9,0.666666667,1,1,30,4,2,FALSE
5,3,0,17,36,4,2,16,3,0.75,293,1,1,0.692307692,0.333333333,0,0,56.6,1,0.8,FALSE
