wmc	dit	noc	cbo	rfc	lcom	ca	ce	npm	lcom3	loc	dam	moa	mfa	cam	ic	cbm	amc	max_cc	avg_cc	Faultiness
12	3	0	16	67	20	0	16	6	0.781818182	702	1	1	0.45	0.375	1	1	57.08333333	4	1.1667	FALSE
8	2	0	17	53	2	3	16	4	0.914285714	514	0.6	3	0.416666667	0.35	0	0	62	2	1	FALSE
3	3	0	14	34	0	3	14	3	0.6	270	1	2	0.818181818	0.444444444	2	2	87.33333333	1	0.6667	FALSE
2	4	0	2	4	1	0	2	1	2	10	0	0	0.9	0.666666667	1	1	4	1	0.5	FALSE
4	3	0	15	35	2	3	15	3	0.75	270	1	2	0.75	0.357142857	2	2	65.5	2	1	FALSE
14	1	0	7	19	69	7	0	14	0.897435897	81	1	0	0	0.785714286	0	0	4.357142857	1	0.9286	FALSE
3	3	0	12	12	1	3	9	3	0.75	45	1	1	0.818181818	0.444444444	0	0	13.33333333	1	0.6667	FALSE
3	1	0	5	7	1	1	4	3	0.5	23	1	0	0	0.555555556	0	0	6.333333333	2	1	FALSE
3	1	0	5	9	1	1	4	3	0.5	52	1	0	0	0.555555556	0	0	15.66666667	6	2.3333	FALSE
17	6	0	13	62	88	0	13	9	0.671875	532	1	0	0.76119403	0.25	1	2	30.05882353	17	2.8235	FALSE
11	2	0	17	53	37	0	17	7	0.75	522	1	1	0.357142857	0.366666667	0	0	45.54545455	2	0.9091	TRUE
7	4	0	5	45	21	3	2	7	2	215	0	0	0.9	0.30952381	2	5	29.71428571	5	1.7143	FALSE
8	1	0	4	17	28	2	2	6	1.142857143	126	0	0	0	0.25	0	0	14.625	5	1.375	FALSE
13	6	0	16	49	38	0	16	10	0.604166667	410	1	0	0.80952381	0.213675214	1	2	30.23076923	2	1	FALSE
5	2	0	18	25	6	0	18	5	1	152	0.5	0	0.555555556	0.333333333	0	0	28.6	1	0.8	TRUE
3	1	0	5	13	1	1	4	3	0.5	84	1	0	0	0.555555556	0	0	26.33333333	9	3.3333	FALSE
3	1	0	5	13	1	1	4	3	0.5	90	1	0	0	0.555555556	0	0	28.33333333	11	4	FALSE
7	2	0	11	26	0	0	11	7	0.583333333	141	0	0	0.454545455	0.485714286	0	0	18.85714286	2	1	FALSE
3	2	0	23	44	0	0	23	3	0.75	249	1	0	0.714285714	0.428571429	0	0	81.33333333	1	0.6667	FALSE
4	3	0	20	36	0	3	20	4	0.761904762	278	1	2	0.75	0.416666667	2	2	66.75	1	0.75	FALSE
2	4	0	5	13	1	0	5	1	2	62	0	0	0.9	0.666666667	1	1	30	4	2	FALSE
3	5	0	4	24	3	0	4	3	2	276	0	0	0.931034483	0.5	1	1	91	1	0.6667	FALSE
