@relation ivyA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
8,2,1,2,0,0.666667,FALSE
7,52,5,420,0,0.25,TRUE
10,4,1,4,0,0.55,TRUE
17,57,15,346,0.85,0.192308,TRUE
37,153,37,1515,0.307692,0.122333,TRUE
8,51,8,255,0.777778,0.366667,TRUE
13,6,3,6,0,1,TRUE
4,25,2,126,0,0.625,FALSE
7,15,3,83,0.3,0.34375,TRUE
4,1,1,1,0,1,FALSE
3,5,3,12,0.987654,1,FALSE
6,25,2,167,0,0.256579,FALSE
3,17,2,74,0,0.5,TRUE
9,44,9,230,0.777778,0.366667,TRUE
7,12,3,40,0,0.428571,FALSE
28,7,2,7,0,1,FALSE
27,13,0,87,0,0.444444,TRUE
13,88,13,531,0.597561,0.375,TRUE
10,36,10,159,0.454545,0.377778,TRUE
42,27,1,164,0,0.340909,TRUE
6,33,4,229,0,0.48,TRUE
2,4,0,14,0,0.666667,FALSE
4,19,3,82,0,0.31746,TRUE
2,59,1,682,0,0.4375,FALSE
6,14,1,105,0,0.311111,TRUE
18,52,18,489,0,0.25,TRUE
16,49,7,255,0.755102,0.285714,TRUE
11,34,11,184,0.571429,0.240385,TRUE
8,6,2,6,0,1,TRUE
33,32,2,211,0,0.160714,TRUE
10,31,5,182,0,0.266667,TRUE
14,3,1,3,0,1,FALSE
3,4,2,10,0.833333,0.666667,FALSE
8,10,2,10,0,0.5,TRUE
6,63,6,435,0.809524,0.4,TRUE
12,32,4,152,0,0.309524,TRUE
7,26,3,119,0,0.272727,FALSE
30,20,7,21,0,0.225,TRUE
5,24,5,140,0.880435,0.25,FALSE
21,114,19,1472,0.472222,0.238889,TRUE
3,6,2,48,0.833333,0.666667,FALSE
2,8,2,24,0,0.5,FALSE
11,17,4,103,0,0.241667,TRUE
10,44,9,432,0,0.357143,TRUE
17,13,3,13,0,0.487179,FALSE
5,17,1,121,0,0.34375,FALSE
4,4,0,20,0,0.666667,FALSE
14,4,0,4,0,1,TRUE
7,21,4,88,0,0.625,TRUE
6,11,2,41,0,0.466667,FALSE
10,2,1,2,0,0.666667,FALSE
4,1,1,1,0,1,FALSE
8,43,8,226,0.765625,0.359375,TRUE
5,5,3,9,0,0.666667,TRUE
