wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
2,1,0,8,2,1,7,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,FALSE
23,1,0,7,52,171,2,5,20,0.837662338,420,1,2,0,0.25,0,0,16.95652174,4,1.4348,TRUE
4,1,0,10,4,6,9,1,4,2,4,0,0,0,0.55,0,0,0,1,1,TRUE
13,4,2,17,57,22,2,15,9,0.25,346,1,1,0.85,0.192307692,3,7,25.53846154,6,1.6154,TRUE
38,2,0,37,153,569,1,37,21,0.89527027,1515,0.875,1,0.307692308,0.122332859,1,1,38.65789474,4,1.5,TRUE
15,4,0,8,51,47,1,8,15,0.785714286,255,1,0,0.777777778,0.366666667,2,4,15.6,1,0.9333,TRUE
6,1,0,13,6,15,11,3,6,2,6,0,0,0,1,0,0,0,1,1,TRUE
4,1,2,4,25,6,2,2,4,2,126,0,0,0,0.625,1,1,30.5,8,2.75,FALSE
8,2,0,7,15,0,4,3,8,0.571428571,83,0,1,0.3,0.34375,1,4,9.125,1,0.875,TRUE
1,1,0,4,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
2,5,0,3,5,1,0,3,2,2,12,0,0,0.987654321,1,1,1,5,1,0.5,FALSE
19,1,0,6,25,135,4,2,12,0.944444444,167,0.5625,2,0,0.256578947,0,0,6.947368421,4,1,FALSE
5,1,0,3,17,0,1,2,4,0.416666667,74,1,0,0,0.5,0,0,13.2,4,1.2,TRUE
15,4,0,9,44,63,0,9,15,0.833333333,230,1,0,0.777777778,0.366666667,2,4,13.93333333,1,0.9333,TRUE
7,1,0,7,12,0,5,3,7,0.5,40,1,1,0,0.428571429,0,0,4.428571429,1,0.8571,FALSE
7,1,0,28,7,21,26,2,7,2,7,0,0,0,1,0,0,0,1,1,FALSE
6,1,0,27,13,0,27,0,6,0.2,87,1,0,0,0.444444444,1,1,13.16666667,4,1.3333,TRUE
34,4,0,13,88,433,0,13,32,0.925252525,531,1,0,0.597560976,0.375,2,4,14.17647059,1,0.9706,TRUE
9,2,0,10,36,14,1,10,8,0.5625,159,1,1,0.454545455,0.377777778,0,0,16.44444444,4,1.3333,TRUE
11,1,0,42,27,31,41,1,11,0.3,164,1,1,0,0.340909091,1,1,13.72727273,6,2,TRUE
5,1,0,6,33,10,2,4,5,2,229,0,0,0,0.48,0,0,44.8,7,2,TRUE
3,1,0,2,4,1,2,0,3,0.5,14,1,0,0,0.666666667,0,0,3.333333333,1,0.6667,FALSE
9,1,0,4,19,20,1,3,9,0.1875,82,1,1,0,0.317460317,0,0,7.888888889,2,1,TRUE
13,1,0,2,59,0,1,1,11,0.611111111,682,1,0,0,0.4375,0,0,51.23076923,16,2.9231,FALSE
9,1,0,6,14,24,5,1,9,0.65625,105,1,1,0,0.311111111,1,1,10.22222222,2,0.8889,TRUE
5,1,0,18,52,10,0,18,2,2,489,0,0,0,0.25,0,0,96.8,1,0.8,TRUE
14,3,11,16,49,69,11,7,3,0.807692308,255,1,0,0.755102041,0.285714286,0,0,17.07142857,4,1.9286,TRUE
13,2,0,11,34,0,2,11,13,0.333333333,184,1,2,0.571428571,0.240384615,1,1,13,3,1.2308,TRUE
6,1,0,8,6,15,7,2,6,2,6,0,0,0,1,0,0,0,1,1,TRUE
15,1,0,33,32,13,31,2,13,0.875,211,0.375,1,0,0.160714286,0,0,12.53333333,2,1.4667,TRUE
10,1,0,10,31,0,6,5,10,0.555555556,182,1,1,0,0.266666667,0,0,17,3,1.5,TRUE
3,1,0,14,3,3,13,1,3,2,3,0,0,0,1,0,0,0,1,1,FALSE
2,2,0,3,4,1,1,2,2,2,10,0,0,0.833333333,0.666666667,0,0,4,1,0.5,FALSE
10,1,0,8,10,45,6,2,10,2,10,0,0,0,0.5,0,0,0,1,1,TRUE
5,2,0,6,63,0,1,6,5,0.541666667,435,1,2,0.80952381,0.4,1,1,84.8,1,0.8,TRUE
6,1,0,12,32,15,8,4,6,1.2,152,1,0,0,0.30952381,0,0,24.16666667,1,0.8333,TRUE
11,1,0,7,26,29,4,3,11,0.3,119,1,2,0,0.272727273,1,1,9.636363636,4,1.1818,FALSE
20,1,0,30,20,190,23,7,20,1.052631579,21,0,0,0,0.225,0,0,0,1,1,TRUE
12,6,0,5,24,32,0,5,10,0.818181818,140,0.5,0,0.880434783,0.25,1,1,10.33333333,5,1.5,FALSE
21,2,0,21,114,122,3,19,9,0.9,1472,1,6,0.472222222,0.238888889,1,2,68.0952381,8,1.7619,TRUE
2,2,0,3,6,1,1,2,2,2,48,0,0,0.833333333,0.666666667,0,0,23,6,3,FALSE
4,1,0,2,8,4,0,2,4,0.666666667,24,1,1,0,0.5,0,0,4.75,1,0.75,FALSE
12,1,0,11,17,18,9,4,12,0.681818182,103,1,2,0,0.241666667,0,0,7.083333333,1,0.75,TRUE
4,1,0,10,44,6,1,9,3,2,432,0,0,0,0.357142857,0,0,107,11,3.5,TRUE
13,1,0,17,13,78,15,3,13,2,13,0,0,0,0.487179487,0,0,0,1,1,FALSE
8,1,0,5,17,20,4,1,8,0.5,121,1,1,0,0.34375,1,1,13.625,6,1.5,FALSE
3,1,0,4,4,0,4,0,3,0.5,20,1,0,0,0.666666667,0,0,5,1,0.6667,FALSE
4,1,0,14,4,6,14,0,4,2,4,0,0,0,1,0,0,0,1,1,TRUE
2,1,0,7,21,1,4,4,2,2,88,0,0,0,0.625,0,0,43,1,0.5,TRUE
5,1,0,6,11,0,4,2,5,0.375,41,1,1,0,0.466666667,0,0,6.8,1,0.8,FALSE
2,1,0,10,2,1,10,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,FALSE
1,1,0,4,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
16,4,0,8,43,86,0,8,16,0.857142857,226,1,0,0.765625,0.359375,2,4,12.6875,1,0.9375,TRUE
2,1,0,5,5,1,2,3,2,2,9,0,0,0,0.666666667,0,0,3.5,1,0.5,TRUE
6,1,0,19,81,15,3,17,5,2,681,0,0,0,0.285714286,0,0,112.5,19,4.3333,TRUE
3,2,0,4,19,0,1,3,3,0,57,1,0,0.714285714,0.5,0,0,17.66666667,2,1,FALSE
6,1,0,6,39,13,3,3,4,0.6,193,0,0,0,0.35,0,0,31,1,0.6667,TRUE
18,6,0,8,49,77,1,8,14,0.794117647,340,0.666666667,0,0.826530612,0.240740741,2,2,17.55555556,9,1.7778,FALSE
5,1,0,1,22,8,0,1,5,0.5,97,1,0,0,0.4,0,0,18.2,1,0.6,FALSE
7,1,0,5,8,15,5,0,6,0.5,51,1,0,0,0.535714286,0,0,5.857142857,1,0.5714,FALSE
8,2,0,8,39,24,2,7,5,0.857142857,193,1,2,0.695652174,0.375,0,0,22.875,1,0.875,TRUE
22,4,0,12,64,149,0,12,18,0.863095238,464,1,0,0.7,0.345454545,2,3,19.72727273,1,0.9545,TRUE
6,1,0,2,11,0,1,1,6,0,32,1,0,0,0.583333333,0,0,4.166666667,1,0.8333,FALSE
