@relation ivyB

@attribute ﻿cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
10,49,0,304,0.736264,0.37,FALSE
6,36,0,165,0.583333,0.5,FALSE
1,22,0,103,0,0.2,FALSE
13,22,11,201,0,0.583333,FALSE
56,242,54,2550,0.537815,0.113946,TRUE
2,6,1,36,0,0.6,TRUE
14,49,4,298,0,0.346154,FALSE
3,5,2,15,1,1,FALSE
21,104,20,733,0.695652,0.143236,TRUE
2,1,0,1,0,1,FALSE
4,18,0,76,0.982558,0.625,FALSE
12,14,6,51,0,0.3,FALSE
9,58,0,373,0.512821,0.32,FALSE
8,4,0,20,0,0.666667,FALSE
8,90,7,1160,0,0.239583,FALSE
6,7,4,18,0.9375,0.625,FALSE
7,33,3,284,0.375,0.23913,FALSE
12,46,5,281,0,0.17316,FALSE
30,104,25,707,0.87574,0.184659,FALSE
12,77,0,797,0.661017,0.227513,FALSE
7,30,7,228,0.5,0.333333,FALSE
6,31,5,360,0.5,0.393939,FALSE
16,3,1,3,0,1,FALSE
21,104,0,839,0.644231,0.225564,TRUE
34,1,0,1,0,1,FALSE
4,5,3,21,0.933333,0.666667,FALSE
23,16,4,77,0,0.26,FALSE
3,5,0,18,0.8,0.75,FALSE
4,2,2,2,0,0.75,FALSE
6,26,1,136,0,0.246667,FALSE
23,6,1,6,0,0.555556,FALSE
5,25,5,145,0.6,0.371429,FALSE
43,11,8,11,0,0.409091,TRUE
3,2,0,5,1,1,FALSE
2,4,0,14,0,0.666667,FALSE
2,12,0,53,0,0.7,FALSE
35,18,4,99,0,0.277778,FALSE
4,11,1,60,0,0.481481,FALSE
3,2,0,2,0,0.75,FALSE
14,24,4,107,0,0.393939,TRUE
16,26,3,243,0.421053,0.196581,FALSE
27,78,12,543,0,0.123077,FALSE
4,4,3,8,0.666667,0.75,FALSE
10,39,8,225,0,0.22449,FALSE
28,104,26,691,0,0.227273,FALSE
9,31,8,170,0,0.5,FALSE
7,1,1,1,0,1,FALSE
57,23,16,23,0,0.127717,FALSE
12,16,3,104,0.125,0.293333,FALSE
5,36,3,146,0,0.444444,FALSE
21,38,4,224,0.333333,0.253968,FALSE
6,18,4,67,0,0.444444,FALSE
111,312,75,2701,0,0.062279,FALSE
57,32,0,277,0,0.307692,FALSE
11,14,3,72,0,0.25,FALSE
11,6,2,6,0,1,FALSE
2,5,1,22,0,0.555556,FALSE
62,25,8,25,0,0.296,FALSE
11,17,3,54,0,0.416667,FALSE
9,9,3,52,0,0.466667,FALSE
6,12,2,78,0,0.363636,FALSE
33,84,0,670,0.552239,0.25,FALSE
6,29,5,167,0,0.382353,FALSE
7,12,5,53,0,0.5,FALSE
54,7,0,7,0,0.571429,FALSE
13,38,12,197,0.5,0.377778,FALSE
17,70,17,488,0.862944,0.129121,FALSE
7,1,2,1,0,1,FALSE
3,9,1,40,0.791667,0.666667,FALSE
4,2,0,2,0,0.666667,FALSE
16,79,15,435,0,0.5,FALSE
15,10,0,68,0,0.666667,FALSE
27,8,14,8,0,0.267857,TRUE
5,56,4,334,0,0.342857,FALSE
20,105,0,623,0.888889,0.207792,FALSE
3,14,2,63,0,0.4,FALSE
9,38,0,197,0.5,0.4,FALSE
3,2,2,8,1,1,FALSE
2,6,1,35,0,0.5,FALSE
106,45,5,124,0,0.144737,FALSE
8,19,0,19,0,0.421053,FALSE
9,2,3,4,0,0.625,FALSE
9,61,7,544,0.611111,0.375,TRUE
25,69,24,420,0.945274,0.174825,FALSE
5,5,3,18,0.8,0.75,FALSE
1,4,1,10,0.666667,0.666667,FALSE
7,17,2,58,0,0.833333,FALSE
3,11,1,60,0,0.361111,FALSE
11,3,3,3,0,1,FALSE
8,5,0,5,0,0.7,FALSE
4,5,1,18,0.875,0.555556,FALSE
3,3,1,3,0,0.666667,FALSE
11,72,10,719,0,0.220238,TRUE
10,34,0,207,0,0.404762,FALSE
9,20,6,89,0,0.533333,FALSE
6,4,0,4,0,1,TRUE
4,2,3,11,1,1,FALSE
5,29,3,157,0,0.416667,FALSE
8,1,2,1,0,1,FALSE
10,64,10,444,0,0.243056,TRUE
6,38,4,242,0,0.375,FALSE
34,2,1,7,0,0.75,FALSE
6,39,4,165,0,0.344538,FALSE
5,3,2,3,0,1,FALSE
8,27,0,175,0.817073,0.71875,TRUE
6,64,6,636,0,0.385965,FALSE
6,13,3,55,0,0.458333,FALSE
8,23,0,143,0.930556,0.666667,FALSE
7,10,5,27,0.714286,0.5,FALSE
4,4,3,30,0.941176,0.6,FALSE
37,68,9,513,0,0.182266,FALSE
20,61,16,192,0,0.166667,FALSE
6,41,0,204,0.938053,0.40625,FALSE
6,13,6,46,0.857143,0.666667,FALSE
2,6,1,23,0,0.666667,FALSE
24,2,0,2,0,0.75,FALSE
9,44,0,176,0.920354,0.466667,FALSE
3,2,1,5,1,1,FALSE
3,12,1,77,0,0.428571,FALSE
6,40,4,227,0,0.666667,FALSE
5,1,1,1,0,1,FALSE
6,14,3,74,0,0.5,FALSE
7,18,6,87,0.875,0.466667,FALSE
26,132,25,1096,0.804054,0.171111,FALSE
7,12,6,64,0.875,0.444444,FALSE
11,13,2,44,0,0.444444,FALSE
6,1,2,1,0,1,FALSE
8,32,0,134,0.755102,0.192308,FALSE
13,14,2,24,0,0.533333,FALSE
10,3,3,3,0,1,FALSE
14,2,1,4,1,1,FALSE
6,2,2,2,0,1,FALSE
16,109,15,719,0,0.147569,TRUE
16,2,2,2,0,0.75,FALSE
7,27,0,147,0.917808,0.357143,FALSE
22,30,8,267,0,0.285714,FALSE
7,17,5,60,0.4,0.666667,FALSE
11,39,0,1308,0,0.174603,FALSE
3,8,0,51,0,0.535714,FALSE
8,24,0,124,0.858974,0.708333,TRUE
5,2,2,2,0,1,FALSE
6,4,3,8,0,0.625,FALSE
4,21,4,144,0.666667,0.533333,FALSE
4,7,3,31,0,0.4375,FALSE
22,12,0,72,0,0.375,FALSE
7,1,2,1,0,1,FALSE
5,7,4,18,0.9375,0.625,FALSE
3,6,2,15,0.8,0.833333,FALSE
21,97,0,677,0.517241,0.206897,FALSE
7,23,2,105,0,0.533333,FALSE
33,45,7,350,0.0625,0.163194,FALSE
