wmc	dit	noc	cbo	rfc	lcom	ca	ce	npm	lcom3	loc	dam	moa	mfa	cam	ic	cbm	amc	max_cc	avg_cc	Faultiness
25	4	0	10	49	224	0	0	25	0.90530303	304	1	0	0.736263736	0.37	2	3	10.72	1	0.96	FALSE
6	2	0	6	36	0	1	0	5	0.3	165	1	0	0.583333333	0.5	1	2	26.16666667	3	1.8333	FALSE
5	1	0	1	22	10	1	0	3	1.25	103	1	0	0	0.2	0	0	19.2	2	1	FALSE
3	1	0	13	22	0	4	11	2	1	201	1	3	0	0.583333333	0	0	64	6	3.3333	FALSE
57	2	1	56	242	1504	8	54	27	0.950255102	2550	0.785714286	3	0.537815126	0.113945578	2	5	43.49122807	9	2.0351	TRUE
5	1	0	2	6	2	1	1	5	0.75	36	1	0	0	0.6	0	0	5.4	1	0.8	TRUE
13	1	0	14	49	24	11	4	12	0.65	298	1	0	0	0.346153846	0	0	21.53846154	4	1.8462	FALSE
2	3	0	3	5	0	1	2	1	0	15	1	0	1	1	0	0	6	0	0	FALSE
29	2	0	21	104	236	1	20	22	0.767857143	733	1	0	0.695652174	0.143236074	1	4	24.13793103	5	1.7586	TRUE
1	1	0	2	1	0	2	0	1	2	1	0	0	0	1	0	0	0	1	1	FALSE
5	5	0	4	18	8	1	0	4	0.875	76	1	0	0.98255814	0.625	2	2	13.8	3	1	FALSE
10	1	6	12	14	37	6	6	10	0.777777778	51	1	1	0	0.3	0	0	3.9	1	0.8	FALSE
21	2	2	9	58	156	3	0	15	0.855555556	373	1	0	0.512820513	0.32	0	0	16.33333333	6	1.381	FALSE
3	1	0	8	4	0	8	0	3	0.5	20	1	0	0	0.666666667	0	0	5	1	0.6667	FALSE
25	1	0	8	90	112	4	7	21	0.907738095	1160	0.357142857	1	0	0.239583333	0	0	44.84	29	2.96	FALSE
2	3	0	6	7	1	2	4	2	2	18	0	0	0.9375	0.625	0	0	8	1	0.5	FALSE
23	2	0	7	33	213	4	3	15	0.966403162	284	0.47826087	2	0.375	0.239130435	0	0	10.34782609	5	1.4348	FALSE
21	1	5	12	46	132	7	5	10	0.5875	281	0.75	1	0	0.173160173	0	0	12.19047619	4	1.381	FALSE
22	4	5	30	104	63	5	25	11	0.571428571	707	1	1	0.875739645	0.184659091	4	12	31.04545455	9	1.7727	FALSE
21	3	0	12	77	160	2	0	15	0.9125	797	1	0	0.661016949	0.227513228	2	3	36.57142857	3	1.0952	FALSE
9	2	0	7	30	0	1	7	9	0	228	1	0	0.5	0.333333333	1	1	24.22222222	3	2.1111	FALSE
12	2	0	6	31	20	3	5	9	1.012539185	360	1	1	0.5	0.393939394	1	1	26.58333333	6	2.0833	FALSE
3	1	0	16	3	3	15	1	3	2	3	0	0	0	1	0	0	0	1	1	FALSE
38	4	4	21	104	613	4	0	29	0.897683398	839	1	1	0.644230769	0.22556391	1	1	20.71052632	18	1.8158	TRUE
1	1	0	34	1	0	34	0	1	2	1	0	0	0	1	0	0	0	1	1	FALSE
2	3	0	4	5	0	1	3	2	1	21	0.5	1	0.933333333	0.666666667	0	0	8.5	1	0.5	FALSE
11	1	0	23	16	31	21	4	8	0.8	77	0.833333333	3	0	0.26	0	0	5.454545455	1	0.8182	FALSE
3	2	0	3	5	3	0	0	1	1	18	0	1	0.8	0.75	1	1	4.666666667	1	0.3333	FALSE
