@relation ivyA-weka.filters.supervised.instance.Resample-B0.0-S1-Z90.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z160.952381

@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cam numeric
@attribute Faultiness {FALSE,TRUE}

@data
7,29,5,171,0.388889,0.25,FALSE
11,12,0,45,0,0.333333,FALSE
4,1,1,1,0,1,FALSE
15,86,15,660,0.663043,0.35,FALSE
5,1,2,1,0,1,FALSE
7,23,0,148,0,0.4,FALSE
8,1,1,1,0,1,FALSE
2,18,1,102,0.983871,0.666667,FALSE
16,74,12,610,0,0.147826,FALSE
72,47,0,382,0,0.1375,FALSE
8,1,0,1,0,1,FALSE
5,17,1,121,0,0.34375,FALSE
2,59,1,682,0,0.4375,FALSE
10,48,9,489,0,0.314286,FALSE
5,1,2,1,0,1,FALSE
9,21,5,150,0.473684,0.316667,FALSE
7,26,6,158,0,0.525,FALSE
2,6,0,21,0,0.5,FALSE
7,36,7,243,0.743902,0.363636,FALSE
7,23,0,148,0,0.4,FALSE
4,6,0,6,0,0.75,FALSE
10,4,0,32,0,0.75,FALSE
9,39,7,228,0.826087,0.6,FALSE
4,21,0,68,0,0.340909,FALSE
7,31,0,303,0.5,0.393939,FALSE
6,11,4,42,0,0.6,FALSE
4,1,1,1,0,1,FALSE
3,11,2,48,0.727273,0.666667,FALSE
2,8,0,20,1,0.666667,FALSE
5,17,1,121,0,0.34375,FALSE
6,22,5,89,0,0.55,FALSE
19,107,0,659,0.650485,0.32973,FALSE
15,108,0,896,0.59292,0.221884,FALSE
9,4,0,32,0,0.75,FALSE
8,30,0,169,0,0.5,FALSE
2,15,0,95,0,0.727273,FALSE
11,40,0,212,0,0.416667,FALSE
3,7,1,36,0,0.444444,FALSE
5,5,3,24,0.923077,0.6,FALSE
12,5,1,24,0,0.5,FALSE
4,1,1,1,0,1,FALSE
9,12,8,59,0,0.5,FALSE
7,1,1,1,0,1,FALSE
10,41,10,214,0.5,0.4,FALSE
7,26,7,138,0.890909,0.357143,FALSE
14,10,3,10,0,0.366667,FALSE
9,20,6,89,0,0.533333,FALSE
6,7,3,28,0,0.444444,FALSE
16,59,15,354,0.752941,0.162879,FALSE
10,4,1,20,0,0.555556,FALSE
9,9,9,27,0.961538,0.666667,FALSE
27,6,2,6,0,0.541667,FALSE
12,57,12,326,0.772152,0.342105,FALSE
102,55,4,548,0.36,0.283333,FALSE
8,29,3,188,0,0.235714,FALSE
8,1,1,1,0,1,FALSE
6,22,5,89,0,0.55,FALSE
3,19,2,67,0,0.318182,FALSE
2,8,0,21,1,0.666667,FALSE
16,16,4,77,0,0.26,FALSE
11,11,0,41,0,0.466667,FALSE
6,5,3,12,0.994118,1,FALSE
19,113,11,1006,0,0.141608,FALSE
10,21,5,130,0,0.3125,FALSE
9,9,9,27,0.961538,0.666667,FALSE
9,21,5,141,0,0.3125,FALSE
3,2,3,9,1,1,FALSE
5,8,0,51,0,0.535714,FALSE
9,21,5,150,0.473684,0.316667,FALSE
8,1,1,1,0,1,FALSE
2,8,0,24,0,0.5,FALSE
10,48,9,489,0,0.314286,FALSE
4,19,3,57,0.75,0.5,FALSE
15,15,3,57,0,0.272727,FALSE
4,19,3,57,0.75,0.5,FALSE
