@relation jeditA-weka.filters.supervised.instance.Resample-B0.0-S1-Z99.0-no-replacement

@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
22,13,11,1,5,0.8,75,1,0,0.4,3,12,2,FALSE
53,0,2,6,17,0.853047,2884,0.925926,13,0.204301,0,0,40,FALSE
25,6,0,6,3,2,124,0,0,0.5,0,0,6,FALSE
20,0,51,1,9,0.1,137,0,1,0.575758,1,1,2,FALSE
11,9,2,3,6,0.5,140,1,0,0.52381,0,0,9,FALSE
3,1,3,1,1,1,10,0,0,0.75,0,0,1,FALSE
8,0,1,3,0,0.75,151,0.5,0,0.444444,1,2,18,FALSE
47,9,3,8,3,0.8,300,1,0,0.388889,0,0,1,FALSE
14,3,8,8,5,0.666667,92,1,0,0.444444,0,0,1,FALSE
71,91,6,15,9,0.708333,1263,0.625,1,0.274854,0,0,5,FALSE
32,76,5,2,8,0.972222,439,0.333333,0,0.318182,0,0,10,FALSE
25,22,9,5,6,0.583333,121,1,0,0.208333,0,0,3,FALSE
25,14,55,3,9,0.606061,216,0,2,0.395833,1,2,3,FALSE
8,0,1,3,0,0.5,77,1,0,0.444444,1,2,5,FALSE
10,3,4,7,2,2,81,0,0,0.533333,1,1,1,FALSE
59,5,4,15,2,0.633333,389,1,1,0.371429,0,0,8,FALSE
16,91,12,2,14,2,38,0,0,0.414286,0,0,1,FALSE
2,0,0,1,1,2,5,0,0,1,0,0,0,FALSE
9,1,1,9,1,1,36,0,0,0.625,1,1,1,FALSE
73,29,12,12,1,0.904762,358,0.714286,3,0.233333,0,0,2,FALSE
37,29,12,13,8,0.45,353,0,2,0.214876,0,0,7,FALSE
8,4,1,0,4,1,83,0,0,0.35,2,2,1,FALSE
6,1,1,2,2,2,85,0,0,0.625,0,0,5,FALSE
7,3,0,3,3,2,33,0,0,0.75,0,0,0,FALSE
70,400,24,14,26,0.961877,504,0.454545,0,0.26129,0,0,5,FALSE
16,55,2,1,9,2,456,0,0,0.363636,0,0,6,FALSE
2,1,3,0,2,2,3,0,0,1,0,0,1,FALSE
12,0,2,3,0,0.375,127,1,0,0.3,1,2,4,FALSE
32,18,4,4,19,0.825,841,1,1,0.380952,0,0,17,FALSE
27,0,18,1,10,0.653846,386,0.125,1,0.342857,0,0,6,FALSE
6,15,1,0,6,2,6,0,0,0.75,0,0,1,FALSE
28,1,3,14,2,2,133,0,0,0.75,2,3,8,FALSE
34,26,15,3,8,0.708333,142,1,0,0.375,3,15,3,FALSE
2,1,4,2,2,2,2,0,0,1,0,0,1,FALSE
14,16,1,1,8,0.714286,49,1,0,1,0,0,1,FALSE
11,0,1,4,0,0,87,0,1,0.444444,1,2,7,FALSE
29,0,4,10,3,0.619048,207,0.857143,4,0.6,0,0,9,FALSE
11,9,1,3,5,0.488889,135,1,3,0.333333,0,0,6,FALSE
