@relation jeditA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
45,61,3,6,11,0.769231,425,1,1,0.294872,0,0,8,FALSE
21,0,1,3,0,0.541667,300,1,1,0.333333,1,3,16,FALSE
11,9,1,3,5,0.6,113,1,3,0.333333,0,0,5,FALSE
14,3,8,8,5,0.666667,92,1,0,0.444444,0,0,1,FALSE
22,0,1,4,0,0.125,206,1,0,0.35,1,3,11,FALSE
21,2,2,8,3,0.555556,174,0.333333,0,0.5,1,1,1,FALSE
19,0,2,4,6,0.285714,157,1,0,0.40625,1,2,2,FALSE
7,0,1,1,3,0.222222,62,1,0,0.666667,0,0,3,FALSE
5,10,4,1,5,2,5,0,0,1,0,0,1,FALSE
11,6,1,1,0,2,93,0,0,0.571429,1,2,5,FALSE
13,39,10,3,8,0.777778,33,1,1,0.25,0,0,1,TRUE
27,10,2,12,1,1.071429,182,0,0,0.72,0,0,1,FALSE
175,1183,21,27,25,0.930334,1425,0.846154,5,0.122896,3,12,11,TRUE
51,6,2,5,3,0.75,260,1,1,1,2,4,3,TRUE
30,25,3,6,9,0.833333,198,1,0,0.386364,1,2,4,FALSE
132,925,44,21,42,0.776471,1458,0.117647,5,0.144,0,0,33,FALSE
124,117,7,20,6,0.771242,762,1,0,0.1875,3,6,7,TRUE
15,9,2,4,7,0.722222,64,1,1,0.357143,1,1,1,FALSE
23,1,1,3,1,0.5,330,1,0,1,2,4,3,TRUE
430,11469,40,39,169,0.883278,7612,0.906977,10,0.084392,3,9,25,TRUE
144,725,58,21,34,0.955263,1492,0.4,1,0.135965,0,0,16,TRUE
1,0,31,1,1,2,1,0,0,1,0,0,1,FALSE
16,2,5,0,2,1.083333,179,0.875,0,0.333333,0,0,20,TRUE
57,52,1,7,10,0.709091,279,1,2,0.277778,0,0,3,TRUE
132,57,16,22,12,0.595238,828,1,6,0.210526,1,1,21,TRUE
14,7,29,1,6,0.6,49,1,1,0.583333,0,0,1,FALSE
58,5,4,8,1,0.733333,300,1,1,0.5,4,12,5,TRUE
54,65,3,7,4,0.846154,313,1,1,0.285714,0,0,3,TRUE
137,315,7,20,4,0.83014,1603,0.888889,5,0.233333,2,2,11,TRUE
8,0,1,6,0,0,69,0,1,0.571429,1,1,7,FALSE
18,0,4,1,8,1.015957,361,0.106383,16,0.40625,0,0,2,FALSE
22,4,1,6,3,0.625,93,1,0,0.6,0,0,4,FALSE
2,0,9,1,1,2,12,0,0,1,0,0,0,FALSE
39,0,3,5,2,0.8,210,1,1,0.32,0,0,2,FALSE
52,2,1,8,4,0.5,364,1,1,0.466667,0,0,3,FALSE
9,1,1,9,2,2,106,0,0,0.625,2,2,1,FALSE
28,13,3,4,9,0.722222,230,0.75,1,0.472222,1,3,3,TRUE
34,1,1,3,1,0.5,370,1,0,1,2,4,5,FALSE
30,1,2,9,2,2,175,0,0,0.75,2,3,15,TRUE
33,28,2,2,7,2,143,0,0,0.5,1,1,3,FALSE
7,21,36,0,7,2,7,0,0,0.52381,0,0,1,FALSE
31,20,2,4,1,0.761905,123,0.666667,1,0.5,4,12,2,TRUE
73,337,7,7,25,0.927203,628,1,3,0.127778,3,18,20,TRUE
21,6,1,11,1,1,279,0,0,0.45,1,1,4,FALSE
30,15,9,8,7,0.566667,182,0,3,0.236364,0,0,3,FALSE
22,1,1,11,1,2,185,0,0,0.625,1,2,1,FALSE
7,1,1,9,1,1,79,0,0,0.625,1,1,1,FALSE
5,1,0,1,2,2,14,0,0,0.75,0,0,1,FALSE
17,1,1,2,3,0.5,263,1,0,1,2,4,5,TRUE
32,76,5,2,8,0.972222,439,0.333333,0,0.318182,0,0,10,FALSE
33,2,2,3,3,0.458333,191,1,1,0.4375,2,11,8,TRUE
2,1,3,2,2,2,2,0,0,1,0,0,1,FALSE
77,898,36,5,28,0.795455,1472,0.25,2,0.083333,0,0,12,FALSE
109,630,12,14,14,2,1557,0,0,0.155983,0,0,30,FALSE
2,0,1,0,0,2,6,0,0,1,0,0,0,FALSE
51,129,11,6,9,0.873016,593,0.8,5,0.140909,0,0,11,TRUE
12,13,5,0,6,0.5,64,1,0,0.166667,0,0,4,FALSE
80,98,3,4,4,0.875,662,1,0,0.1875,1,3,5,FALSE
2,0,2,1,1,2,5,0,0,1,0,0,0,FALSE
13,3,19,3,3,1,59,1,1,0.5,0,0,1,FALSE
77,71,8,10,8,0.813131,498,1,3,0.19883,0,0,9,TRUE
24,1,1,3,1,0.5,253,1,1,1,1,3,1,TRUE
6,2,5,0,5,0.75,36,1,0,0.466667,1,1,1,FALSE
2,0,6,2,1,2,5,0,0,1,0,0,0,FALSE
27,29,15,2,5,0.805556,258,1,0,0.5,0,0,2,TRUE
9,12,13,2,0,0.761905,66,1,2,0.354167,0,0,3,FALSE
75,123,1,11,8,0.888889,1106,1,5,0.233918,1,1,33,TRUE
89,228,11,24,16,0.900621,534,1,0,0.15528,0,0,6,TRUE
46,9,4,8,7,0.951111,1441,0.48,1,0.314286,0,0,32,TRUE
20,0,2,3,6,0.285714,174,1,0,0.40625,1,2,2,FALSE
1,0,2,0,0,2,186,0,0,0,0,0,0,FALSE
108,197,9,27,28,0.64,1228,1,2,0.112903,0,0,23,TRUE
66,3,1,4,6,0.751701,6259,0.166667,1,0.5,0,0,163,FALSE
7,0,1,1,3,0,59,1,0,0.666667,0,0,3,FALSE
29,23,19,3,8,0.72,244,1,1,0.16,0,0,5,FALSE
37,100,1,0,16,0.7,691,0.8,0,0.323529,0,0,13,FALSE
27,1,1,3,3,0.5,238,1,1,1,2,4,3,FALSE
31,20,4,4,1,0.761905,123,0.666667,1,0.5,4,12,2,TRUE
23,6,3,7,2,2,175,0,0,0.583333,1,1,1,FALSE
38,38,1,7,8,0.863636,470,1,4,0.319444,1,3,12,TRUE
40,25,3,0,21,0.529412,1277,0.705882,0,0.296296,0,0,7,FALSE
16,3,1,4,7,0.809524,115,1,0,0.392857,1,1,3,TRUE
16,0,4,5,2,0.5,62,1,1,0.416667,0,0,2,FALSE
9,1,1,3,0,0.5,71,1,0,0.444444,1,2,6,FALSE
200,1197,99,30,40,0.892361,1437,0.875,8,0.078469,1,1,13,TRUE
36,175,20,6,22,0.993197,239,0.142857,0,0.392045,0,0,4,TRUE
31,0,8,9,3,0.766234,356,0,1,0.375,0,0,1,FALSE
5,3,1,3,0,2,20,0,0,0.466667,1,2,1,FALSE
9,0,1,3,0,0.444444,80,1,0,0.357143,1,2,5,FALSE
56,21,2,6,4,0.833333,384,1,0,0.3,0,0,5,FALSE
23,1,3,11,2,2,100,0,0,0.75,1,2,7,TRUE
40,13,0,2,5,0.6,374,0,0,0.28,0,0,11,FALSE
13,0,4,1,3,1.222222,71,0.133333,0,0.5,1,1,1,FALSE
9,1,3,8,1,2,65,0,0,0.625,0,0,1,FALSE
37,290,7,3,22,0.888889,161,1,1,0.157407,0,0,3,FALSE
71,91,6,15,9,0.708333,1263,0.625,1,0.274854,0,0,5,FALSE
15,0,2,4,1,2,83,0,0,1,0,0,0,TRUE
28,0,18,1,11,0.669643,391,0.125,1,0.333333,0,0,6,FALSE
18,8,0,4,5,0.375,173,1,2,0.366667,2,3,7,FALSE
23,25,1,1,7,0.833333,167,0.666667,0,0.30303,2,2,4,FALSE
2,1,4,0,2,2,2,0,0,0.666667,0,0,1,TRUE
19,3,2,1,5,0.44,387,0.4,1,0.333333,1,1,14,FALSE
4,3,5,0,2,1.4375,23,0,2,0.5,0,0,2,FALSE
100,3741,0,8,84,2,711,0,0,0.054675,1,2,3,FALSE
4,1,1,4,2,2,10,0,0,0.75,0,0,1,FALSE
27,0,1,7,3,0.616667,500,0.6,2,0.285714,0,0,5,TRUE
62,31,5,14,16,0.794118,551,0.583333,5,0.317647,0,0,7,TRUE
6,1,5,5,1,2,30,0,0,0.625,0,0,1,FALSE
2,1,3,1,2,2,2,0,0,1,0,0,1,FALSE
26,0,3,1,5,0.25,339,1,0,0.6,0,0,12,FALSE
13,3,1,2,3,2,45,0,0,0.5,2,2,1,FALSE
75,44,4,13,1,0.814815,517,1,0,0.5,3,5,12,TRUE
4,1,7,0,2,2,9,0,0,0.75,0,0,0,FALSE
31,31,1,5,7,0.8,231,1,0,0.4,1,3,8,TRUE
25,1,2,8,2,2,127,0,0,0.75,3,4,9,TRUE
74,17,4,15,5,0.814815,477,1,1,0.25,4,7,9,TRUE
23,3,4,4,5,0.68,128,0,1,0.458333,0,0,2,TRUE
83,64,13,7,9,0.691667,589,1,1,0.22449,3,7,13,TRUE
9,1,1,9,1,1,36,0,0,0.625,1,1,1,FALSE
18,3,1,10,1,1,273,0,0,0.533333,1,1,1,FALSE
33,3,2,4,3,2,162,0,0,0.555556,0,0,1,TRUE
35,0,2,3,3,0.711538,386,1,0,0.5,3,5,6,TRUE
30,147,46,7,19,0.888889,240,0.5,4,0.233083,0,0,6,FALSE
10,1,1,11,1,1.125,137,0.625,4,0.625,1,1,1,FALSE
9,1,2,8,1,2,40,0,0,0.6,1,2,1,FALSE
1,0,5,1,1,2,1,0,0,1,0,0,1,FALSE
22,100,5,3,17,0.91875,199,1,4,0.183824,0,0,4,TRUE
33,4,4,8,2,0.666667,152,1,2,0.4,1,1,1,TRUE
33,11,4,6,0,0.777778,145,1,3,0.285714,0,0,1,TRUE
14,5,11,5,5,0.927273,81,0.181818,1,0.4,1,1,1,FALSE
5,10,7,2,5,2,5,0,0,0.6,0,0,1,FALSE
487,0,1,47,82,0.718392,23350,0.8,8,0.183375,0,0,46,FALSE
16,55,2,1,9,2,456,0,0,0.363636,0,0,6,FALSE
19,15,2,0,4,1.12,184,0,0,0.5,1,1,14,FALSE
61,44,4,10,6,0.833333,488,1,0,0.180556,0,0,6,TRUE
7,1,1,6,1,2,30,0,0,0.625,1,1,1,FALSE
72,44,2,9,4,0.782051,631,1,0,0.217949,0,0,7,FALSE
6,1,1,6,1,2,36,0,0,0.625,1,1,1,FALSE
34,12,2,6,5,0.714286,223,1,0,0.291667,0,0,8,FALSE
72,37,17,11,8,0.857143,533,0.928571,3,0.257143,2,5,6,TRUE
18,8,1,4,2,0.75,106,0,0,0.333333,1,2,3,FALSE
32,36,15,6,12,0.745455,236,1,3,0.416667,0,0,5,TRUE
20,4,1,6,2,0.5,153,0,0,0.366667,0,0,10,FALSE
32,0,1,4,2,0.575758,313,0.909091,0,0.375,0,0,11,TRUE
29,3,4,5,8,0.333333,189,0,0,0.425,1,2,4,FALSE
39,36,5,4,9,2,904,0,0,0.301587,0,0,20,TRUE
24,1,1,3,3,0.5,321,1,1,1,2,4,3,FALSE
12,0,2,1,3,0.46875,269,1,0,0.6,0,0,10,FALSE
55,36,64,1,7,0.886905,433,0.571429,0,0.178571,0,0,7,FALSE
20,0,51,1,9,0.1,137,0,1,0.575758,1,1,2,FALSE
15,0,4,2,6,0.428571,139,1,1,0.395833,0,0,5,FALSE
45,6,4,11,1,0.833333,458,1,3,0.32,0,0,3,FALSE
88,35,6,7,8,0.673077,889,1,1,0.619048,1,7,10,TRUE
52,8,2,5,10,0.672727,501,1,0,0.30303,1,4,17,TRUE
71,170,4,6,5,0.9,508,1,2,0.169312,1,1,8,TRUE
6,15,1,0,6,2,6,0,0,0.75,0,0,1,FALSE
10,3,5,9,2,2,63,0,0,0.6,1,1,1,FALSE
6,1,3,6,1,1,54,0,0,0.666667,1,2,1,FALSE
12,6,1,2,4,0.666667,37,1,1,0.5,0,0,2,FALSE
64,27,6,9,1,0.775,595,1,0,0.363636,0,0,12,TRUE
8,1,1,7,1,2,50,0,0,0.625,1,1,1,FALSE
8,15,3,3,6,2,24,0,0,0.555556,0,0,2,FALSE
65,14,4,14,4,0.633333,398,1,2,0.323077,2,5,8,TRUE
28,6,1,7,8,0.678571,160,1,2,0.234375,0,0,6,FALSE
33,3,1,4,3,1,176,1,0,0.666667,0,0,1,TRUE
75,73,9,19,12,0.785714,736,1,3,0.247619,0,0,13,TRUE
13,4,2,4,4,0.875,50,0.25,0,0.5,1,1,1,FALSE
13,3,1,10,1,1,101,0,0,0.444444,1,1,6,FALSE
25,106,21,2,15,0.8,128,1,0,0.205357,0,0,3,FALSE
50,9,3,5,3,0.8,305,1,0,0.305556,0,0,8,TRUE
24,15,1,10,4,2,144,0,0,0.333333,1,7,5,FALSE
38,28,3,5,1,0.392344,645,1,2,0.5,1,3,5,TRUE
106,69,3,24,8,0.869231,708,1,2,0.174603,0,0,9,TRUE
28,3,1,5,4,0.771429,230,1,0,0.722222,1,3,7,TRUE
3,3,4,1,3,2,3,0,0,0.444444,0,0,1,FALSE
3,1,1,3,1,2,6,0,0,0.75,0,0,1,FALSE
60,378,43,2,24,2,950,0,0,0.183673,0,0,14,TRUE
9,1,1,3,0,0.5,106,1,0,0.444444,1,2,11,FALSE
23,1,0,1,2,0.6,141,1,0,0.47619,1,2,3,FALSE
16,0,1,4,4,0.666667,416,1,1,0.265306,0,0,14,TRUE
52,2,1,4,4,0.642857,380,1,0,0.4,0,0,6,FALSE
28,2,1,4,4,0.5625,199,1,0,0.466667,1,7,8,TRUE
316,6941,79,40,90,0.952558,5047,0.790698,7,0.068783,1,1,25,TRUE
91,47,2,11,3,0.808036,1186,1,3,0.283333,1,1,7,TRUE
3,3,24,0,3,1.5,4,0,0,0.833333,0,0,1,FALSE
2,0,16,0,1,2,5,0,0,1,0,0,0,FALSE
47,17,8,3,8,0.622222,299,1,0,0.35,0,0,10,FALSE
13,78,6,0,13,2,13,0,0,0.430769,0,0,1,FALSE
2,0,6,0,0,2,21,0,1,1,0,0,0,FALSE
37,1,2,3,2,0.5,138,1,0,0.5,0,0,2,FALSE
60,50,5,10,1,0.816667,361,1,1,0.24359,4,12,5,FALSE
47,9,3,8,3,0.8,311,1,0,0.388889,0,0,1,FALSE
21,0,7,2,1,2,93,0,0,1,0,0,0,FALSE
2,1,12,0,2,2,3,0,0,1,0,0,1,FALSE
11,4,1,2,3,0.666667,58,1,0,0.333333,0,0,4,FALSE
34,0,3,5,2,0.4,129,1,1,0.277778,0,0,1,TRUE
14,1,2,10,2,0.875,134,0,2,0.555556,1,3,1,FALSE
65,46,7,9,1,0.785714,438,1,0,0.333333,2,4,9,TRUE
