@relation jeditB

@attribute ﻿rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {TRUE,FALSE}

@data
147,2353,41,20,48,0.913894,1785,0.666667,5,0.10698,0,0,6,TRUE
34,42,1,5,8,0.818182,188,1,1,0.27381,1,4,4,FALSE
2,0,1,2,1,2,5,0,0,1,0,0,0,FALSE
21,26,11,9,6,0.428571,89,0,0,0.4375,1,1,1,FALSE
34,41,1,5,4,0.91,321,0.6,0,0.272727,1,1,7,FALSE
47,377,9,3,30,0.922807,382,1,6,0.130303,0,0,5,FALSE
14,49,2,1,11,0.8,50,1,1,0.454545,0,0,1,FALSE
5,10,9,1,5,2,5,0,0,0.666667,0,0,1,FALSE
19,15,2,0,4,1.12,184,0,0,0.5,1,1,14,FALSE
38,0,7,4,10,0.656566,611,0.090909,1,0.266667,0,0,12,TRUE
81,47,4,15,7,0.767857,651,0.75,0,0.157143,0,0,15,FALSE
19,0,3,6,1,0,91,0,0,0.666667,0,0,1,FALSE
8,0,1,2,0,0,51,1,0,0.833333,0,0,2,FALSE
143,560,28,29,28,0.904412,1660,0.529412,5,0.1,3,15,11,TRUE
33,0,4,1,8,0.571429,419,1,0,0.625,0,0,12,FALSE
10,1,2,4,2,0.5,41,1,0,0.4,1,1,1,FALSE
40,6,3,4,3,0.75,219,1,0,0.3,2,5,1,TRUE
24,25,2,1,7,0.833333,177,0,0,0.30303,2,3,6,FALSE
49,0,1,2,4,0.733333,236,1,0,0.625,1,2,1,FALSE
11,10,0,4,5,2,44,0,0,0.9,1,1,2,FALSE
2,0,1,0,0,2,6,0,0,1,0,0,0,FALSE
12,13,7,0,6,0.5,64,1,0,0.166667,0,0,4,FALSE
85,187,4,7,7,0.761905,698,1,1,0.185185,3,5,5,FALSE
25,4,4,14,2,0.482143,252,0,4,0.45,1,1,4,FALSE
96,88,15,16,15,0.78882,463,1,3,0.158333,1,4,9,TRUE
23,1,0,4,1,0.5,208,1,1,1,1,3,2,FALSE
35,37,5,4,11,0.760684,327,0.888889,1,0.22449,0,0,9,FALSE
9,12,13,2,0,0.761905,65,1,2,0.354167,0,0,3,FALSE
72,97,2,10,11,0.880515,1169,1,4,0.261905,1,3,39,TRUE
6,15,4,1,6,2,6,0,0,0.888889,0,0,1,FALSE
25,88,19,1,9,0.833333,119,0,0,0.322917,0,0,5,FALSE
15,1,0,2,1,0.5,126,1,0,1,1,3,1,FALSE
67,51,1,4,7,0.7648,7191,0.16,1,0.4,0,0,167,FALSE
10,0,7,1,2,0.625,64,1,1,0.428571,0,0,2,FALSE
0,0,1,0,0,2,179,0,0,0,0,0,0,FALSE
38,0,4,5,3,0.68,253,0.4,0,0.32,2,11,8,FALSE
36,36,1,7,8,0.865613,504,1,4,0.319444,1,3,14,FALSE
22,4,1,4,1,0.3125,450,1,4,0.5,1,3,5,FALSE
8,4,1,3,0,0.666667,55,1,0,0.375,1,2,6,FALSE
94,240,23,6,15,0.790816,621,1,1,0.221675,3,7,15,FALSE
45,12,8,7,5,0.72619,339,0.25,1,0.242857,2,3,9,FALSE
31,0,4,5,7,0.55,178,0,0,0.363636,1,2,4,FALSE
40,28,2,7,10,0.666667,418,0.333333,1,0.333333,1,1,5,TRUE
56,50,3,8,13,0.76,524,0.6,0,0.18,3,7,15,FALSE
6,15,1,0,6,2,6,0,0,0.75,0,0,1,FALSE
12,0,11,11,2,0,169,0,0,0.583333,1,1,1,FALSE
1,0,35,1,1,2,1,0,0,1,0,0,1,FALSE
14,6,4,9,2,2,113,0,0,0.6,1,1,1,FALSE
16,9,42,1,7,0.333333,62,1,0,0.428571,0,0,1,FALSE
55,67,3,7,4,0.888889,357,0.888889,1,0.285714,0,0,3,FALSE
173,511,9,28,8,0.814912,1973,0.9,5,0.172932,3,4,15,FALSE
2,1,8,0,2,2,2,0,0,0.75,0,0,1,FALSE
68,36,6,18,0,0.690909,437,1,1,0.3,0,0,6,FALSE
31,48,5,7,11,0.710227,507,1,8,0.218487,0,0,8,FALSE
17,0,5,5,2,0.5,61,1,1,0.416667,0,0,2,FALSE
64,28,0,28,6,2,437,0,0,0.375,0,0,1,FALSE
8,21,1,2,7,2,16,0,0,0.809524,0,0,1,FALSE
5,3,1,3,0,2,20,0,0,0.466667,1,2,1,FALSE
9,0,1,3,0,0.444444,80,1,0,0.357143,1,2,5,FALSE
64,29,2,10,4,0.814286,397,1,0,0.363636,0,0,4,FALSE
180,6075,12,1,27,0.921126,5189,0.717391,1,0.138067,0,0,9,FALSE
81,217,45,16,19,0.896667,413,0.833333,3,0.108571,0,0,8,FALSE
17,2,1,1,6,0.678571,234,1,0,1,0,0,5,FALSE
40,72,12,7,3,0.869048,583,0,2,0.21875,0,0,32,FALSE
77,535,11,13,20,0.876471,652,0.9,1,0.12549,0,0,5,FALSE
12,0,2,3,0,0.375,127,1,0,0.3,1,2,4,FALSE
57,41,2,5,7,0.935993,1260,0.306122,10,0.222727,0,0,12,FALSE
12,1,1,9,1,1,67,0,0,0.625,1,1,1,FALSE
26,13,1,9,4,0.8,177,1,1,0.5,1,2,7,FALSE
2,0,1,0,0,2,6,0,0,1,0,0,0,FALSE
80,153,6,10,18,1.058824,591,0,0,0.409722,2,3,8,TRUE
21,3,1,11,1,2,117,0,0,0.555556,0,0,15,FALSE
30,147,57,8,18,0.904762,242,0.428571,5,0.268519,0,0,6,FALSE
48,21,0,0,3,2,334,0,0,0.257143,0,0,3,FALSE
16,0,2,7,2,0.5,146,0.5,2,0.75,0,0,10,FALSE
28,0,2,6,0,0,246,1,0,0.404762,0,0,3,FALSE
22,3,1,8,3,2,101,0,0,0.666667,0,0,5,FALSE
2,1,2,1,2,2,2,0,0,0.75,0,0,1,FALSE
38,20,10,8,1,0.666667,235,1,0,0.202381,0,0,8,TRUE
9,1,5,5,3,0,44,0,0,0.6,1,1,2,FALSE
7,1,1,6,1,2,32,0,0,0.625,1,1,1,FALSE
10,1,1,9,2,2,41,0,0,0.625,1,1,1,FALSE
4,1,4,2,2,1,11,1,1,0.666667,0,0,1,TRUE
13,4,3,3,4,0.875,52,0.25,0,0.5,1,1,1,FALSE
7,1,1,8,2,2,24,0,0,0.625,1,1,1,FALSE
51,75,31,1,16,0.955882,491,0.916667,0,0.058824,0,0,8,TRUE
35,6,1,11,1,0.625,221,0,0,0.4,1,1,1,FALSE
21,0,0,2,2,0.555556,242,1,0,1,2,4,6,FALSE
93,105,9,17,10,0.857576,700,0.8,3,0.217391,0,0,8,TRUE
8,0,1,3,0,0.5,77,1,0,0.444444,1,2,5,FALSE
35,0,4,8,0,0.8,210,0,0,0.466667,0,0,5,FALSE
25,23,11,6,10,0.5,135,0,0,0.328571,1,2,2,FALSE
28,31,1,5,7,0.811111,240,1,1,0.333333,1,3,10,FALSE
8,4,4,6,2,0.666667,37,0,0,0.5,0,0,2,FALSE
16,1,1,9,2,2,113,0,0,0.583333,0,0,9,FALSE
8,4,1,0,4,1,82,0,0,0.35,2,2,1,FALSE
55,0,11,8,13,0.647059,687,1,0,0.426471,0,0,12,TRUE
36,1,1,4,1,0.8875,464,0.6875,0,0.5,3,5,7,FALSE
29,6,25,1,3,2,213,0,0,0.291667,0,0,15,FALSE
6,10,17,5,5,2,26,0,0,0.9,0,0,1,FALSE
13,10,4,10,5,1,34,1,1,0.292308,0,0,1,FALSE
125,1041,10,17,41,0.948333,1243,0.833333,6,0.10049,3,20,30,FALSE
11,1,5,6,1,2,53,0,0,0.625,0,0,1,FALSE
269,3550,119,43,66,0.96123,2699,0.588235,2,0.10362,1,10,35,FALSE
7,1,1,6,1,2,32,0,0,0.625,1,1,1,FALSE
15,0,1,1,3,0.333333,54,1,0,0.75,0,0,4,FALSE
14,28,16,2,8,0.916667,50,0.333333,1,0.296296,1,1,3,FALSE
26,55,0,0,11,1.1,173,1,0,0.257576,1,1,4,FALSE
15,1,4,4,7,0.416667,62,1,0,0.52381,0,0,3,FALSE
8,28,6,0,8,2,8,0,0,0.325,0,0,1,FALSE
9,0,4,0,3,0.555556,49,1,0,0.555556,0,0,2,FALSE
56,24,6,11,3,1.0625,601,0.3,3,0.174603,0,0,1,FALSE
36,153,1,5,18,1.058824,84,0,0,0.268519,1,5,1,FALSE
3,3,5,3,3,2,3,0,0,0.5,0,0,1,FALSE
114,219,1,33,6,0.962406,2003,0,5,0.159091,0,0,18,FALSE
5,10,7,1,5,2,5,0,0,1,0,0,1,FALSE
12,0,1,2,4,0,37,1,0,0.5,0,0,1,FALSE
6,2,1,3,4,0.666667,26,1,0,0.4375,0,0,1,FALSE
17,22,16,0,4,1,160,0,0,0.5,0,0,8,FALSE
2,0,10,2,1,2,16,0,1,1,0,0,0,FALSE
6,10,1,2,5,2,12,0,0,0.733333,0,0,1,FALSE
25,2,1,3,4,0.416667,301,1,0,0.44,0,0,28,FALSE
116,805,40,23,35,0.977513,962,0.277778,0,0.215873,0,0,7,FALSE
