@relation jeditA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z48.27586207-no-replacement

@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,0,2,1,1,2,5,0,0,1,0,0,0,FALSE
33,1,3,11,2,2,206,0,0,0.75,2,4,16,FALSE
2,1,3,1,2,2,2,0,0,1,0,0,1,FALSE
7,3,0,3,3,2,33,0,0,0.75,0,0,0,FALSE
31,20,2,4,1,0.761905,119,0.666667,1,0.5,4,12,1,FALSE
33,0,0,4,4,0.375,161,1,0,0.25,0,0,3,FALSE
18,3,5,2,1,2,66,0,0,0.444444,0,0,2,FALSE
67,19,4,9,3,0.711111,375,1,1,0.26,0,0,3,FALSE
33,0,1,5,3,0.723684,431,1,10,0.5,3,5,2,FALSE
32,23,22,6,8,0.72,240,1,1,0.16,0,0,5,FALSE
30,147,46,7,19,0.888889,240,0.5,4,0.233083,0,0,6,FALSE
55,21,4,11,5,0.75,231,1,0,0.295455,3,12,2,FALSE
16,55,2,1,9,2,456,0,0,0.363636,0,0,6,FALSE
28,1,3,14,2,2,133,0,0,0.75,2,3,8,FALSE
9,1,1,5,1,2,24,0,0,0.75,0,0,1,FALSE
11,4,1,2,3,0.666667,58,1,0,0.333333,0,0,4,FALSE
9,1,1,9,1,1,36,0,0,0.625,1,1,1,FALSE
5,10,4,1,5,2,5,0,0,1,0,0,1,FALSE
9,1,3,8,1,2,65,0,0,0.625,0,0,1,FALSE
17,0,2,0,8,0.25,383,1,0,0.436364,0,0,4,FALSE
180,6075,6,1,27,0.921126,5223,0.717391,1,0.138067,0,0,9,FALSE
72,91,6,15,9,0.708333,1245,0.75,1,0.274854,0,0,5,FALSE
49,2,1,8,4,0.5,362,1,1,0.466667,0,0,4,FALSE
7,3,0,3,3,2,33,0,0,0.75,0,0,0,FALSE
2,0,9,1,1,2,12,0,0,1,0,0,0,FALSE
52,0,9,7,21,0.492857,1738,1,3,0.251701,0,0,35,FALSE
39,6,3,4,3,0.75,214,1,0,0.3,3,6,1,FALSE
23,43,53,1,11,0.5,154,0,1,0.577778,1,2,3,FALSE
5,0,1,1,3,0,59,1,0,0.666667,0,0,3,FALSE
124,8,3,14,3,0.943333,1749,0.28,3,0.171598,0,0,22,FALSE
25,0,1,1,3,0.444444,197,1,0,0.375,1,3,2,FALSE
9,1,1,3,0,0.5,106,1,0,0.444444,1,2,11,FALSE
27,10,2,12,1,1.071429,182,0,0,0.72,0,0,1,FALSE
89,869,39,7,29,0.898413,2089,0.071429,2,0.084444,1,1,14,FALSE
87,71,4,8,3,0.776786,726,1,1,0.24,0,0,12,FALSE
15,1,2,10,2,0.875,132,0,2,0.555556,1,3,1,FALSE
58,38,5,11,1,0.8,306,1,1,0.25,4,12,3,FALSE
3,1,3,1,1,1,10,0,0,0.75,0,0,1,FALSE
9,1,1,9,1,1,36,0,0,0.625,1,1,1,FALSE
32,0,4,5,7,0.272727,176,0,0,0.35,1,2,4,FALSE
41,198,1,0,18,0.824275,749,0.166667,9,0.149758,0,0,13,FALSE
3,1,2,0,0,1,16,0,0,0.75,0,0,0,FALSE
12,0,2,3,0,0.375,127,1,0,0.3,1,2,4,FALSE
10,3,5,9,2,2,71,0,0,0.6,1,1,1,FALSE
18,3,4,2,1,2,71,0,0,0.444444,0,0,2,FALSE
21,1,1,3,1,0.5,159,1,1,1,1,3,1,FALSE
16,10,21,3,4,0.5,56,1,1,0.44,0,0,1,FALSE
6,15,4,1,6,2,6,0,0,1,0,0,1,FALSE
4,1,0,1,2,2,16,0,0,0.75,1,1,2,FALSE
5,6,9,0,4,2,11,0,0,0.75,0,0,1,FALSE
14,16,1,1,8,0.714286,49,1,0,1,0,0,1,FALSE
25,0,38,2,11,0,135,1,0,0.484848,0,0,2,FALSE
2,0,6,2,1,2,5,0,0,1,0,0,0,FALSE
6,10,0,2,5,2,12,0,0,0.8,0,0,1,FALSE
12,6,43,4,3,2,50,0,0,0.625,0,0,3,FALSE
4,6,5,0,4,2,4,0,0,1,0,0,1,FALSE
18,8,0,4,5,0.375,173,1,2,0.366667,2,3,7,FALSE
7,0,1,1,3,0,59,1,0,0.666667,0,0,3,FALSE
1,0,7,1,1,2,1,0,0,1,0,0,1,FALSE
28,16,6,2,10,0.545455,258,1,1,0.270833,0,0,5,FALSE
26,33,14,5,11,0.45,141,0,0,0.363636,1,2,2,FALSE
131,113,8,22,6,0.764706,844,1,0,0.194444,3,6,8,FALSE
13,78,7,0,13,2,13,0,0,0.430769,0,0,1,FALSE
30,15,9,8,7,0.566667,182,0,3,0.236364,0,0,3,FALSE
46,33,3,5,8,0.650794,569,0.142857,0,0.166667,0,0,25,FALSE
8,4,1,0,4,1,82,0,0,0.35,2,2,1,FALSE
53,71,9,10,16,0.789916,466,1,2,0.208333,0,0,14,FALSE
18,8,0,4,5,0.375,173,1,2,0.366667,2,3,7,FALSE
2,1,3,0,2,2,3,0,0,1,0,0,1,FALSE
33,3,3,4,3,2,180,0,0,0.555556,0,0,1,FALSE
26,0,12,1,12,0.458333,112,1,0,0.384615,0,0,2,TRUE
38,28,3,5,1,0.392344,645,1,2,0.5,1,3,5,TRUE
36,3,7,5,4,0.7,263,0.3,0,0.314286,2,2,11,TRUE
24,1,1,4,1,0.5,371,1,0,1,2,4,3,TRUE
16,3,1,4,7,0.809524,115,1,0,0.392857,1,1,3,TRUE
87,192,15,22,10,0.847222,497,0.888889,3,0.146667,3,12,6,TRUE
107,142,12,16,8,0.822967,569,1,1,0.216667,1,1,8,TRUE
33,9,1,4,4,0.74,439,0.6,0,0.5,2,3,13,TRUE
111,24,8,9,8,0.818182,1304,0.636364,1,0.373333,1,7,14,TRUE
28,0,2,5,2,0.666667,119,1,0,0.4,0,0,1,TRUE
22,13,1,3,5,0.88,150,0.8,0,0.541667,1,3,4,TRUE
90,15,6,18,5,0.793651,606,1,2,0.25,3,6,17,TRUE
108,197,9,27,28,0.64,1228,1,2,0.112903,0,0,23,TRUE
25,1,2,8,2,2,127,0,0,0.75,3,4,9,TRUE
21,1,1,3,1,0.5,159,1,1,1,1,3,1,TRUE
26,0,2,5,1,0.666667,112,1,0,0.416667,0,0,1,TRUE
77,71,8,10,8,0.813131,498,1,3,0.19883,0,0,9,TRUE
54,7,3,7,3,0.75,336,1,0,0.305556,0,0,12,TRUE
24,0,1,1,3,0.444444,195,1,0,0.375,1,3,2,TRUE
221,1420,125,37,45,0.949153,1722,0.515152,9,0.082456,2,3,20,TRUE
17,23,14,1,7,0.777778,80,0,0,0.4,0,0,1,TRUE
83,471,29,15,28,0.969697,679,0.333333,0,0.242424,0,0,5,TRUE
88,35,6,7,8,0.673077,889,1,1,0.619048,1,7,10,TRUE
38,48,4,5,11,0.25,300,1,1,0.305556,0,0,8,TRUE
86,48,5,17,7,0.869048,530,1,1,0.241758,4,7,10,TRUE
19,15,1,4,6,2,93,0,0,0.5,1,3,2,TRUE
57,52,1,7,10,0.709091,279,1,2,0.277778,0,0,3,TRUE
94,198,5,9,19,0.94,981,0.6,0,0.375,2,4,16,TRUE
148,1039,45,21,45,0.778867,1684,0.117647,5,0.126362,0,0,32,TRUE
16,0,1,4,4,0.666667,416,1,1,0.265306,0,0,14,TRUE
482,16336,53,37,193,0.879171,9106,0.775862,10,0.076316,3,14,29,TRUE
51,6,2,5,3,0.75,260,1,1,1,2,4,3,TRUE
55,14,3,9,4,0.675,607,0.2,1,0.138889,0,0,12,TRUE
102,291,6,17,22,0.875,755,0.875,2,0.125874,0,0,12,TRUE
42,43,2,5,9,0.666667,219,1,0,0.375,1,1,4,TRUE
75,44,4,13,1,0.814815,517,1,0,0.5,3,5,12,TRUE
2,0,6,0,0,2,21,0,1,1,0,0,0,TRUE
35,0,2,3,3,0.711538,386,1,0,0.5,3,5,6,TRUE
65,30,5,13,7,0.796875,1525,0.9375,4,0.215385,0,0,42,TRUE
137,315,7,20,4,0.83014,1603,0.888889,5,0.233333,2,2,11,TRUE
29,33,6,5,8,0.633333,141,0.666667,0,0.185714,0,0,3,TRUE
38,38,1,7,8,0.863636,470,1,4,0.319444,1,3,12,TRUE
33,7,5,7,2,0.85,397,1,3,0.3,0,0,2,TRUE
65,14,4,14,4,0.633333,398,1,2,0.323077,2,5,8,TRUE
131,927,18,15,48,0.971667,923,0.138889,5,0.130719,3,21,7,TRUE
47,48,8,10,14,0.780952,443,1,2,0.241071,0,0,14,TRUE
27,3,1,5,3,1,110,1,0,0.666667,0,0,1,TRUE
88,534,32,15,30,0.979365,725,0.277778,0,0.221978,0,0,7,TRUE
24,1,1,3,3,0.5,230,1,1,1,2,4,3,TRUE
59,38,5,11,1,0.8,307,1,1,0.25,4,12,3,TRUE
67,55,10,16,8,0.820513,361,0.833333,1,0.257143,3,12,10,TRUE
89,206,16,6,15,0.772487,614,1,1,0.219388,3,7,12,TRUE
31,34,26,1,11,0.962963,237,0.888889,0,0.083333,0,0,3,TRUE
33,11,4,6,0,0.777778,145,1,3,0.285714,0,0,1,TRUE
6,10,0,2,5,2,12,0,0,0.8,0,0,1,TRUE
26,0,4,8,0,0.5,155,0,0,0.466667,0,0,5,TRUE
65,73,9,13,0,0.675556,1311,1,4,0.274038,0,0,29,TRUE
175,1183,21,27,25,0.930334,1425,0.846154,5,0.122896,3,12,11,TRUE
83,64,13,7,9,0.691667,589,1,1,0.22449,3,7,13,TRUE
64,125,13,9,8,0.916667,342,1,1,0.203947,3,6,3,TRUE
10,0,7,2,3,0.65,57,1,1,0.416667,0,0,2,TRUE
136,184,14,20,12,0.831909,868,1,4,0.145604,1,4,15,TRUE
5,0,11,0,4,0.666667,28,1,0,0.5,0,0,1,TRUE
94,780,69,8,37,1,1674,0,0,0.10625,0,0,17,TRUE
139,74,23,21,14,0.566667,785,1,5,0.206349,1,1,29,TRUE
106,606,5,14,36,0.929231,1100,0.88,3,0.125,3,17,31,TRUE
35,3,3,4,3,2,161,0,0,0.555556,0,0,1,TRUE
75,73,9,19,12,0.785714,736,1,3,0.247619,0,0,13,TRUE
83,105,8,17,4,0.822222,477,1,3,0.336842,2,5,10,TRUE
161,236,27,26,17,0.806452,1927,0.882353,4,0.192708,0,0,18,TRUE
