"Original.Release","Order","Release","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-A","First",10,3,0,0,2,35,29,11,35,29,11,12,5,4,9,NA,3,35,9,0,23,5,5,28,TRUE
"Keymind-A","First",10,3,0,0,2,12,9,3,10,7,3,12,5,4,9,NA,3,11,5,1,13,1,1,23,FALSE
"Keymind-A","First",10,6,0,0,2,37,32,5,-9,-14,-1,14,4,2,9,NA,6,14,8,23,12,1,1,15,FALSE
"Keymind-A","First",10,6,0,2,2,232,89,58,208,77,52,31,18,5,9,NA,4,220,16,12,82,1,1,12,FALSE
"Keymind-A","First",10,1,0,0,1,310,310,310,310,310,310,18,18,18,9,NA,1,310,0,0,314,2,2,11,FALSE
"Keymind-A","First",10,2,0,0,2,89,84,44,89,84,44,20,18,10,9,NA,2,89,1,0,53,1,1,36,TRUE
"Keymind-A","First",10,5,0,1,2,54,53,13,54,53,13,29,18,5,9,NA,4,54,2,0,21,0,0,7,FALSE
"Keymind-A","First",10,3,0,0,2,26,18,8,24,16,8,27,18,9,9,NA,3,25,0,1,16,1,1,12,FALSE
"Keymind-A","First",10,4,0,0,2,194,133,48,50,-11,12,30,18,7,9,NA,4,122,7,72,42,0,0,17,FALSE
"Keymind-A","First",10,2,0,0,2,54,47,27,54,47,27,22,18,11,9,NA,2,54,0,0,32,5,5,71,FALSE
"Keymind-A","First",10,1,0,0,1,24,24,24,24,24,24,18,18,18,9,NA,1,24,0,0,26,0,0,22,FALSE
"Keymind-A","First",10,1,0,0,1,35,35,35,35,35,35,18,18,18,9,NA,1,35,0,0,37,0,0,7,FALSE
