@relation Keymind-AA-weka.filters.supervised.instance.Resample-B1.0-S1-Z143.9

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
20,9,38,TRUE
0,-6,12,TRUE
0,-6,39,TRUE
0,-7,22,TRUE
0,-8,47,TRUE
91,24,70,TRUE
0,-6,44,TRUE
0,-24,39,TRUE
0,-6,39,TRUE
0,-28,35,TRUE
0,0,48,TRUE
0,-28,55,TRUE
38,27,63,TRUE
0,-25,22,TRUE
0,-21,42,TRUE
10,45,78,TRUE
46,8,17,TRUE
0,-41,28,TRUE
23,27,23,TRUE
88,24,26,TRUE
0,-25,81,TRUE
0,-10,35,TRUE
23,24,23,TRUE
0,-28,35,TRUE
95,17,39,TRUE
0,-28,145,TRUE
0,0,78,TRUE
0,-10,38,TRUE
0,-19,51,TRUE
2,2,51,TRUE
0,-28,52,TRUE
0,-25,88,TRUE
87,10,86,TRUE
0,-1,27,TRUE
0,-90,105,TRUE
0,0,395,TRUE
0,-28,111,TRUE
0,-28,55,TRUE
0,-6,46,TRUE
31,25,50,TRUE
41,24,38,TRUE
0,-1,38,TRUE
0,-6,90,TRUE
0,-6,12,TRUE
0,-25,88,TRUE
49,9,29,TRUE
0,-6,19,TRUE
0,0,56,TRUE
0,-10,52,TRUE
0,-8,57,TRUE
47,7,34,TRUE
0,-25,22,TRUE
0,-28,34,TRUE
46,8,17,TRUE
64,6,84,TRUE
0,0,192,TRUE
0,44,137,TRUE
0,-28,34,TRUE
0,-1,27,TRUE
10,45,78,TRUE
0,-6,39,TRUE
12,9,28,TRUE
0,-10,52,TRUE
31,25,50,TRUE
0,-28,38,TRUE
3,6,55,TRUE
0,-24,39,TRUE
0,-7,88,TRUE
10,45,78,TRUE
35,7,43,TRUE
0,-24,44,TRUE
0,-28,35,TRUE
0,0,44,TRUE
0,0,44,TRUE
23,27,23,TRUE
15,12,83,TRUE
0,-28,145,TRUE
6,7,28,TRUE
26,6,33,TRUE
0,-28,48,TRUE
0,-6,44,TRUE
37,26,155,TRUE
0,-7,55,TRUE
0,-90,105,TRUE
0,-25,88,TRUE
10,45,78,TRUE
0,-39,42,TRUE
0,-25,88,TRUE
0,-25,22,TRUE
0,-28,81,TRUE
0,-10,38,TRUE
0,-25,88,TRUE
2,25,28,TRUE
0,-25,88,TRUE
0,-24,44,TRUE
0,-6,39,TRUE
0,-90,105,TRUE
0,-25,46,TRUE
0,-6,90,TRUE
41,24,38,TRUE
0,-7,40,TRUE
95,17,39,TRUE
6,7,28,TRUE
18,12,47,TRUE
0,-21,42,TRUE
0,-5,84,TRUE
0,-39,35,TRUE
13,26,137,TRUE
0,-28,34,TRUE
26,6,33,TRUE
0,-28,34,TRUE
2,25,28,TRUE
0,-6,19,TRUE
