@relation Keymind-AA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
12,9,28,TRUE
12,9,23,FALSE
14,9,15,FALSE
31,9,12,FALSE
18,9,11,FALSE
20,9,36,TRUE
29,9,7,FALSE
27,9,12,FALSE
30,9,17,FALSE
22,9,71,FALSE
18,9,22,FALSE
18,9,7,FALSE
18,9,42,FALSE
18,9,21,FALSE
20,9,56,TRUE
49,9,29,TRUE
23,9,18,FALSE
20,9,38,TRUE
52,9,9,TRUE
2,9,7,FALSE
10,9,19,FALSE
5,9,11,FALSE
46,9,75,TRUE
1,9,7,FALSE
4,9,16,FALSE
4,9,23,FALSE
33,8,32,TRUE
46,8,17,TRUE
13,8,16,FALSE
2,8,18,FALSE
52,8,44,TRUE
17,8,61,FALSE
5,8,31,FALSE
7,8,115,FALSE
2,8,58,FALSE
47,7,34,TRUE
13,7,79,TRUE
35,7,43,TRUE
29,7,47,TRUE
6,7,29,FALSE
7,7,12,FALSE
11,7,48,TRUE
4,7,21,FALSE
6,7,28,TRUE
15,7,40,FALSE
9,6,79,TRUE
3,6,55,TRUE
9,6,59,TRUE
26,6,33,TRUE
19,6,22,TRUE
64,6,84,TRUE
29,6,29,TRUE
3,5,12,FALSE
5,5,14,FALSE
2,2,51,TRUE
0,0,44,FALSE
0,0,57,FALSE
0,0,20,FALSE
0,0,25,TRUE
0,0,25,TRUE
0,0,28,FALSE
0,0,12,FALSE
0,0,56,TRUE
0,0,35,FALSE
0,0,35,TRUE
0,0,48,TRUE
0,0,29,FALSE
0,0,44,FALSE
0,0,116,FALSE
0,0,44,TRUE
0,0,37,FALSE
0,0,25,FALSE
0,0,192,TRUE
0,0,395,TRUE
0,0,78,TRUE
0,-1,27,TRUE
0,-1,35,FALSE
0,-1,38,TRUE
0,-1,51,FALSE
0,-2,12,FALSE
0,-2,27,FALSE
0,-3,36,FALSE
0,-3,53,FALSE
0,-3,20,FALSE
0,-4,19,FALSE
0,-4,25,TRUE
0,-4,15,FALSE
0,-4,53,FALSE
0,-4,47,FALSE
0,-5,44,FALSE
0,-5,17,FALSE
0,-5,149,FALSE
0,-5,19,TRUE
0,-5,23,FALSE
0,-5,103,FALSE
0,-5,84,TRUE
0,-6,12,TRUE
0,-6,60,TRUE
0,-6,19,TRUE
0,-6,90,TRUE
0,-6,44,FALSE
0,-6,46,FALSE
0,-6,39,FALSE
0,-6,28,TRUE
0,-6,98,FALSE
0,-6,60,FALSE
0,-6,102,FALSE
0,-6,73,FALSE
0,-6,93,FALSE
0,-6,35,FALSE
0,-6,46,TRUE
0,-6,54,TRUE
0,-7,20,TRUE
0,-7,55,TRUE
0,-7,40,TRUE
0,-7,53,FALSE
0,-8,47,TRUE
0,-8,126,TRUE
0,-8,57,TRUE
0,-9,24,FALSE
0,-10,29,FALSE
0,-10,37,FALSE
0,-10,99,FALSE
0,-10,35,FALSE
0,-10,52,FALSE
0,-10,55,FALSE
0,-11,49,FALSE
0,-11,35,FALSE
0,-11,57,FALSE
0,-11,26,FALSE
0,-16,50,FALSE
0,-16,50,FALSE
0,-16,50,FALSE
