NR,NREF,NFIX,NAUTH,LINES_SUM,LINES_MAX,LINES_AVG,CHURN_SUM,CHURN_MAX,CHURN_AVG,CHGSET_SUM,CHGSET_MAX,CHGSET_AVG,AGE,AGE_WEIGHTED,Impl,LOC.A,LOC.M,LOC.D,Size,Violations.Injected,Violations,Size.Next,Faultiness
3,0,0,2,35,29,11,35,29,11,12,5,4,9,NA,3,35,9,0,23,5,5,28,TRUE
3,0,0,2,12,9,3,10,7,3,12,5,4,9,NA,3,11,5,1,13,1,1,23,FALSE
6,0,0,2,37,32,5,-9,-14,-1,14,4,2,9,NA,6,14,8,23,12,1,1,15,FALSE
6,0,2,2,232,89,58,208,77,52,31,18,5,9,NA,4,220,16,12,82,1,1,12,FALSE
1,0,0,1,310,310,310,310,310,310,18,18,18,9,NA,1,310,0,0,314,2,2,11,FALSE
2,0,0,2,89,84,44,89,84,44,20,18,10,9,NA,2,89,1,0,53,1,1,36,TRUE
5,0,1,2,54,53,13,54,53,13,29,18,5,9,NA,4,54,2,0,21,0,0,7,FALSE
3,0,0,2,26,18,8,24,16,8,27,18,9,9,NA,3,25,0,1,16,1,1,12,FALSE
4,0,0,2,194,133,48,50,-11,12,30,18,7,9,NA,4,122,7,72,42,0,0,17,FALSE
2,0,0,2,54,47,27,54,47,27,22,18,11,9,NA,2,54,0,0,32,5,5,71,FALSE
1,0,0,1,24,24,24,24,24,24,18,18,18,9,NA,1,24,0,0,26,0,0,22,FALSE
1,0,0,1,35,35,35,35,35,35,18,18,18,9,NA,1,35,0,0,37,0,0,7,FALSE
1,0,0,1,53,53,53,53,53,53,18,18,18,9,NA,1,53,0,0,60,0,0,42,FALSE
1,0,0,1,53,53,53,53,53,53,18,18,18,9,NA,1,53,0,0,60,1,1,21,FALSE
2,0,1,1,42,42,42,42,42,42,20,18,10,9,NA,1,42,0,0,44,0,0,56,TRUE
13,0,6,3,475,292,67,447,268,63,49,18,3,9,NA,7,461,92,14,95,0,0,29,TRUE
4,0,1,3,43,39,14,43,39,14,23,18,5,9,NA,3,43,7,0,26,0,0,18,FALSE
2,0,0,1,62,46,31,62,46,31,20,18,10,9,NA,2,62,7,0,43,0,0,38,TRUE
16,0,7,3,79,46,8,79,46,8,52,18,3,9,NA,9,79,15,0,20,0,0,9,TRUE
1,0,0,1,75,75,75,75,75,75,2,2,2,9,NA,1,75,0,0,86,0,0,7,FALSE
2,0,0,2,20,17,10,20,17,10,10,5,5,9,NA,2,20,0,0,15,0,0,19,FALSE
1,0,0,1,201,201,201,201,201,201,5,5,5,9,NA,1,201,0,0,207,5,5,11,FALSE
9,0,0,1,320,240,35,220,162,25,46,11,5,9,NA,9,270,41,50,47,21,21,75,TRUE
1,0,0,1,36,36,36,36,36,36,1,1,1,9,NA,1,36,0,0,38,0,0,7,FALSE
1,0,0,1,18,18,18,18,18,18,4,4,4,9,NA,1,18,0,0,21,1,1,16,FALSE
1,0,0,1,16,16,16,16,16,16,4,4,4,9,NA,1,16,0,0,18,0,0,23,FALSE
15,0,3,1,618,242,51,200,-82,17,33,4,2,8,NA,12,409,96,209,75,5,5,32,TRUE
17,0,7,2,196,121,19,174,111,17,46,5,2,8,NA,10,185,29,11,37,0,0,17,TRUE
4,0,0,1,114,78,28,114,78,28,13,4,3,8,NA,4,114,0,0,35,0,0,16,FALSE
1,0,0,1,204,204,204,204,204,204,2,2,2,8,NA,1,204,0,0,206,2,2,18,FALSE
14,0,1,1,537,180,41,405,60,31,52,11,3,8,NA,13,471,19,66,49,19,19,44,TRUE
3,0,0,1,338,315,112,330,307,110,17,7,5,8,NA,3,334,1,4,120,7,7,61,FALSE
2,0,0,1,104,101,52,104,101,52,5,3,2,8,NA,2,104,1,0,57,3,3,31,FALSE
4,0,0,1,77,74,19,77,74,19,7,2,1,8,NA,4,77,3,0,28,0,0,115,FALSE
