@relation Keymind-AB

@attribute ﻿CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
0,43,21,FALSE
0,43,25,FALSE
8,43,9,FALSE
10,42,11,FALSE
19,42,20,FALSE
54,42,54,TRUE
78,42,99,TRUE
43,42,26,TRUE
6,38,19,FALSE
1,37,52,FALSE
8,36,169,FALSE
6,36,16,FALSE
7,35,9,TRUE
0,33,9,FALSE
0,32,13,FALSE
0,31,34,FALSE
14,30,14,FALSE
2,30,20,FALSE
3,28,60,FALSE
6,28,15,FALSE
15,26,10,FALSE
37,12,16,TRUE
25,12,35,TRUE
31,11,18,TRUE
18,11,87,FALSE
20,11,35,TRUE
33,11,23,FALSE
31,11,165,FALSE
8,11,10,FALSE
25,11,17,FALSE
22,11,122,FALSE
10,11,20,TRUE
30,8,113,FALSE
8,8,21,FALSE
23,8,61,FALSE
16,8,15,FALSE
20,8,19,FALSE
0,-1,59,TRUE
0,-1,51,TRUE
0,-1,31,FALSE
0,-2,92,FALSE
0,-2,149,FALSE
0,-2,21,FALSE
0,-2,14,FALSE
0,-2,35,TRUE
0,-2,35,FALSE
0,-2,42,TRUE
0,-2,20,FALSE
0,-2,17,FALSE
0,-2,140,FALSE
0,-3,14,FALSE
0,-3,35,FALSE
0,-3,17,FALSE
0,-3,100,FALSE
0,-3,53,FALSE
0,-3,346,FALSE
0,-3,95,FALSE
0,-3,53,FALSE
0,-3,3,FALSE
0,-4,22,FALSE
0,-4,11,FALSE
0,-4,5,FALSE
0,-4,42,FALSE
0,-4,28,TRUE
0,-4,7,FALSE
0,-5,38,FALSE
0,-5,37,FALSE
0,-5,2,FALSE
0,-5,35,FALSE
0,-17,94,FALSE
0,-17,10,FALSE
0,-17,82,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,650,FALSE
0,-26,1279,FALSE
0,-26,680,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,652,FALSE
0,-26,689,FALSE
0,-26,693,FALSE
0,-26,669,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,1279,FALSE
0,-26,649,FALSE
0,-26,23,FALSE
0,-26,44,FALSE
0,-26,45,FALSE
0,-26,35,FALSE
0,-26,20,FALSE
0,-27,41,FALSE
0,-27,54,FALSE
0,-53,9,FALSE
0,-53,105,TRUE
0,57,21,TRUE
4,57,71,FALSE
0,57,12,FALSE
0,57,7,FALSE
2,57,39,FALSE
1,57,19,FALSE
4,57,129,TRUE
0,57,38,TRUE
7,57,80,TRUE
3,57,79,FALSE
7,57,56,FALSE
0,57,131,FALSE
9,57,50,FALSE
0,56,67,FALSE
1,56,13,FALSE
6,55,86,FALSE
61,54,50,TRUE
132,54,23,TRUE
24,54,26,FALSE
2,49,28,FALSE
2,49,169,FALSE
2,49,16,FALSE
3,43,34,FALSE
0,43,14,FALSE
7,42,43,FALSE
0,40,60,FALSE
14,40,200,FALSE
4,23,18,TRUE
0,23,87,FALSE
3,23,35,TRUE
2,23,23,FALSE
0,23,165,FALSE
0,23,10,FALSE
0,23,17,FALSE
10,23,23,FALSE
44,23,44,FALSE
0,21,113,FALSE
0,21,21,FALSE
0,21,61,FALSE
13,21,32,TRUE
78,12,37,FALSE
5,10,83,FALSE
3,10,18,FALSE
3,10,20,FALSE
15,10,38,FALSE
26,10,9,FALSE
11,10,34,FALSE
2,10,40,FALSE
12,9,55,FALSE
0,-5,94,FALSE
0,-5,10,FALSE
0,-5,82,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,650,FALSE
0,-14,1279,FALSE
0,-14,680,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,652,FALSE
0,-14,689,FALSE
0,-14,693,FALSE
0,-14,669,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,1279,FALSE
0,-14,649,FALSE
0,-14,23,FALSE
0,-14,44,FALSE
0,-14,45,FALSE
0,-14,35,FALSE
0,-14,20,FALSE
0,-14,41,FALSE
0,-14,54,FALSE
0,-40,9,FALSE
0,-41,105,TRUE
0,72,21,TRUE
0,72,12,FALSE
0,72,7,FALSE
0,72,19,FALSE
0,72,129,TRUE
2,72,142,FALSE
0,71,131,FALSE
0,71,67,FALSE
0,71,13,FALSE
0,70,86,FALSE
13,69,13,TRUE
18,69,97,TRUE
3,69,26,FALSE
0,64,28,FALSE
0,63,169,FALSE
0,63,16,FALSE
0,57,14,FALSE
0,57,43,FALSE
6,55,9,FALSE
1,38,18,TRUE
0,38,87,FALSE
0,38,35,TRUE
1,38,135,TRUE
0,38,165,FALSE
2,38,14,TRUE
0,35,113,FALSE
0,35,21,FALSE
0,35,61,FALSE
0,35,32,TRUE
0,26,37,FALSE
0,24,55,FALSE
24,1,7,FALSE
36,1,154,FALSE
36,1,22,FALSE
24,1,32,FALSE
24,1,12,FALSE
24,1,12,FALSE
36,1,97,FALSE
36,1,102,FALSE
24,1,7,FALSE
12,1,24,FALSE
0,0,41,FALSE
0,0,54,FALSE
0,-26,9,FALSE
0,-26,105,TRUE
