@relation Keymind-AA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z144.8275862

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
26,6,33,TRUE
0,-10,34,TRUE
33,8,32,TRUE
0,-7,20,TRUE
0,-7,81,TRUE
6,7,28,TRUE
0,0,56,TRUE
0,-6,54,TRUE
0,-7,20,TRUE
0,-72,105,TRUE
0,0,56,TRUE
38,45,10,TRUE
0,-10,81,TRUE
0,-19,51,TRUE
33,8,32,TRUE
0,-10,121,TRUE
0,0,56,TRUE
0,-7,81,TRUE
0,0,56,TRUE
0,-24,44,TRUE
0,-37,51,TRUE
28,26,16,TRUE
38,18,25,TRUE
38,45,10,TRUE
38,18,25,TRUE
28,26,16,TRUE
0,-7,81,TRUE
0,-7,20,TRUE
0,-25,46,TRUE
0,-72,105,TRUE
0,-7,20,TRUE
0,-25,46,TRUE
0,-28,111,TRUE
0,-10,34,TRUE
0,-6,54,TRUE
26,6,33,TRUE
0,-7,20,TRUE
0,-7,81,TRUE
0,-25,46,TRUE
0,-37,51,TRUE
0,-10,81,TRUE
0,-10,121,TRUE
0,-19,51,TRUE
26,6,33,TRUE
0,-28,111,TRUE
38,45,10,TRUE
0,-7,55,TRUE
33,8,32,TRUE
0,-28,111,TRUE
0,-8,47,TRUE
0,-72,105,TRUE
33,8,32,TRUE
0,0,56,TRUE
0,-10,81,TRUE
26,6,33,TRUE
26,6,33,TRUE
0,0,56,TRUE
0,-28,38,TRUE
20,9,36,TRUE
20,9,36,TRUE
0,-7,55,TRUE
0,-7,81,TRUE
0,-37,51,TRUE
33,8,32,TRUE
0,-7,81,TRUE
0,-37,51,TRUE
28,26,16,TRUE
0,-28,38,TRUE
0,-37,51,TRUE
0,-10,81,TRUE
0,-72,105,TRUE
0,-28,81,TRUE
0,0,25,TRUE
23,24,23,TRUE
0,-6,54,TRUE
26,6,33,TRUE
0,-8,47,TRUE
0,-7,55,TRUE
0,-7,20,TRUE
0,-10,81,TRUE
0,-7,20,TRUE
0,-28,81,TRUE
20,9,36,TRUE
12,9,23,FALSE
0,-28,53,FALSE
21,12,30,FALSE
0,-21,35,FALSE
0,-44,1279,FALSE
0,-28,53,FALSE
0,-62,1279,FALSE
0,-20,92,FALSE
0,-10,36,FALSE
0,-25,22,FALSE
18,9,22,FALSE
0,-45,20,FALSE
0,-62,1279,FALSE
0,-39,17,FALSE
7,7,12,FALSE
0,-62,1279,FALSE
0,-39,100,FALSE
18,9,22,FALSE
0,-62,1279,FALSE
3,5,12,FALSE
6,25,25,FALSE
18,9,22,FALSE
4,9,16,FALSE
0,-44,1279,FALSE
0,-62,1279,FALSE
4,45,12,FALSE
0,-44,1279,FALSE
0,-62,1279,FALSE
29,24,15,FALSE
0,-28,53,FALSE
0,-45,45,FALSE
0,-62,680,FALSE
0,-16,15,FALSE
0,-6,14,FALSE
18,9,21,FALSE
52,45,79,FALSE
0,-62,1279,FALSE
6,13,34,FALSE
0,-21,35,FALSE
0,-44,1279,FALSE
7,7,12,FALSE
0,-16,50,FALSE
19,18,2,FALSE
7,12,49,FALSE
21,25,39,FALSE
0,-39,3,FALSE
13,8,21,FALSE
0,-62,1279,FALSE
14,25,20,FALSE
12,9,23,FALSE
0,-25,25,FALSE
0,-16,50,FALSE
22,9,71,FALSE
4,45,12,FALSE
0,-23,37,FALSE
12,18,64,FALSE
7,45,26,FALSE
7,24,16,FALSE
0,-21,35,FALSE
0,-62,1279,FALSE
0,-45,54,FALSE
0,-25,101,FALSE
13,8,21,FALSE
7,18,64,FALSE
7,12,49,FALSE
0,-39,100,FALSE
7,18,64,FALSE
0,-16,50,FALSE
9,26,17,FALSE
0,45,7,FALSE
21,25,39,FALSE
0,-28,53,FALSE
0,-62,1279,FALSE
21,12,30,FALSE
7,18,64,FALSE
0,-21,53,FALSE
29,24,15,FALSE
0,-29,94,FALSE
0,-4,15,FALSE
0,-23,37,FALSE
12,18,64,FALSE
0,-63,23,FALSE
0,-6,21,FALSE
