@relation Keymind-AA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z144.0

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
9,6,59,TRUE
9,6,59,TRUE
11,7,48,TRUE
0,-4,25,TRUE
0,-6,46,TRUE
20,9,56,TRUE
0,25,43,TRUE
0,-28,52,TRUE
11,7,48,TRUE
10,45,78,TRUE
29,6,29,TRUE
0,-72,105,TRUE
0,-25,120,TRUE
0,-7,40,TRUE
0,-28,38,TRUE
0,-1,38,TRUE
0,-6,19,TRUE
0,-41,28,TRUE
0,0,56,TRUE
0,-10,121,TRUE
0,-10,38,TRUE
0,-19,51,TRUE
0,44,137,TRUE
0,-6,19,TRUE
0,0,192,TRUE
0,-8,57,TRUE
39,26,49,TRUE
0,-10,38,TRUE
52,8,44,TRUE
11,7,48,TRUE
0,-41,28,TRUE
0,-28,145,TRUE
0,-25,120,TRUE
0,-10,121,TRUE
0,0,56,TRUE
0,-6,19,TRUE
95,17,39,TRUE
9,6,59,TRUE
13,26,137,TRUE
87,10,86,TRUE
20,9,36,TRUE
29,6,29,TRUE
0,-21,42,TRUE
19,6,22,TRUE
13,26,137,TRUE
2,25,28,TRUE
0,-10,81,TRUE
0,-24,44,TRUE
0,-7,88,TRUE
0,-6,90,TRUE
0,-25,120,TRUE
0,-21,35,TRUE
0,-25,81,TRUE
0,-28,145,TRUE
0,-1,38,TRUE
10,45,78,TRUE
0,-24,44,TRUE
0,-28,121,TRUE
0,0,25,TRUE
0,-24,44,TRUE
0,-8,57,TRUE
64,6,84,TRUE
0,-28,145,TRUE
0,0,192,TRUE
0,0,48,TRUE
0,-28,145,TRUE
0,-5,19,TRUE
0,-10,121,TRUE
0,44,137,TRUE
0,-19,51,TRUE
0,-7,20,TRUE
0,-6,28,TRUE
15,12,83,TRUE
13,26,137,TRUE
0,-39,42,TRUE
20,9,56,TRUE
0,-90,105,TRUE
0,-37,51,TRUE
0,-28,111,TRUE
52,9,9,TRUE
0,-28,38,TRUE
87,10,86,TRUE
0,0,395,TRUE
11,7,48,TRUE
0,-7,22,TRUE
35,7,43,TRUE
0,0,25,TRUE
52,9,9,TRUE
9,6,79,TRUE
0,-6,39,TRUE
0,-10,38,TRUE
12,9,28,TRUE
0,-41,28,TRUE
0,-28,48,TRUE
2,25,28,TRUE
0,45,38,TRUE
0,-10,121,TRUE
0,0,25,TRUE
0,0,48,TRUE
46,9,75,TRUE
0,-28,35,TRUE
0,0,35,TRUE
0,-7,40,TRUE
0,-37,59,TRUE
0,-21,42,TRUE
2,25,28,TRUE
0,-25,120,TRUE
0,-7,120,TRUE
52,9,9,TRUE
0,-37,59,TRUE
46,9,75,TRUE
0,-1,27,TRUE
0,-7,20,TRUE
0,-1,27,TRUE
0,-10,55,TRUE
0,-39,35,TRUE
10,45,78,TRUE
0,-10,55,TRUE
15,12,83,TRUE
0,0,56,TRUE
52,9,9,TRUE
26,6,33,TRUE
0,-6,90,TRUE
0,-8,47,TRUE
0,-6,90,TRUE
0,-25,61,TRUE
0,0,395,TRUE
0,0,35,TRUE
37,26,155,TRUE
0,0,395,TRUE
0,-90,105,TRUE
0,-10,81,TRUE
0,-21,35,TRUE
0,-37,59,TRUE
37,26,155,TRUE
0,-8,47,TRUE
0,-4,25,TRUE
0,-28,52,TRUE
0,-28,35,TRUE
0,-19,51,TRUE
0,-7,61,TRUE
0,-1,27,TRUE
0,-7,120,TRUE
9,6,59,TRUE
37,26,155,TRUE
23,24,23,TRUE
0,-28,52,TRUE
0,-37,51,TRUE
46,9,75,TRUE
0,-8,47,TRUE
0,-28,48,TRUE
13,7,79,TRUE
0,-21,35,TRUE
20,9,56,TRUE
35,7,43,TRUE
0,-5,19,TRUE
20,9,56,TRUE
0,-28,111,TRUE
19,6,22,TRUE
41,24,38,TRUE
49,24,33,TRUE
0,0,395,TRUE
0,-8,47,TRUE
11,7,48,TRUE
46,9,75,TRUE
0,-28,52,TRUE
0,-21,42,TRUE
0,-7,22,TRUE
0,-28,52,TRUE
0,-10,121,TRUE
49,9,29,TRUE
0,-72,105,TRUE
29,6,29,TRUE
0,-6,19,TRUE
0,-7,22,TRUE
0,0,35,TRUE
0,-7,61,TRUE
9,6,79,TRUE
0,-6,46,TRUE
0,-5,19,TRUE
0,27,56,TRUE
52,9,9,TRUE
49,9,29,TRUE
0,-7,22,TRUE
0,45,38,TRUE
0,25,43,TRUE
0,-25,88,TRUE
0,-19,59,TRUE
0,-37,51,TRUE
0,-7,88,TRUE
13,7,79,TRUE
0,-28,121,TRUE
2,25,28,TRUE
10,45,78,TRUE
0,44,137,TRUE
0,0,35,TRUE
0,0,25,TRUE
20,9,56,TRUE
35,7,43,TRUE
0,0,395,TRUE
49,24,33,TRUE
20,9,36,TRUE
0,0,56,TRUE
0,0,25,TRUE
0,-39,35,TRUE
0,-6,46,TRUE
0,20,51,TRUE
0,-90,105,TRUE
0,-7,61,TRUE
0,-7,20,TRUE
0,-21,35,TRUE
0,-39,35,TRUE
0,-5,19,TRUE
0,20,51,TRUE
0,-19,59,TRUE
23,24,23,TRUE
0,-72,105,TRUE
2,25,28,TRUE
0,-19,59,TRUE
0,-21,42,TRUE
0,0,395,TRUE
0,-28,48,TRUE
0,-25,88,TRUE
0,-10,38,TRUE
0,-5,19,TRUE
0,-28,145,TRUE
0,-28,145,TRUE
0,0,48,TRUE
0,-7,120,TRUE
20,9,36,TRUE
0,-25,61,TRUE
0,-7,88,TRUE
95,17,39,TRUE
64,6,84,TRUE
0,20,51,TRUE
12,9,28,TRUE
0,-25,81,TRUE
0,0,48,TRUE
0,-8,126,TRUE
0,20,51,TRUE
0,-10,38,TRUE
12,9,28,TRUE
0,-8,57,TRUE
13,7,79,TRUE
9,6,79,TRUE
0,-4,25,TRUE
31,25,50,TRUE
41,24,38,TRUE
20,9,56,TRUE
0,-21,42,TRUE
0,-28,145,TRUE
0,-28,52,TRUE
0,0,44,FALSE
3,23,8,FALSE
8,9,16,FALSE
0,0,29,FALSE
0,-39,20,FALSE
2,8,18,FALSE
7,7,12,FALSE
15,44,9,FALSE
0,-53,10,FALSE
8,18,13,FALSE
0,-71,9,FALSE
0,-10,29,FALSE
0,-1,35,FALSE
29,27,14,FALSE
0,-39,53,FALSE
0,-63,23,FALSE
31,27,59,FALSE
0,27,11,FALSE
0,-7,19,FALSE
0,-40,5,FALSE
0,-44,1279,FALSE
0,-39,95,FALSE
0,-4,15,FALSE
0,-7,21,FALSE
0,-71,9,FALSE
0,-44,1279,FALSE
0,0,35,FALSE
20,11,12,FALSE
0,-41,35,FALSE
0,-7,25,FALSE
0,-25,21,FALSE
23,9,18,FALSE
0,-21,3,FALSE
0,-39,14,FALSE
0,-62,669,FALSE
0,-6,102,FALSE
14,18,7,FALSE
20,11,12,FALSE
0,-5,23,FALSE
0,0,116,FALSE
0,-25,25,FALSE
0,-62,1279,FALSE
0,-22,5,FALSE
0,-6,28,FALSE
6,43,10,FALSE
0,-39,53,FALSE
0,-35,10,FALSE
0,-44,689,FALSE
16,27,9,FALSE
3,23,8,FALSE
0,-44,1279,FALSE
0,-45,20,FALSE
0,-62,649,FALSE
0,-44,1279,FALSE
0,-11,83,FALSE
0,-40,22,FALSE
0,-39,35,FALSE
0,-24,39,FALSE
7,45,7,FALSE
2,25,21,FALSE
0,-24,39,FALSE
31,9,12,FALSE
0,-24,14,FALSE
6,44,19,FALSE
0,-29,94,FALSE
0,-5,103,FALSE
0,-44,1279,FALSE
29,27,14,FALSE
0,-21,35,FALSE
0,-25,25,FALSE
8,9,16,FALSE
0,-16,50,FALSE
0,-21,53,FALSE
16,27,9,FALSE
2,8,58,FALSE
0,-21,20,FALSE
0,0,44,FALSE
0,0,44,FALSE
0,-41,37,FALSE
18,9,21,FALSE
0,-41,37,FALSE
0,-4,15,FALSE
0,-53,10,FALSE
2,27,16,FALSE
0,-7,22,FALSE
0,-23,2,FALSE
0,-63,45,FALSE
10,13,16,FALSE
0,-10,36,FALSE
0,-25,40,FALSE
0,-41,35,FALSE
8,9,16,FALSE
0,-39,53,FALSE
0,-44,1279,FALSE
49,18,2,FALSE
0,0,57,FALSE
0,-6,98,FALSE
0,-39,35,FALSE
0,-6,28,FALSE
0,-25,25,FALSE
0,-21,14,FALSE
0,-24,28,FALSE
0,-39,3,FALSE
0,-21,53,FALSE
0,-21,95,FALSE
4,25,10,FALSE
0,-37,31,FALSE
0,-39,3,FALSE
0,-39,35,FALSE
2,25,21,FALSE
0,-62,669,FALSE
0,0,12,FALSE
33,10,51,FALSE
0,-44,1279,FALSE
30,9,17,FALSE
0,-10,29,FALSE
0,-7,61,FALSE
2,8,58,FALSE
0,-6,29,FALSE
0,-39,17,FALSE
0,-62,1279,FALSE
4,25,10,FALSE
0,-11,65,FALSE
0,-45,35,FALSE
0,-25,21,FALSE
0,-6,44,FALSE
18,9,21,FALSE
0,-24,28,FALSE
4,45,12,FALSE
0,-28,36,FALSE
0,-21,14,FALSE
0,45,7,FALSE
1,44,131,FALSE
0,0,12,FALSE
0,45,7,FALSE
0,-44,1279,FALSE
18,9,7,FALSE
9,27,12,FALSE
15,44,9,FALSE
0,-10,35,FALSE
0,-62,669,FALSE
0,-10,62,FALSE
0,-23,38,FALSE
0,0,35,FALSE
0,-25,40,FALSE
13,8,16,FALSE
0,-21,95,FALSE
0,-24,29,FALSE
0,-44,1279,FALSE
7,18,64,FALSE
0,0,44,FALSE
0,0,35,FALSE
0,0,35,FALSE
23,45,91,FALSE
32,12,20,FALSE
2,25,21,FALSE
0,0,35,FALSE
0,-4,19,FALSE
0,-62,1279,FALSE
0,-16,50,FALSE
27,27,10,FALSE
0,-39,35,FALSE
0,-25,35,FALSE
0,-39,100,FALSE
0,-24,29,FALSE
0,-25,101,FALSE
0,0,35,FALSE
0,-25,35,FALSE
0,-62,1279,FALSE
0,-22,11,FALSE
0,-20,21,FALSE
0,-63,23,FALSE
0,-10,52,FALSE
29,24,15,FALSE
0,-11,57,FALSE
21,15,9,FALSE
0,-62,1279,FALSE
33,10,51,FALSE
8,9,16,FALSE
0,-39,14,FALSE
0,0,20,FALSE
11,26,87,FALSE
9,27,12,FALSE
0,-62,649,FALSE
0,27,7,FALSE
3,27,15,FALSE
7,7,12,FALSE
0,27,7,FALSE
0,-6,93,FALSE
0,-62,1279,FALSE
0,-1,51,FALSE
0,-39,100,FALSE
0,-20,21,FALSE
0,-24,89,FALSE
31,27,59,FALSE
0,27,42,FALSE
0,-10,29,FALSE
0,-6,29,FALSE
4,45,12,FALSE
0,-62,1279,FALSE
7,45,16,FALSE
12,9,23,FALSE
0,-44,1279,FALSE
0,-63,44,FALSE
0,-62,1279,FALSE
7,7,12,FALSE
0,0,116,FALSE
0,-62,1279,FALSE
0,-2,12,FALSE
0,-25,61,FALSE
0,-21,17,FALSE
0,-6,14,FALSE
0,27,7,FALSE
0,-24,28,FALSE
0,-24,28,FALSE
0,-3,53,FALSE
8,18,13,FALSE
1,9,7,FALSE
0,-39,3,FALSE
0,-62,1279,FALSE
20,11,12,FALSE
32,12,20,FALSE
0,-11,57,FALSE
18,9,21,FALSE
0,-6,102,FALSE
23,9,18,FALSE
0,27,7,FALSE
0,-6,93,FALSE
0,-4,19,FALSE
0,-21,95,FALSE
0,-45,45,FALSE
4,7,21,FALSE
0,-10,37,FALSE
8,9,16,FALSE
31,27,59,FALSE
0,-28,36,FALSE
4,9,23,FALSE
0,0,20,FALSE
0,-21,17,FALSE
0,-6,44,FALSE
0,-24,14,FALSE
0,0,29,FALSE
9,27,12,FALSE
0,-11,26,FALSE
0,-24,39,FALSE
0,0,29,FALSE
0,-6,16,FALSE
0,0,57,FALSE
8,9,16,FALSE
21,15,9,FALSE
0,-62,669,FALSE
0,45,7,FALSE
