@relation Keymind-AA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z56.0-no-replacement

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
46,8,17,TRUE
0,-39,42,TRUE
0,-28,81,TRUE
0,-7,46,TRUE
3,6,55,TRUE
0,-7,40,TRUE
12,9,28,TRUE
0,-7,120,TRUE
6,7,28,TRUE
0,0,35,TRUE
0,-6,46,TRUE
91,24,70,TRUE
0,-7,61,TRUE
20,9,38,TRUE
52,8,44,TRUE
23,24,23,TRUE
0,-25,61,TRUE
10,45,78,TRUE
0,-10,52,TRUE
0,0,78,TRUE
0,-6,39,TRUE
38,27,63,TRUE
47,7,34,TRUE
0,-7,55,TRUE
0,0,25,TRUE
0,-10,48,TRUE
35,7,43,TRUE
20,9,56,TRUE
0,-24,39,TRUE
0,20,51,TRUE
9,25,25,TRUE
0,-6,28,TRUE
0,-7,81,TRUE
0,-1,27,TRUE
3,45,21,TRUE
0,-25,81,TRUE
38,45,10,TRUE
0,0,192,TRUE
41,24,38,TRUE
26,6,33,TRUE
0,-28,55,TRUE
0,-19,59,TRUE
0,-7,88,TRUE
0,27,56,TRUE
0,-6,44,TRUE
95,17,39,TRUE
0,-1,38,TRUE
23,27,23,TRUE
0,0,56,TRUE
0,-7,22,TRUE
0,-8,126,TRUE
0,-37,59,TRUE
29,7,47,TRUE
0,-23,28,TRUE
11,7,48,TRUE
8,23,41,TRUE
0,-10,35,TRUE
88,24,26,TRUE
49,24,33,TRUE
38,18,25,TRUE
0,-28,52,TRUE
0,0,25,TRUE
0,44,137,TRUE
0,0,395,TRUE
0,-10,55,TRUE
0,-28,111,TRUE
35,45,13,TRUE
0,-10,121,TRUE
2,25,28,TRUE
0,-6,19,TRUE
0,-5,19,TRUE
28,26,16,TRUE
0,-6,90,TRUE
0,-28,48,TRUE
0,-10,34,TRUE
39,26,49,TRUE
0,-25,120,TRUE
87,10,86,TRUE
18,12,47,TRUE
0,-10,38,TRUE
19,6,22,TRUE
0,-5,84,TRUE
2,2,51,TRUE
0,-39,35,TRUE
0,27,38,TRUE
33,8,32,TRUE
0,25,43,TRUE
0,-25,46,TRUE
0,-10,111,TRUE
29,6,29,TRUE
0,-37,51,TRUE
0,-8,57,TRUE
0,-28,121,TRUE
0,-6,12,TRUE
52,9,9,TRUE
0,-19,51,TRUE
0,-24,44,TRUE
15,12,83,TRUE
0,-10,52,FALSE
0,-44,1279,FALSE
0,-24,39,FALSE
14,9,15,FALSE
4,9,23,FALSE
0,45,7,FALSE
0,-25,101,FALSE
0,-25,48,FALSE
0,-21,140,FALSE
0,-20,92,FALSE
22,9,71,FALSE
0,-2,12,FALSE
0,25,29,FALSE
0,-44,1279,FALSE
0,-62,1279,FALSE
0,-6,21,FALSE
32,44,18,FALSE
0,0,12,FALSE
0,-10,53,FALSE
14,25,20,FALSE
0,-10,55,FALSE
0,-25,35,FALSE
0,-44,1279,FALSE
0,0,57,FALSE
0,-44,669,FALSE
0,-24,14,FALSE
0,27,11,FALSE
5,8,31,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-16,50,FALSE
0,-3,53,FALSE
0,-28,36,FALSE
9,26,17,FALSE
0,-4,19,FALSE
6,7,29,FALSE
0,0,35,FALSE
13,8,21,FALSE
0,-39,100,FALSE
0,-6,89,FALSE
0,-62,680,FALSE
0,-63,35,FALSE
10,13,16,FALSE
34,18,3,FALSE
0,45,7,FALSE
0,-63,54,FALSE
0,-39,53,FALSE
0,-25,22,FALSE
0,-45,44,FALSE
36,13,13,FALSE
0,-7,22,FALSE
0,-62,649,FALSE
52,45,79,FALSE
18,9,22,FALSE
0,-38,92,FALSE
0,-23,35,FALSE
19,18,2,FALSE
0,-6,39,FALSE
0,-17,5,FALSE
0,-62,1279,FALSE
0,-10,36,FALSE
0,-21,53,FALSE
0,-44,1279,FALSE
0,-10,99,FALSE
0,-20,21,FALSE
0,-39,20,FALSE
8,9,16,FALSE
12,18,64,FALSE
0,-7,35,FALSE
0,-6,93,FALSE
0,-24,21,FALSE
30,9,17,FALSE
0,-6,29,FALSE
0,-10,35,FALSE
18,27,21,FALSE
16,26,15,FALSE
0,-6,21,FALSE
6,44,19,FALSE
0,-6,20,FALSE
14,18,7,FALSE
0,-62,1279,FALSE
0,26,58,FALSE
0,-7,53,FALSE
0,-21,100,FALSE
0,-45,20,FALSE
0,-19,31,FALSE
0,-4,15,FALSE
33,10,51,FALSE
0,-38,149,FALSE
29,24,15,FALSE
13,8,16,FALSE
20,11,12,FALSE
0,-24,43,FALSE
4,9,16,FALSE
7,18,64,FALSE
0,-44,693,FALSE
0,-71,9,FALSE
0,-89,9,FALSE
