@relation 'Keymind - BA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,0,0,0,19,0,11,FALSE
1,1,0,0,10,38,9,FALSE
0,0,0,0,-47,3,9,FALSE
0,0,0,0,-1,0,38,FALSE
3,0,18,6,19,47,9,FALSE
3,0,0,0,23,47,9,FALSE
16,0,22,1,21,31,37,FALSE
3,3,0,0,23,78,44,FALSE
0,0,0,0,-19,0,9,FALSE
0,0,0,0,-23,0,16,FALSE
0,0,0,0,-19,0,95,FALSE
1,0,2,2,21,65,140,FALSE
0,0,0,0,-19,0,466,FALSE
5,3,27,13,25,59,90,FALSE
1,1,0,0,20,63,72,FALSE
1,0,1,1,21,25,119,FALSE
1,0,0,0,21,0,51,FALSE
6,2,40,10,22,15,16,FALSE
0,0,0,0,-23,0,16,FALSE
0,0,0,0,-41,19,12,FALSE
3,2,9,9,14,80,12,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-23,0,152,FALSE
9,0,0,0,23,0,13,FALSE
3,2,0,0,43,0,9,FALSE
8,0,33,4,21,30,33,FALSE
0,0,0,0,-19,0,30,FALSE
0,0,0,0,-23,2,23,FALSE
0,0,0,0,-43,0,100,FALSE
0,0,0,0,-19,18,27,FALSE
0,0,0,0,-19,0,466,FALSE
1,0,0,0,19,0,12,FALSE
0,0,0,0,-41,2,12,FALSE
0,0,0,0,-23,0,9,FALSE
2,1,0,0,22,0,12,FALSE
2,1,0,0,19,0,4,FALSE
3,2,-5,-5,22,0,9,FALSE
7,1,0,0,43,16,19,FALSE
0,0,0,0,-19,0,134,FALSE
8,4,54,14,24,0,26,FALSE
16,10,0,0,45,0,9,FALSE
0,0,0,0,-17,0,0,FALSE
2,0,9,4,21,0,119,FALSE
1,0,0,0,25,29,63,FALSE
0,0,0,0,-45,2,12,FALSE
0,0,0,0,-19,2,23,FALSE
0,0,0,0,-19,0,128,FALSE
6,1,0,0,27,66,50,FALSE
0,0,0,0,-23,0,40,FALSE
0,0,0,0,-19,0,239,FALSE
0,0,0,0,-23,0,9,FALSE
0,0,0,0,-47,0,115,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-43,0,89,FALSE
1,0,0,0,25,0,141,FALSE
0,0,0,0,-19,0,26,FALSE
0,0,0,0,-23,0,251,FALSE
0,0,0,0,-43,0,53,FALSE
4,2,9,4,22,0,26,FALSE
3,1,0,0,45,43,98,FALSE
6,0,0,0,25,0,96,FALSE
0,0,0,0,-43,0,47,FALSE
0,0,0,0,-21,0,0,FALSE
6,1,0,0,44,0,11,FALSE
0,0,0,0,-47,4,9,FALSE
0,0,0,0,-15,0,35,FALSE
2,0,2,1,21,0,36,FALSE
2,1,0,0,43,7,10,FALSE
0,0,0,0,-47,0,100,FALSE
9,5,31,8,24,70,15,TRUE
2,1,0,0,23,61,9,TRUE
6,2,0,0,27,95,32,TRUE
12,4,179,22,23,64,144,TRUE
9,3,45,7,23,0,20,TRUE
33,20,2,2,45,88,232,TRUE
5,1,5,1,23,39,29,TRUE
9,8,0,0,22,0,9,TRUE
12,4,0,0,44,64,144,TRUE
1,0,37,37,22,17,10,TRUE
