"Original.Release","Release","Order","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-B",100,"FIRST",3,0,1,1,14,7,7,14,7,7,18,7,6,25,NA,2,14,2,0,15,43,43,98,FALSE
"Keymind-B",100,"FIRST",4,0,4,1,0,0,0,0,0,0,27,11,6,25,NA,0,0,0,0,0,5,5,35,TRUE
"Keymind-B",100,"FIRST",30,0,18,1,484,201,39,450,167,37,141,11,4,25,NA,12,467,107,17,82,86,86,35,TRUE
"Keymind-B",100,"FIRST",5,0,3,1,27,14,13,27,14,13,23,8,4,25,NA,2,27,0,0,21,59,59,90,FALSE
"Keymind-B",100,"FIRST",16,0,10,4,84,70,13,-30,-42,-5,118,26,7,25,NA,6,27,26,57,25,0,0,9,FALSE
"Keymind-B",100,"FIRST",14,0,7,4,316,269,45,-176,-181,-25,111,26,7,24,NA,7,70,91,246,53,0,0,11,TRUE
"Keymind-B",100,"FIRST",9,0,5,2,37,27,8,31,21,8,52,26,5,24,NA,4,34,25,3,44,70,70,15,TRUE
"Keymind-B",100,"FIRST",8,0,4,3,90,72,22,54,36,14,80,26,10,24,NA,4,72,4,18,31,0,0,26,FALSE
"Keymind-B",100,"FIRST",17,0,5,3,149,82,11,135,70,11,58,14,3,24,NA,12,142,37,7,30,0,0,11,FALSE
"Keymind-B",100,"FIRST",6,0,1,1,45,18,9,45,18,9,32,14,5,24,NA,5,45,6,0,22,0,0,11,FALSE
"Keymind-B",100,"FIRST",7,0,4,1,45,20,15,45,20,15,22,6,3,23,NA,3,45,0,0,23,110,110,54,FALSE
"Keymind-B",100,"FIRST",4,0,1,2,5,5,1,5,5,1,40,29,10,23,NA,3,5,7,0,18,0,0,16,FALSE
"Keymind-B",100,"FIRST",3,0,3,2,0,0,0,0,0,0,6,3,2,23,NA,0,0,0,0,0,78,78,44,FALSE
"Keymind-B",100,"FIRST",6,0,1,2,31,18,6,31,18,6,29,11,4,23,NA,5,31,8,0,24,66,66,50,FALSE
"Keymind-B",100,"FIRST",6,0,2,2,12,8,3,12,8,3,10,2,1,23,NA,4,12,10,0,19,95,95,32,TRUE
"Keymind-B",100,"FIRST",14,0,4,3,170,51,17,170,51,17,112,26,7,23,NA,10,170,19,0,32,0,0,26,TRUE
"Keymind-B",100,"FIRST",12,0,4,1,275,137,34,179,81,22,36,6,2,23,NA,8,227,43,48,58,64,64,144,TRUE
"Keymind-B",100,"FIRST",5,0,1,3,7,3,1,5,1,1,46,29,7,23,NA,4,6,2,1,13,39,39,29,TRUE
"Keymind-B",100,"FIRST",12,0,8,4,21,13,5,5,1,1,48,10,3,23,NA,4,13,3,8,15,0,0,10,FALSE
"Keymind-B",100,"FIRST",4,0,4,3,0,0,0,0,0,0,24,8,4,23,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-B",100,"FIRST",2,0,0,3,52,52,26,52,52,26,13,8,4,23,NA,2,52,1,0,34,5,5,23,FALSE
"Keymind-B",100,"FIRST",9,0,3,2,45,36,7,45,36,7,89,26,9,23,NA,6,45,5,0,17,0,0,20,TRUE
"Keymind-B",100,"FIRST",1,0,1,1,0,0,0,0,0,0,5,5,5,23,NA,0,0,0,0,0,33,33,9,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,37,37,37,37,37,37,3,3,3,22,NA,1,37,1,0,52,17,17,10,TRUE
"Keymind-B",100,"FIRST",2,0,1,2,0,0,0,0,0,0,9,5,4,22,NA,1,0,1,0,9,0,0,11,FALSE
"Keymind-B",100,"FIRST",3,0,2,2,21,21,21,-5,-5,-5,10,5,3,22,NA,1,8,15,13,38,0,0,9,FALSE
"Keymind-B",100,"FIRST",2,0,1,2,0,0,0,0,0,0,15,8,7,22,NA,1,0,5,0,31,0,0,12,FALSE
"Keymind-B",100,"FIRST",3,0,1,3,2,2,0,0,0,0,25,10,8,22,NA,2,1,8,1,23,0,0,10,FALSE
