@relation 'Keymind - BA-weka.filters.supervised.instance.Resample-B1.0-S1-Z176.5823'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
4,1,0,0,44,0,16,FALSE
0,0,0,0,-23,0,248,FALSE
4,4,0,0,27,0,35,FALSE
0,0,0,0,-5,16,16,FALSE
0,0,0,0,-19,0,35,FALSE
5,1,33,8,22,0,28,FALSE
0,0,0,0,-5,16,16,FALSE
1,0,27,27,22,19,25,FALSE
0,0,0,0,-19,0,134,FALSE
5,3,27,13,25,59,90,FALSE
0,0,0,0,-41,2,12,FALSE
0,0,0,0,-47,3,9,FALSE
6,1,31,6,23,66,50,FALSE
1,0,0,0,25,25,119,FALSE
2,1,0,0,17,24,15,FALSE
2,2,0,0,22,0,11,FALSE
0,0,0,0,-43,0,47,FALSE
6,1,0,0,44,0,11,FALSE
7,1,0,0,43,16,19,FALSE
0,0,0,0,-23,0,26,FALSE
0,0,0,0,-41,3,43,FALSE
0,0,0,0,-19,0,14,FALSE
0,0,0,0,-24,0,58,FALSE
0,0,0,0,-23,0,17,FALSE
4,2,9,4,22,0,26,FALSE
17,5,0,0,44,0,11,FALSE
2,2,0,0,26,0,11,FALSE
0,0,0,0,-19,0,128,FALSE
0,0,0,0,-23,0,129,FALSE
0,0,0,0,-23,0,20,FALSE
0,0,0,0,-21,0,0,FALSE
6,0,9,1,21,0,96,FALSE
7,1,88,15,22,211,11,FALSE
0,0,0,0,-24,0,58,FALSE
1,0,1,1,21,25,119,FALSE
0,0,0,0,-19,17,29,FALSE
3,2,0,0,23,0,50,FALSE
12,8,0,0,27,0,10,FALSE
6,1,0,0,28,0,11,FALSE
0,0,0,0,-23,0,11,FALSE
0,0,0,0,-19,0,30,FALSE
9,0,0,0,23,0,13,FALSE
0,0,0,0,-19,0,9,FALSE
0,0,0,0,-23,0,134,FALSE
5,1,-9,-2,21,0,26,FALSE
2,1,0,0,26,0,11,FALSE
2,2,0,0,22,0,9,FALSE
0,0,0,0,-43,0,21,FALSE
0,0,0,0,-23,0,30,FALSE
6,2,0,0,43,15,16,FALSE
1,0,0,0,23,41,16,FALSE
0,0,0,0,-19,0,11,FALSE
0,0,0,0,-23,0,40,FALSE
0,0,0,0,-17,0,0,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-19,0,11,FALSE
5,1,0,0,43,0,28,FALSE
4,4,0,0,23,0,35,FALSE
