@relation 'Keymind - BA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
3,1,14,7,25,43,98,FALSE
4,4,0,0,25,5,35,TRUE
30,18,450,37,25,86,35,TRUE
5,3,27,13,25,59,90,FALSE
16,10,-30,-5,25,0,9,FALSE
14,7,-176,-25,24,0,11,TRUE
9,5,31,8,24,70,15,TRUE
8,4,54,14,24,0,26,FALSE
17,5,135,11,24,0,11,FALSE
6,1,45,9,24,0,11,FALSE
7,4,45,15,23,110,54,FALSE
4,1,5,1,23,0,16,FALSE
3,3,0,0,23,78,44,FALSE
6,1,31,6,23,66,50,FALSE
6,2,12,3,23,95,32,TRUE
14,4,170,17,23,0,26,TRUE
12,4,179,22,23,64,144,TRUE
5,1,5,1,23,39,29,TRUE
12,8,5,1,23,0,10,FALSE
4,4,0,0,23,0,35,FALSE
2,0,52,26,23,5,23,FALSE
9,3,45,7,23,0,20,TRUE
1,1,0,0,23,33,9,FALSE
1,0,37,37,22,17,10,TRUE
2,1,0,0,22,0,11,FALSE
3,2,-5,-5,22,0,9,FALSE
2,1,0,0,22,0,12,FALSE
3,1,0,0,22,0,10,FALSE
6,2,40,10,22,15,16,FALSE
2,1,0,0,22,7,10,FALSE
5,1,33,8,22,0,28,FALSE
4,1,-9,-3,22,0,35,FALSE
7,1,11,2,22,16,19,FALSE
2,2,0,0,22,0,9,FALSE
2,2,0,0,22,0,11,FALSE
9,8,0,0,22,0,9,TRUE
1,0,27,27,22,19,25,FALSE
7,1,88,15,22,211,11,FALSE
10,5,92,18,22,0,12,TRUE
4,2,9,4,22,0,26,FALSE
2,2,0,0,21,33,9,FALSE
5,1,-9,-2,21,0,26,FALSE
6,1,1,0,21,0,7,FALSE
8,0,33,4,21,30,33,FALSE
16,0,22,1,21,31,37,FALSE
6,0,9,1,21,0,96,FALSE
2,1,0,0,21,0,36,FALSE
1,0,0,0,21,0,141,FALSE
1,0,0,0,21,0,51,FALSE
2,0,2,1,21,0,36,FALSE
2,0,9,4,21,0,119,FALSE
5,2,4,1,21,0,20,FALSE
1,0,1,1,21,25,119,FALSE
3,0,7,2,21,0,40,FALSE
1,0,2,2,21,65,140,FALSE
1,0,1,1,21,29,63,FALSE
4,2,0,0,21,0,11,FALSE
3,0,9,3,21,0,45,FALSE
1,1,0,0,20,63,72,FALSE
1,1,0,0,20,76,143,FALSE
11,0,135,12,19,12,9,FALSE
9,0,-1,0,19,0,13,FALSE
2,1,0,0,19,0,4,FALSE
1,0,1,1,19,41,16,FALSE
3,2,0,0,19,0,50,FALSE
1,0,0,0,19,0,11,FALSE
2,1,5,5,19,70,16,FALSE
1,0,0,0,19,0,12,FALSE
1,1,0,0,19,125,36,FALSE
3,0,18,6,19,47,9,FALSE
4,4,0,0,19,9,30,TRUE
1,1,0,0,19,61,9,FALSE
3,2,0,0,18,0,24,FALSE
2,2,0,0,18,64,53,FALSE
5,3,0,0,17,0,28,TRUE
2,1,0,0,17,24,15,FALSE
3,2,9,9,14,80,12,FALSE
1,1,0,0,10,38,9,FALSE
0,0,0,0,-5,0,38,FALSE
0,0,0,0,-5,0,28,FALSE
0,0,0,0,-5,0,23,FALSE
0,0,0,0,-5,16,16,FALSE
0,0,0,0,-19,0,35,FALSE
0,0,0,0,-21,0,0,FALSE
0,0,0,0,-21,0,0,FALSE
0,0,0,0,-21,0,0,FALSE
0,0,0,0,-21,0,0,FALSE
0,0,0,0,-23,17,29,FALSE
0,0,0,0,-23,15,27,FALSE
0,0,0,0,-23,0,16,FALSE
0,0,0,0,-23,0,14,FALSE
0,0,0,0,-23,0,15,FALSE
0,0,0,0,-23,15,20,FALSE
0,0,0,0,-23,15,26,FALSE
0,0,0,0,-23,0,16,FALSE
0,0,0,0,-23,0,11,FALSE
0,0,0,0,-23,0,20,FALSE
0,0,0,0,-23,18,27,FALSE
0,0,0,0,-23,2,23,FALSE
0,0,0,0,-23,1,11,FALSE
0,0,0,0,-23,0,67,FALSE
0,0,0,0,-23,0,9,FALSE
0,0,0,0,-23,0,9,FALSE
0,0,0,0,-23,0,134,FALSE
0,0,0,0,-23,0,57,FALSE
0,0,0,0,-23,0,96,FALSE
0,0,0,0,-23,0,11,FALSE
0,0,0,0,-23,0,57,FALSE
0,0,0,0,-23,16,25,FALSE
0,0,0,0,-23,0,95,FALSE
0,0,0,0,-23,0,134,FALSE
0,0,0,0,-23,0,11,FALSE
0,0,0,0,-23,0,129,FALSE
0,0,0,0,-23,0,250,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-23,0,248,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-23,0,152,FALSE
0,0,0,0,-23,0,2680,FALSE
0,0,0,0,-23,0,251,FALSE
0,0,0,0,-23,0,466,FALSE
0,0,0,0,-23,0,239,FALSE
0,0,0,0,-23,0,248,FALSE
0,0,0,0,-23,0,128,FALSE
0,0,0,0,-23,0,17,FALSE
0,0,0,0,-23,0,26,FALSE
0,0,0,0,-23,0,40,FALSE
0,0,0,0,-23,0,30,FALSE
0,0,0,0,-23,0,102,FALSE
0,0,0,0,-24,0,58,FALSE
0,0,0,0,-45,12,22,FALSE
0,0,0,0,-45,2,12,FALSE
0,0,0,0,-45,19,12,FALSE
0,0,0,0,-45,0,11,FALSE
0,0,0,0,-45,0,9,FALSE
0,0,0,0,-45,3,43,FALSE
0,0,0,0,-47,4,9,FALSE
0,0,0,0,-47,3,9,FALSE
0,0,0,0,-47,0,100,FALSE
0,0,0,0,-47,0,47,FALSE
0,0,0,0,-47,0,145,FALSE
0,0,0,0,-47,0,89,FALSE
0,0,0,0,-47,0,53,FALSE
0,0,0,0,-47,0,143,FALSE
0,0,0,0,-47,0,21,FALSE
0,0,0,0,-47,0,115,FALSE
0,0,0,0,-48,6,9,FALSE
3,1,0,0,29,43,98,FALSE
4,4,0,0,29,5,35,TRUE
30,18,0,0,29,86,35,TRUE
5,3,0,0,29,59,90,FALSE
16,10,0,0,29,0,9,FALSE
14,7,0,0,28,0,11,TRUE
9,5,0,0,28,70,15,TRUE
8,4,0,0,28,0,26,FALSE
17,5,0,0,28,0,11,FALSE
6,1,0,0,28,0,11,FALSE
7,4,0,0,27,110,54,FALSE
4,1,0,0,27,0,16,FALSE
3,3,0,0,27,78,44,FALSE
6,1,0,0,27,66,50,FALSE
6,2,0,0,27,95,32,TRUE
14,4,0,0,27,0,26,TRUE
12,4,0,0,27,64,144,TRUE
6,2,0,0,27,41,29,TRUE
12,8,0,0,27,0,10,FALSE
4,4,0,0,27,0,35,FALSE
2,0,0,0,27,6,23,FALSE
9,3,0,0,27,0,20,TRUE
2,1,0,0,27,33,12,TRUE
1,0,0,0,26,17,10,TRUE
2,1,0,0,26,0,11,FALSE
3,2,0,0,26,0,9,FALSE
2,1,0,0,26,0,12,FALSE
3,1,0,0,26,0,10,FALSE
6,2,0,0,26,15,16,FALSE
2,1,0,0,26,7,10,FALSE
5,1,0,0,26,0,28,FALSE
4,1,0,0,26,0,35,FALSE
7,1,0,0,26,16,19,FALSE
2,2,0,0,26,0,9,FALSE
2,2,0,0,26,0,11,FALSE
1,0,0,0,26,19,25,FALSE
