@relation Keymind-BB

@attribute ﻿NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,2,0,0,43,0,11,FALSE
1,0,0,0,42,19,25,FALSE
9,2,0,0,42,213,24,TRUE
15,9,0,0,42,0,8,TRUE
3,3,0,0,42,42,9,FALSE
16,0,0,0,42,31,37,FALSE
6,0,0,0,42,0,96,FALSE
2,1,0,0,42,0,36,FALSE
1,0,0,0,41,0,141,FALSE
1,0,0,0,41,0,51,FALSE
2,0,0,0,41,0,36,FALSE
2,0,0,0,41,0,119,FALSE
5,2,0,0,41,0,20,FALSE
1,0,0,0,41,25,119,FALSE
3,0,0,0,41,0,40,FALSE
1,0,0,0,41,65,140,FALSE
1,0,0,0,41,29,63,FALSE
4,2,0,0,41,0,11,FALSE
3,0,0,0,41,0,45,FALSE
1,1,0,0,41,63,72,FALSE
1,1,0,0,41,76,143,FALSE
11,0,0,0,40,12,9,FALSE
9,0,0,0,40,0,13,FALSE
2,1,0,0,40,0,4,FALSE
1,0,0,0,39,41,16,FALSE
3,2,0,0,39,0,50,FALSE
2,1,0,0,39,70,16,FALSE
1,1,0,0,39,125,36,FALSE
3,0,0,0,39,47,9,FALSE
5,5,0,0,39,10,30,TRUE
2,1,0,0,39,61,9,TRUE
3,2,0,0,39,0,24,FALSE
3,2,34,34,39,69,9,TRUE
2,1,0,0,38,24,15,FALSE
1,1,0,0,31,38,9,FALSE
1,0,17,17,2,0,50,TRUE
0,0,0,0,-1,0,0,FALSE
0,0,0,0,-1,0,0,FALSE
0,0,0,0,-1,0,0,FALSE
0,0,0,0,-1,0,0,FALSE
0,0,0,0,-2,17,29,FALSE
0,0,0,0,-2,15,27,FALSE
0,0,0,0,-2,0,16,FALSE
0,0,0,0,-2,0,14,FALSE
0,0,0,0,-2,0,15,FALSE
0,0,0,0,-2,15,20,FALSE
0,0,0,0,-2,15,26,FALSE
0,0,0,0,-2,0,16,FALSE
0,0,0,0,-2,0,11,FALSE
0,0,0,0,-2,0,20,FALSE
0,0,0,0,-2,18,27,FALSE
0,0,0,0,-2,2,23,FALSE
0,0,0,0,-2,1,11,FALSE
0,0,0,0,-2,0,67,FALSE
0,0,0,0,-2,0,9,FALSE
0,0,0,0,-2,0,9,FALSE
0,0,0,0,-2,0,134,FALSE
0,0,0,0,-2,0,57,FALSE
0,0,0,0,-2,0,96,FALSE
0,0,0,0,-2,0,11,FALSE
0,0,0,0,-2,0,57,FALSE
0,0,0,0,-2,16,25,FALSE
0,0,0,0,-2,0,95,FALSE
0,0,0,0,-2,0,134,FALSE
