NR	NREF	NFIX	NAUTH	LINES_SUM	LINES_MAX	LINES_AVG	CHURN_SUM	CHURN_MAX	CHURN_AVG	CHGSET_SUM	CHGSET_MAX	CHGSET_AVG	AGE	AGE_WEIGHTED	Impl	LOC.A	LOC.M	LOC.D	Size	Violations.Injected	Violations	Size.Next	Faultiness
2	0	2	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	11	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	42	22	0	0	0	0	0	0	19	25	FALSE
9	0	2	1	0	0	0	0	0	0	1	1	1	42	22	0	0	0	0	0	0	213	24	TRUE
15	0	9	1	0	0	0	0	0	0	1	1	1	42	22	0	0	0	0	0	0	0	8	TRUE
3	0	3	1	0	0	0	0	0	0	1	1	1	42	0	0	0	0	0	0	9	42	9	FALSE
16	0	0	0	0	0	0	0	0	0	0	0	0	42	21	0	0	0	0	0	0	31	37	FALSE
6	0	0	0	0	0	0	0	0	0	0	0	0	42	21	0	0	0	0	0	0	0	96	FALSE
2	0	1	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	36	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	141	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	51	FALSE
2	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	36	FALSE
2	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	119	FALSE
5	0	2	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	20	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	25	119	FALSE
3	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	40	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	65	140	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	29	63	FALSE
4	0	2	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	11	FALSE
3	0	0	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	0	0	0	0	45	FALSE
1	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	63	72	FALSE
1	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	76	143	FALSE
11	0	0	0	0	0	0	0	0	0	0	0	0	40	19	0	0	0	0	0	0	12	9	FALSE
9	0	0	0	0	0	0	0	0	0	0	0	0	40	19	0	0	0	0	0	0	0	13	FALSE
2	0	1	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	4	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	39	19	0	0	0	0	0	0	41	16	FALSE
3	0	2	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	50	FALSE
2	0	1	0	0	0	0	0	0	0	0	0	0	39	19	0	0	0	0	0	0	70	16	FALSE
1	0	1	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	125	36	FALSE
3	0	0	0	0	0	0	0	0	0	0	0	0	39	19	0	0	0	0	0	0	47	9	FALSE
5	0	5	1	0	0	0	0	0	0	2	2	2	39	0	0	0	0	0	0	1	10	30	TRUE
2	0	1	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	61	9	TRUE
3	0	2	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	24	FALSE
3	0	2	1	34	34	34	34	34	34	6	6	6	39	0	1	34	0	0	53	5	69	9	TRUE
2	0	1	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	24	15	FALSE
1	0	1	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	38	9	FALSE
1	0	0	1	19	19	19	17	17	17	6	6	6	2	0	1	18	1	1	35	0	0	50	TRUE
0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	17	29	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	15	27	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	16	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	14	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	15	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	15	20	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	15	26	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	16	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	20	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	18	27	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	2	23	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	1	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	67	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	134	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	57	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	96	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	57	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	16	25	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	95	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	134	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	129	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	250	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	466	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	248	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	466	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	466	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	152	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	2680	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	251	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	466	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	239	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	248	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	128	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	17	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	26	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	40	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	30	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	102	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	58	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-24	0	0	0	0	0	0	0	12	22	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-24	0	0	0	0	0	0	0	2	12	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-24	0	0	0	0	0	0	0	19	12	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-24	0	0	0	0	0	0	0	0	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-24	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-24	0	0	0	0	0	0	0	3	43	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	4	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	3	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	100	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	47	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	145	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	89	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	53	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	143	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	21	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	115	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	6	9	FALSE
4	0	1	1	82	82	82	80	80	80	8	8	8	64	25	1	81	1	1	98	4	47	9	FALSE
4	0	4	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	5	35	TRUE
34	0	21	1	0	0	0	0	0	0	1	1	1	64	25	0	0	0	0	0	0	88	232	TRUE
6	0	3	1	20	20	20	20	20	20	14	14	14	64	25	1	20	8	0	90	0	59	30	TRUE
16	0	10	0	0	0	0	0	0	0	0	0	0	64	25	0	0	0	0	0	0	0	9	FALSE
17	0	5	0	0	0	0	0	0	0	0	0	0	63	24	0	0	0	0	0	0	0	11	FALSE
6	0	1	0	0	0	0	0	0	0	0	0	0	63	24	0	0	0	0	0	0	0	11	FALSE
4	0	1	0	0	0	0	0	0	0	0	0	0	62	23	0	0	0	0	0	0	0	16	FALSE
6	0	2	0	0	0	0	0	0	0	0	0	0	62	23	0	0	0	0	0	0	95	32	TRUE
14	0	4	0	0	0	0	0	0	0	0	0	0	62	23	0	0	0	0	0	0	0	26	TRUE
12	0	4	0	0	0	0	0	0	0	0	0	0	62	23	0	0	0	0	0	0	64	144	TRUE
10	0	5	1	0	0	0	0	0	0	6	5	3	62	34	0	0	0	0	0	0	47	16	FALSE
9	0	3	0	0	0	0	0	0	0	0	0	0	62	23	0	0	0	0	0	0	0	20	TRUE
2	0	1	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	33	12	TRUE
1	0	0	0	0	0	0	0	0	0	0	0	0	61	22	0	0	0	0	0	0	17	10	TRUE
2	0	1	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	12	FALSE
3	0	1	0	0	0	0	0	0	0	0	0	0	61	22	0	0	0	0	0	0	0	10	FALSE
6	0	2	0	0	0	0	0	0	0	0	0	0	61	22	0	0	0	0	0	0	15	16	FALSE
2	0	1	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	7	10	FALSE
10	0	3	1	0	0	0	0	0	0	3	3	3	61	22	0	0	0	0	0	0	213	24	TRUE
16	0	10	1	0	0	0	0	0	0	3	3	3	61	22	0	0	0	0	0	0	0	8	TRUE
4	0	4	1	0	0	0	0	0	0	5	5	5	60	0	0	0	0	0	0	2	44	9	FALSE
5	0	2	0	0	0	0	0	0	0	0	0	0	60	21	0	0	0	0	0	0	0	20	FALSE
4	0	2	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	11	FALSE
11	0	0	0	0	0	0	0	0	0	0	0	0	58	19	0	0	0	0	0	0	12	9	FALSE
2	0	1	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	4	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	58	19	0	0	0	0	0	0	41	16	FALSE
3	0	1	1	0	0	0	0	0	0	7	7	7	58	19	1	0	2	0	16	0	70	47	FALSE
3	0	0	0	0	0	0	0	0	0	0	0	0	58	19	0	0	0	0	0	0	47	9	FALSE
2	0	1	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	61	9	TRUE
3	0	2	0	0	0	0	0	0	0	0	0	0	57	39	0	0	0	0	0	0	69	9	TRUE
1	0	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	38	9	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	50	TRUE
4	0	0	1	8089	5093	2021	6659	3675	1665	26	13	6	16	0	4	7374	1126	715	2680	0	0	469	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	12	22	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	2	12	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	19	12	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	0	0	3	43	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	4	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	3	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	100	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	47	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	145	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	89	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	53	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	143	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	21	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	115	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	6	9	FALSE
5	0	2	1	0	0	0	0	0	0	2	2	2	75	58	0	0	0	0	0	0	47	9	FALSE
4	0	4	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	5	35	TRUE
36	0	23	1	0	0	0	0	0	0	4	1	1	75	25	0	0	0	0	0	17	105	232	TRUE
14	0	4	0	0	0	0	0	0	0	0	0	0	73	23	0	0	0	0	0	0	0	26	TRUE
12	0	4	0	0	0	0	0	0	0	0	0	0	73	23	0	0	0	0	0	0	64	144	TRUE
9	0	3	0	0	0	0	0	0	0	0	0	0	73	23	0	0	0	0	0	0	0	20	TRUE
6	0	4	1	0	0	0	0	0	0	8	4	2	68	39	1	0	1	0	9	3	72	10	FALSE
