@relation 'Keymind - BA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z24.05063291-no-replacement'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
0,0,0,0,-23,18,27,FALSE
7,4,0,0,44,110,54,FALSE
2,1,0,0,26,7,10,FALSE
0,0,0,0,-19,0,57,FALSE
1,1,0,0,19,61,9,FALSE
0,0,0,0,-23,0,2680,FALSE
0,0,0,0,-23,0,17,FALSE
0,0,0,0,-47,4,9,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-19,0,96,FALSE
6,1,0,0,44,0,11,FALSE
0,0,0,0,-23,0,96,FALSE
7,1,0,0,26,16,19,FALSE
0,0,0,0,-43,0,89,FALSE
0,0,0,0,-19,0,152,FALSE
0,0,0,0,-23,2,23,FALSE
0,0,0,0,-45,12,22,FALSE
16,10,-30,-5,25,0,9,FALSE
9,3,0,0,27,0,20,TRUE
14,4,0,0,27,0,26,TRUE
5,1,5,1,23,39,29,TRUE
9,5,0,0,28,70,15,TRUE
9,5,31,8,24,70,15,TRUE
1,0,37,37,22,17,10,TRUE
4,4,0,0,45,5,35,TRUE
1,0,0,0,43,17,10,TRUE
14,4,170,17,23,0,26,TRUE
12,4,0,0,44,64,144,TRUE
14,7,-176,-25,24,0,11,TRUE
30,18,450,37,25,86,35,TRUE
30,18,0,0,29,86,35,TRUE
6,2,0,0,44,95,32,TRUE
10,5,92,18,22,0,12,TRUE
12,4,0,0,27,64,144,TRUE
4,4,0,0,23,9,30,TRUE
9,8,0,0,22,0,9,TRUE
