@relation 'Keymind - BA-weka.filters.supervised.instance.Resample-B0.0-S1-Z90.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z23.23943662-no-replacement'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
7,1,0,0,26,16,19,FALSE
16,0,22,1,21,31,37,FALSE
0,0,0,0,-45,2,12,FALSE
0,0,0,0,-19,0,30,FALSE
0,0,0,0,-43,0,21,FALSE
0,0,0,0,-23,0,57,FALSE
0,0,0,0,-23,0,16,FALSE
0,0,0,0,-19,0,9,FALSE
0,0,0,0,-24,0,58,FALSE
3,1,0,0,26,0,10,FALSE
1,0,0,0,25,25,119,FALSE
0,0,0,0,-19,0,15,FALSE
16,10,0,0,45,0,9,FALSE
2,2,0,0,18,64,53,FALSE
0,0,0,0,-47,0,100,FALSE
0,0,0,0,-19,18,27,FALSE
0,0,0,0,-19,0,128,FALSE
0,0,0,0,-23,0,248,FALSE
0,0,0,0,-17,0,0,FALSE
0,0,0,0,-19,0,96,FALSE
0,0,0,0,-23,0,26,FALSE
0,0,0,0,-23,0,16,FALSE
1,0,0,0,26,19,25,FALSE
0,0,0,0,-23,0,11,FALSE
9,0,0,0,23,0,13,FALSE
0,0,0,0,-45,12,22,FALSE
0,0,0,0,-19,0,95,FALSE
0,0,0,0,-41,19,12,FALSE
0,0,0,0,-19,0,11,FALSE
0,0,0,0,-43,3,9,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-45,3,43,FALSE
4,2,9,4,22,0,26,FALSE
9,3,0,0,27,0,20,TRUE
4,4,0,0,45,5,35,TRUE
14,4,0,0,27,0,26,TRUE
2,1,0,0,27,33,12,TRUE
14,7,0,0,28,0,11,TRUE
4,4,0,0,23,9,30,TRUE
4,4,0,0,29,5,35,TRUE
5,1,5,1,23,39,29,TRUE
1,0,0,0,43,17,10,TRUE
8,1,2,2,26,213,24,TRUE
30,18,450,37,25,86,35,TRUE
6,2,0,0,44,95,32,TRUE
9,5,31,8,24,70,15,TRUE
30,18,0,0,29,86,35,TRUE
14,4,170,17,23,0,26,TRUE
9,3,45,7,23,0,20,TRUE
9,5,0,0,28,70,15,TRUE
2,1,0,0,23,61,9,TRUE
9,3,0,0,44,0,20,TRUE
1,0,0,0,26,17,10,TRUE
4,4,0,0,25,5,35,TRUE
14,7,-176,-25,24,0,11,TRUE
14,4,0,0,44,0,26,TRUE
6,2,0,0,27,95,32,TRUE
12,4,0,0,27,64,144,TRUE
2,1,0,0,44,33,12,TRUE
10,5,92,18,22,0,12,TRUE
4,4,0,0,19,9,30,TRUE
33,20,2,2,45,88,232,TRUE
6,2,0,0,27,41,29,TRUE
5,3,0,0,17,0,28,TRUE
12,4,0,0,44,64,144,TRUE
6,2,12,3,23,95,32,TRUE
