@relation log4jA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
5,18,1,5,0.5,FALSE
4,12,0,4,0,FALSE
5,16,0,2,0,FALSE
9,37,4,7,0,FALSE
2,16,3,1,0,FALSE
10,37,2,7,0,FALSE
0,0,0,0,0,FALSE
5,9,2,5,1,FALSE
3,6,3,3,0,FALSE
1,1,1,1,0,FALSE
3,7,0,3,1,FALSE
5,15,0,1,0,FALSE
3,15,1,2,0.333333,FALSE
4,8,2,4,1,FALSE
8,22,3,8,1,FALSE
6,25,3,2,0,FALSE
19,31,9,18,0.875,FALSE
13,40,4,2,0,TRUE
4,8,4,4,0,TRUE
6,21,2,5,0.2,TRUE
7,30,6,2,0,TRUE
6,9,2,6,0,TRUE
1,1,0,1,0,TRUE
20,46,8,15,0.666667,TRUE
2,7,7,2,0,TRUE
8,22,3,4,1,TRUE
9,23,3,9,1,TRUE
13,42,8,11,0.5,TRUE
49,96,12,42,0.473684,TRUE
