@relation log4jA-weka.filters.supervised.instance.Resample-B1.0-S1-Z119.064

@attribute wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {FALSE,TRUE}

@data
2,20,3,2,0,FALSE
9,19,2,7,0,FALSE
19,69,8,13,0.105263,FALSE
7,32,4,2,0,FALSE
5,18,1,5,0.5,FALSE
1,1,1,1,0,FALSE
2,4,1,1,0,FALSE
1,1,1,1,0,FALSE
5,16,0,2,0,FALSE
2,3,0,2,0,FALSE
7,32,4,2,0,FALSE
10,42,6,6,1,FALSE
6,44,7,4,0,FALSE
9,37,4,7,0,FALSE
6,32,5,2,0,FALSE
2,6,4,1,0,FALSE
4,10,0,3,0,FALSE
3,17,5,1,0,FALSE
7,22,6,3,0,FALSE
8,10,0,8,0,FALSE
6,8,3,6,0,FALSE
5,9,2,5,1,FALSE
4,15,1,4,0,FALSE
4,11,2,2,0,FALSE
3,14,0,2,0,FALSE
5,11,2,4,0,FALSE
4,8,2,4,1,FALSE
6,10,2,2,0,FALSE
9,37,4,7,0,FALSE
4,15,1,4,0,FALSE
6,44,7,4,0,FALSE
7,30,6,2,0,FALSE
13,40,4,2,0,FALSE
7,32,4,2,0,FALSE
2,4,3,1,0,FALSE
9,19,2,7,0,FALSE
8,22,3,8,1,FALSE
8,42,7,2,0,FALSE
5,14,1,2,0,FALSE
7,22,6,3,0,FALSE
9,34,3,2,0,FALSE
6,13,3,6,0,FALSE
9,37,4,7,0,FALSE
6,13,3,6,0,FALSE
4,27,7,2,0,FALSE
4,12,0,4,0,FALSE
5,14,0,2,0,FALSE
4,13,0,2,0,FALSE
0,0,0,0,0,FALSE
2,11,3,1,0,FALSE
0,0,0,0,0,FALSE
8,14,1,8,0,FALSE
3,15,1,2,0.333333,FALSE
2,4,3,1,0,FALSE
8,10,0,8,0,FALSE
4,27,7,2,0,FALSE
4,5,0,3,0,FALSE
2,5,4,1,0,FALSE
5,31,7,2,0,FALSE
2,4,3,1,0,FALSE
8,10,0,8,0,FALSE
5,15,0,1,0,FALSE
7,30,6,2,0,FALSE
2,16,2,2,0,FALSE
1,1,1,1,0,FALSE
1,1,0,1,0,FALSE
8,14,1,8,0,FALSE
1,1,1,1,0,FALSE
4,20,3,2,0,FALSE
2,15,3,2,0,FALSE
6,10,2,2,0,FALSE
2,5,1,2,0,FALSE
19,31,9,18,0.875,FALSE
5,16,0,2,0,FALSE
4,9,1,2,0.25,FALSE
2,16,3,1,0,FALSE
2,16,2,2,0,FALSE
6,13,3,6,0,FALSE
5,18,3,3,0,FALSE
7,22,6,3,0,FALSE
3,14,0,2,0,FALSE
5,7,0,3,1,FALSE
5,31,7,2,0,FALSE
8,25,5,8,0.571429,FALSE
7,21,2,2,0,FALSE
2,22,2,2,0,FALSE
7,32,2,1,0,FALSE
4,12,2,2,0,FALSE
5,11,2,4,0,FALSE
8,31,6,2,0,FALSE
7,30,6,2,0,FALSE
5,18,3,3,0,FALSE
2,20,3,2,0,FALSE
4,8,2,4,1,FALSE
7,26,2,2,0,FALSE
2,16,3,1,0,FALSE
2,22,2,2,0,FALSE
5,16,0,2,0,FALSE
4,9,1,2,0,FALSE
19,69,8,13,0.105263,FALSE
10,19,1,9,0.714286,FALSE
7,24,2,2,0,FALSE
4,10,2,4,0,FALSE
6,15,1,5,1,FALSE
4,10,2,3,0,FALSE
8,10,0,8,0,FALSE
2,2,1,2,0,FALSE
9,34,3,2,0,FALSE
7,24,2,2,0,FALSE
