@relation log4jB

@attribute ﻿wmc numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {TRUE,FALSE}

@data
7,21,2,2,0,TRUE
7,32,4,2,0,TRUE
8,13,3,8,0,TRUE
7,15,3,4,0.5,TRUE
28,105,10,4,1,TRUE
2,5,1,2,0,TRUE
2,6,4,1,0,FALSE
12,17,1,10,0,TRUE
6,6,4,6,0,TRUE
4,10,3,4,0,TRUE
3,35,11,0,0.5,TRUE
20,60,8,4,0.230769,TRUE
4,14,5,3,1,TRUE
15,60,5,12,0,TRUE
3,9,1,3,0.666667,TRUE
6,24,5,6,1,TRUE
11,32,5,8,0,TRUE
6,52,9,1,0.5,TRUE
4,15,2,2,0,TRUE
15,15,6,15,0,TRUE
10,37,2,7,0,TRUE
16,28,0,13,0.8,TRUE
15,43,9,15,0,TRUE
4,15,1,4,0,TRUE
55,90,10,48,0.7,TRUE
20,30,0,16,1,TRUE
7,32,2,1,0,TRUE
9,24,2,5,1,TRUE
16,35,7,15,0.071429,TRUE
4,11,3,4,0,TRUE
2,11,1,2,0,TRUE
3,14,0,2,0,FALSE
1,1,1,1,0,TRUE
8,11,5,8,0,TRUE
10,23,4,10,1,TRUE
4,12,2,2,0,TRUE
4,10,7,3,0,TRUE
4,8,2,4,1,TRUE
3,11,1,3,0,TRUE
9,34,3,2,0,TRUE
1,1,1,1,0,TRUE
8,42,15,2,0.461538,TRUE
10,49,6,6,0.5,TRUE
12,31,2,11,0,TRUE
3,10,3,3,0,TRUE
8,11,2,7,0,TRUE
2,4,4,1,0,FALSE
29,115,19,11,0,TRUE
4,5,0,3,0,TRUE
5,32,3,1,0.833333,TRUE
20,37,3,14,1,FALSE
13,42,2,10,0,TRUE
4,11,1,1,0.333333,TRUE
8,16,4,7,0.75,TRUE
9,20,1,8,0.25,TRUE
25,69,15,22,0.222222,TRUE
25,73,10,20,0.9,TRUE
3,4,2,3,0,TRUE
1,3,1,0,0,TRUE
18,79,18,9,0.1875,TRUE
7,26,2,2,0,TRUE
4,5,2,4,0,TRUE
7,7,1,7,0,TRUE
12,30,5,11,0.8,TRUE
2,33,3,1,0,FALSE
12,66,10,6,0.666667,TRUE
8,23,1,8,1,TRUE
4,15,3,2,0,TRUE
2,10,3,2,0,TRUE
6,32,5,2,0,TRUE
3,5,1,3,0,TRUE
10,19,2,4,0,TRUE
5,6,0,5,0,TRUE
8,18,4,6,0.333333,TRUE
21,55,4,13,1,TRUE
5,14,0,5,0,TRUE
4,27,7,2,0,TRUE
2,16,2,2,0,TRUE
8,10,0,8,0,TRUE
3,7,0,3,1,TRUE
5,16,1,4,1,TRUE
7,28,0,1,1,TRUE
5,36,1,3,0.75,TRUE
9,18,1,8,1,TRUE
5,13,1,2,0,TRUE
1,2,0,1,0,TRUE
6,10,5,6,0,TRUE
4,5,0,4,1,TRUE
26,72,5,15,0.833333,TRUE
14,63,8,7,0.777778,TRUE
1,1,0,1,0,TRUE
16,49,5,14,1,TRUE
2,2,2,2,0,TRUE
21,45,6,17,1,TRUE
1,2,0,1,0,TRUE
3,6,0,3,1,TRUE
12,36,10,10,1,TRUE
18,36,1,16,0.421053,TRUE
8,20,2,4,0,TRUE
9,36,3,7,0,FALSE
4,11,0,2,0,TRUE
5,17,1,2,0.285714,TRUE
17,74,10,12,0.727273,TRUE
2,6,4,1,0,FALSE
6,46,4,1,0.8,TRUE
2,9,0,2,1,TRUE
8,40,5,2,0,TRUE
2,16,3,1,0,FALSE
1,2,0,0,0,TRUE
1,1,1,1,0,TRUE
4,20,3,2,0,TRUE
6,25,2,3,0.6,TRUE
6,21,2,5,0.2,TRUE
10,19,1,9,0.714286,TRUE
8,30,3,2,0,FALSE
7,28,6,4,1,TRUE
6,25,2,4,0.333333,TRUE
10,42,7,6,1,TRUE
4,10,0,3,0,TRUE
10,54,8,5,0.666667,TRUE
7,16,4,6,1,TRUE
2,7,7,2,0,TRUE
17,36,6,14,1,TRUE
2,4,2,1,0,TRUE
13,35,6,11,0.375,TRUE
105,321,51,22,0.965517,TRUE
1,10,1,1,0,TRUE
12,36,11,11,0.333333,TRUE
7,29,4,2,0,TRUE
7,24,2,2,0,TRUE
15,43,11,10,1,TRUE
12,12,4,12,0,TRUE
2,2,2,2,0,TRUE
3,17,5,1,0,TRUE
3,4,2,3,0,TRUE
2,3,0,2,0,TRUE
3,10,1,1,0,TRUE
20,43,6,16,0.181818,TRUE
18,64,12,3,1,TRUE
7,25,3,2,0,TRUE
6,30,5,2,0,TRUE
6,25,3,2,0,FALSE
13,35,5,11,0,TRUE
5,7,0,3,1,TRUE
8,48,10,2,0,TRUE
10,38,6,6,0,TRUE
11,27,6,11,0.555556,TRUE
8,42,7,2,0,TRUE
7,19,5,4,0.333333,FALSE
4,17,1,4,0,TRUE
