@relation luceneB

@attribute ﻿wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute dam numeric
@attribute Faultiness {TRUE,FALSE}

@data
20,46,102,8,16,1,TRUE
4,17,6,0,4,0,TRUE
2,4,1,2,0,0,TRUE
6,18,7,2,4,0.5,TRUE
13,22,38,3,10,0,FALSE
10,30,0,6,6,1,FALSE
6,6,15,0,6,0,TRUE
7,8,21,4,0,0,FALSE
10,12,17,1,8,0.75,FALSE
4,10,4,0,0,0,FALSE
38,97,553,10,28,0.411765,TRUE
17,28,0,6,17,0,TRUE
6,16,0,2,0,1,TRUE
5,23,6,10,2,0,TRUE
2,2,1,0,2,0,FALSE
2,4,1,1,1,0,FALSE
6,14,15,5,5,0,TRUE
9,21,24,12,5,0,FALSE
12,43,0,7,11,1,TRUE
5,6,10,2,0,0,FALSE
2,7,1,0,2,0,TRUE
4,12,4,7,3,1,TRUE
25,35,196,2,10,0.707317,FALSE
17,53,38,6,9,0.857143,TRUE
11,25,0,1,11,0,FALSE
8,25,22,0,6,1,TRUE
2,3,1,1,2,0,TRUE
6,19,15,0,4,0,TRUE
3,4,3,1,0,0,FALSE
23,128,39,30,0,0.884615,TRUE
10,23,0,2,8,0.5,FALSE
76,185,1998,46,0,0.409836,TRUE
8,21,8,4,7,1,TRUE
2,7,1,1,2,0,FALSE
4,6,0,1,2,1,TRUE
3,8,3,0,1,0,FALSE
1,2,0,0,0,0,FALSE
6,18,9,1,5,1,TRUE
8,19,2,3,6,1,FALSE
6,18,5,0,1,0.5,FALSE
21,54,98,6,9,1,TRUE
24,24,276,1,24,0,TRUE
2,5,1,0,0,0,TRUE
7,27,1,8,6,1,TRUE
7,8,19,0,7,0,TRUE
3,7,3,4,3,0,FALSE
6,12,3,3,6,1,FALSE
6,33,3,16,6,1,TRUE
9,21,2,4,7,1,TRUE
7,10,21,0,7,0,FALSE
7,32,1,2,6,1,FALSE
20,77,64,10,5,0.818182,TRUE
15,58,37,17,4,0,TRUE
19,45,79,12,6,1,TRUE
14,24,69,13,12,0.571429,FALSE
2,22,1,6,2,0,FALSE
7,9,21,5,1,0,TRUE
6,8,15,8,1,0,FALSE
3,7,3,2,3,0,FALSE
2,3,1,1,2,0,TRUE
1,2,0,1,0,0,FALSE
2,4,0,2,2,1,FALSE
13,21,64,0,11,1,TRUE
5,5,10,0,5,0,TRUE
5,14,0,4,0,0.333333,TRUE
7,10,5,2,5,1,TRUE
6,12,0,1,5,0.2,FALSE
3,25,3,0,2,0,FALSE
8,15,4,1,6,0.5,FALSE
16,40,70,7,16,1,FALSE
13,52,0,14,5,0.333333,FALSE
4,6,0,0,2,0.125,TRUE
6,20,0,9,6,1,TRUE
8,18,0,8,7,0.5,TRUE
6,15,11,3,6,1,FALSE
6,15,0,3,6,1,TRUE
23,66,99,9,2,0.470588,FALSE
4,18,0,0,3,0.5,TRUE
13,22,32,1,10,0.8,FALSE
5,15,2,3,3,0.5,FALSE
25,63,208,7,11,0.769231,TRUE
2,5,0,2,1,1,FALSE
3,8,0,4,3,1,TRUE
15,16,99,0,14,0,TRUE
13,96,60,15,8,0.5,TRUE
11,17,19,1,0,0.5,FALSE
5,6,10,1,4,0,FALSE
1,2,0,0,1,0,FALSE
14,22,61,1,13,0,TRUE
5,10,2,12,5,0,TRUE
166,392,6747,34,88,0.737705,TRUE
11,27,0,5,11,1,TRUE
3,8,3,4,3,0,TRUE
14,16,91,0,14,0,TRUE
10,22,0,3,1,1,FALSE
16,41,2,9,15,0.333333,TRUE
9,46,0,16,4,0,TRUE
8,9,28,5,0,0,FALSE
6,8,15,7,5,0,TRUE
9,14,8,2,6,1,FALSE
37,95,0,20,21,1,TRUE
81,168,2716,33,44,0.571429,TRUE
11,40,17,19,2,0,TRUE
64,183,1464,33,28,0.580645,TRUE
3,8,3,4,3,0,TRUE
20,62,172,21,5,0.75,TRUE
5,25,0,3,0,0,FALSE
8,11,8,4,8,1,TRUE
2,3,1,0,2,0,TRUE
13,25,46,11,3,0,FALSE
7,9,21,1,6,0,FALSE
14,32,0,7,12,1,TRUE
4,15,4,4,2,0.5,FALSE
8,19,8,6,7,1,TRUE
13,31,0,14,13,1,TRUE
28,57,0,12,23,1,TRUE
8,27,18,1,6,1,TRUE
3,11,3,3,2,0,TRUE
3,9,3,3,0,0,FALSE
3,37,0,16,2,0.333333,TRUE
14,22,0,1,14,1,FALSE
3,7,0,3,3,0,FALSE
5,7,10,8,3,0,FALSE
10,25,0,3,10,1,TRUE
5,6,10,5,4,0,TRUE
20,47,0,16,7,0.291667,FALSE
33,69,0,16,24,1,TRUE
1,2,0,0,1,0,FALSE
7,25,0,5,5,1,TRUE
13,48,0,9,13,1,TRUE
9,46,32,12,3,0.5,FALSE
4,10,0,2,0,1,FALSE
5,30,0,4,0,0,TRUE
35,51,253,4,7,0.210526,TRUE
3,7,3,5,2,0,TRUE
7,20,9,7,6,0,TRUE
6,8,15,1,6,0,TRUE
8,15,8,2,7,0,FALSE
5,17,0,7,5,1,FALSE
6,42,0,11,2,0.571429,TRUE
9,31,0,9,7,1,TRUE
2,12,1,7,1,0,TRUE
7,21,9,6,6,0.333333,TRUE
25,77,170,17,0,0.846154,TRUE
13,14,8,0,9,1,TRUE
13,39,72,7,12,1,TRUE
5,18,4,3,4,1,TRUE
17,26,124,4,16,1,TRUE
6,28,0,8,6,1,TRUE
12,32,10,3,9,0.1875,TRUE
5,19,2,3,5,0.8,FALSE
7,21,9,6,6,0.333333,TRUE
7,21,0,6,5,0.666667,FALSE
4,10,0,2,4,0,FALSE
27,44,13,0,13,1,FALSE
4,4,6,1,4,0,FALSE
4,9,0,3,3,0.5,TRUE
7,17,19,2,5,0,TRUE
8,29,0,8,7,1,TRUE
9,38,0,7,9,1,TRUE
2,2,1,1,2,0,FALSE
7,21,0,6,5,0.333333,FALSE
7,16,0,3,6,1,TRUE
4,18,2,4,2,0.333333,FALSE
11,44,1,8,0,0.52381,TRUE
8,15,0,2,0,1,FALSE
16,53,0,21,14,1,TRUE
13,39,0,7,4,0.533333,FALSE
17,48,12,10,13,1,TRUE
7,27,7,0,4,0.5,TRUE
16,26,80,5,8,0.857143,TRUE
6,7,15,4,0,0,FALSE
4,7,0,5,3,1,FALSE
12,37,0,5,9,1,TRUE
1,1,0,0,0,0,FALSE
7,8,21,4,0,0,FALSE
13,64,72,24,2,0.2,TRUE
13,43,10,13,5,0,TRUE
4,5,0,2,3,0,TRUE
9,10,2,0,8,0.666667,TRUE
7,21,9,6,6,0.333333,TRUE
2,3,1,3,2,0,FALSE
6,13,0,5,4,1,TRUE
3,7,0,1,3,0.142857,FALSE
3,8,3,4,3,0,TRUE
29,97,114,10,24,0.8,TRUE
6,19,7,3,3,0.5,TRUE
