@relation poiA-weka.filters.supervised.instance.Resample-B1.0-S1-Z89.956332-no-replacement

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
11,22,43,9,1,120,0.2,0.522727,6,9.454545,TRUE
26,42,325,22,1.04,693,0,0.544872,0,25.461538,TRUE
7,8,21,7,2,21,0,0.357143,2,2,TRUE
20,36,138,20,0.84689,336,0.909091,0.225,2,15.25,TRUE
10,18,45,8,1.111111,87,0,0.525,6,7.6,TRUE
4,49,0,4,0,492,1,0.5625,0,121,TRUE
13,65,0,9,0.375,644,0,0.369231,5,48.384615,TRUE
15,34,87,12,0.871429,230,0.8,0.516667,5,14,TRUE
14,26,69,12,0.74359,188,0.666667,0.321429,6,12.214286,TRUE
17,33,4,15,0.7,252,0.8,0.376471,6,13.529412,TRUE
26,46,153,24,0.8,501,0.888889,0.346154,6,17.923077,TRUE
16,31,102,11,0.933333,9857,0.75,0.190476,0,614.5625,TRUE
12,22,54,10,0.818182,117,0.5,0.5,6,8.583333,TRUE
26,46,117,24,0.936364,505,0.363636,0.346154,6,17.576923,TRUE
30,43,183,27,0.864943,391,0.916667,0.287356,6,11.633333,TRUE
10,28,31,5,0.577778,414,0.8,0.206349,0,39.9,TRUE
93,244,0,79,0.925951,1441,0.4375,0.144928,0,14.322581,TRUE
5,7,4,5,0.5,29,1,0.6,0,4.6,TRUE
6,25,7,4,0.75,230,1,0.55,0,36.666667,TRUE
3,10,0,3,0.25,78,1,0.666667,0,24.333333,TRUE
11,21,43,9,0.85,116,0.5,0.418182,6,9.363636,TRUE
11,21,49,9,0.85,106,0.5,0.522727,6,8.454545,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
15,31,79,13,0.785714,251,0.666667,0.483333,6,15.533333,TRUE
