"X","version","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","Original.Release","Faultiness","Order"
1,"1.5",25,2,0,6,44,128,1,5,23,0.948863636,429,0.363636364,3,0.333333333,0.352,1,6,15.28,2,0.92,1,"poi-1.5",TRUE,"FIRST"
2,"1.5",20,2,0,4,36,138,1,4,20,0.846889952,336,0.909090909,7,0.28,0.225,1,2,15.25,1,0.9,6,"poi-1.5",TRUE,"FIRST"
3,"1.5",23,2,0,8,48,235,2,6,21,0.924242424,379,0.444444444,0,0.35483871,0.289855072,1,5,15.08695652,6,1.4783,1,"poi-1.5",TRUE,"FIRST"
4,"1.5",22,2,0,5,41,159,2,3,18,0.702380952,325,0.75,0,0.366666667,0.266233766,2,6,13.59090909,6,1.4545,3,"poi-1.5",TRUE,"FIRST"
5,"1.5",4,4,0,3,8,6,2,1,4,2,20,0,0,1,0.666666667,0,0,4,0,0,1,"poi-1.5",TRUE,"FIRST"
6,"1.5",7,1,0,6,20,9,2,4,7,0.833333333,173,1,5,0,0.571428571,0,0,22.85714286,2,1,1,"poi-1.5",TRUE,"FIRST"
7,"1.5",14,2,0,4,24,37,2,3,14,0.833333333,151,0.833333333,2,0.368421053,0.375,1,2,9.357142857,1,0.8571,0,"poi-1.5",FALSE,"FIRST"
8,"1.5",11,2,0,5,21,49,2,3,9,0.933333333,107,0.333333333,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,0,"poi-1.5",FALSE,"FIRST"
9,"1.5",11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947368,0.522727273,1,6,9.454545455,2,0.8182,1,"poi-1.5",TRUE,"FIRST"
10,"1.5",4,1,0,10,49,0,0,10,4,0,492,1,2,0,0.5625,0,0,121,8,2,2,"poi-1.5",TRUE,"FIRST"
11,"1.5",16,3,0,4,27,120,1,3,16,2,105,0,0,0.625,0.53125,0,0,5.5625,1,0.9375,2,"poi-1.5",TRUE,"FIRST"
12,"1.5",14,2,0,6,34,43,3,4,12,0.717948718,346,0.666666667,0,0.5,0.517857143,1,6,23.5,2,1.1429,1,"poi-1.5",TRUE,"FIRST"
13,"1.5",11,2,0,5,21,43,2,3,9,0.85,117,0.5,0,0.578947368,0.418181818,1,6,9.454545455,2,1,0,"poi-1.5",FALSE,"FIRST"
14,"1.5",5,2,0,1,6,10,0,1,5,1,18,1,0,0.7,0.6,1,2,2.4,1,0.6,3,"poi-1.5",TRUE,"FIRST"
15,"1.5",11,2,0,5,21,49,2,3,9,0.933333333,106,0.333333333,0,0.578947368,0.522727273,1,6,8.363636364,2,0.8182,0,"poi-1.5",FALSE,"FIRST"
16,"1.5",9,1,0,93,123,32,0,93,5,0.75,1079,0.5,0,0,0.253968254,0,0,118.6666667,89,11.1111,4,"poi-1.5",TRUE,"FIRST"
17,"1.5",12,1,0,8,25,24,6,2,8,0.863636364,319,1,0,0,0.214285714,0,0,25.25,3,1.25,0,"poi-1.5",FALSE,"FIRST"
18,"1.5",5,2,0,8,16,10,4,4,5,2,50,0,0,0.555555556,0.5,0,0,9,1,0.8,0,"poi-1.5",FALSE,"FIRST"
19,"1.5",23,2,0,6,39,39,1,5,21,0.772727273,382,0.875,4,0.35483871,0.356521739,1,6,15.26086957,2,0.913,1,"poi-1.5",TRUE,"FIRST"
20,"1.5",1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,0,"poi-1.5",FALSE,"FIRST"
21,"1.5",8,1,0,7,17,0,2,5,7,0.571428571,134,1,2,0,0.458333333,0,0,15.375,3,1.375,0,"poi-1.5",FALSE,"FIRST"
22,"1.5",9,2,0,2,12,24,1,2,9,0.9375,48,0.75,0,0.5,0.416666667,1,2,3.888888889,1,0.7778,3,"poi-1.5",TRUE,"FIRST"
23,"1.5",3,1,0,2,21,3,0,2,2,2,112,0,0,0,0.333333333,0,0,36.33333333,4,2.3333,0,"poi-1.5",FALSE,"FIRST"
24,"1.5",11,2,0,5,21,49,2,3,9,1,109,0.2,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,1,"poi-1.5",TRUE,"FIRST"
25,"1.5",17,2,0,6,33,4,1,5,15,0.7,252,0.8,3,0.44,0.376470588,1,6,13.52941176,2,0.8824,1,"poi-1.5",TRUE,"FIRST"
26,"1.5",4,1,0,6,4,6,6,0,4,2,4,0,0,0,1,0,0,0,1,1,0,"poi-1.5",FALSE,"FIRST"
27,"1.5",6,1,0,4,15,9,2,2,4,0.8,218,1,0,0,0.666666667,0,0,34.83333333,3,1.1667,4,"poi-1.5",TRUE,"FIRST"
28,"1.5",1,1,0,7,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,0,"poi-1.5",FALSE,"FIRST"
