@relation poiB

@attribute ﻿wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
23,36,221,21,0.727273,350,0.75,0.304348,6,14.043478,TRUE
14,39,1,12,0.692308,243,0.5,0.4,6,16.214286,TRUE
5,8,10,4,1.25,26,0,0.5,2,4,TRUE
3,9,0,3,0,86,0,0.5,0,26.666667,FALSE
13,29,34,13,0.854167,179,0.5,0.323077,5,12.461538,FALSE
13,23,66,11,0.805556,140,0.666667,0.5,6,9.538462,TRUE
9,13,36,9,1.125,62,0,0.333333,0,5.666667,TRUE
12,56,60,12,1,415,0.25,0.283333,0,33.25,TRUE
7,20,9,7,0.833333,173,1,0.571429,0,22.857143,TRUE
10,14,45,10,1.111111,63,0.333333,0.32,0,5,TRUE
11,21,49,9,0.933333,107,0.333333,0.522727,6,8.454545,TRUE
62,108,1491,56,0.957966,1287,0.487179,0.203629,6,19.129032,TRUE
4,4,6,4,2,4,0,0.75,0,0,FALSE
19,35,109,17,0.81746,265,0.857143,0.368421,6,12.578947,TRUE
4,49,0,4,0,492,1,0.5625,0,121,TRUE
9,17,30,6,0.75,55,1,0.407407,1,5,FALSE
1,2,0,1,2,5,0,1,0,4,FALSE
2,8,1,2,2,28,0,0.5,0,13,TRUE
7,10,9,7,0.944444,69,0.666667,0.428571,2,8.428571,TRUE
15,32,43,15,0.833333,253,0.666667,0.333333,5,15.466667,FALSE
7,21,9,7,0.833333,207,1,0.571429,0,27.714286,TRUE
5,13,10,4,1.25,40,0,0.4,1,6.8,FALSE
5,7,6,5,2,46,0,0.7,1,8.2,TRUE
11,21,35,9,0.8,107,0.5,0.257576,4,8.545455,TRUE
9,13,36,9,1.125,59,0,0.259259,0,5.333333,FALSE
16,55,0,14,0.5,453,1,0.198864,0,27.0625,TRUE
10,18,27,10,0.833333,104,0.75,0.28,2,9,TRUE
7,16,9,3,1.164242,1460,0.003636,0.190476,0,168.285714,TRUE
1,2,0,0,2,6,0,1,0,3,FALSE
9,32,0,9,0.125,172,0,0.351852,1,18,TRUE
6,9,15,5,1.2,31,0,0.333333,0,4,FALSE
26,42,325,22,1.04,693,0,0.544872,0,25.461538,TRUE
5,6,0,5,2,35,0,0.466667,0,6,TRUE
6,56,15,6,1.2,923,1,0.666667,0,152.5,FALSE
3,5,3,2,2,43,0,0.5,0,13.333333,TRUE
3,10,0,3,0.25,83,1,0.666667,0,26,TRUE
12,34,32,11,1.034091,323,0.125,0.35,5,24.583333,TRUE
16,52,82,14,0.266667,416,1,0.1875,7,24.8125,FALSE
11,20,35,9,0.8,112,0.5,0.257576,4,9,TRUE
4,11,4,2,0.833333,108,1,0.4,1,25.5,TRUE
26,54,111,25,0.552,595,0.8,0.288462,1,21.5,TRUE
6,9,15,5,1.2,31,0,0.333333,1,4,FALSE
8,16,22,8,0.428571,66,1,0.35,1,7.125,FALSE
4,7,6,4,1.333333,18,0,0.5,3,3.25,TRUE
8,15,26,7,0.857143,295,0.25,0.342857,1,35.375,TRUE
23,39,0,21,0.738636,332,0.875,0.253623,4,13.086957,TRUE
5,7,4,5,0.5,29,1,0.6,0,4.6,FALSE
4,17,0,3,0,116,1,0.5,0,27.75,FALSE
8,166,24,5,0.714286,1000,0.5,0.234375,0,123.75,TRUE
9,13,36,9,1.125,60,0.333333,0.259259,0,5.333333,FALSE
19,35,77,17,0.759259,304,0.833333,0.254386,4,14.684211,TRUE
5,16,10,5,2,50,0,0.5,0,9,FALSE
36,144,104,27,0.846429,1294,0.4375,0.124074,0,34.5,TRUE
5,24,2,4,0.666667,117,0,0.36,0,21.8,TRUE
8,17,0,7,0.571429,134,1,0.458333,0,15.375,TRUE
30,53,331,24,0.873563,773,0,0.391667,0,24.566667,TRUE
3,21,3,2,2,112,0,0.333333,0,36.333333,FALSE
14,42,91,12,1.076923,458,1,0.255102,0,31.642857,TRUE
25,44,108,23,0.939394,436,0.363636,0.253333,4,15.56,TRUE
22,34,199,20,0.714286,331,0.75,0.227273,4,13.863636,TRUE
4,6,6,3,1.333333,16,0,0.625,2,2.75,FALSE
13,29,34,13,0.854167,179,0.5,0.323077,5,12.461538,TRUE
9,13,36,9,1.125,62,0,0.259259,0,5.666667,TRUE
1,1,0,1,2,1,0,1,0,0,FALSE
12,22,44,10,0.757576,123,0.666667,0.316667,4,9,TRUE
11,21,35,9,0.8,107,0.5,0.257576,4,8.545455,TRUE
10,13,3,9,0.851852,83,0.333333,0.228571,2,7,FALSE
6,30,15,3,2,207,0,0.333333,0,33.5,FALSE
10,19,39,8,0.833333,91,0.5,0.32,4,7.9,TRUE
16,39,62,14,0.853333,285,0.4,0.223214,4,16.5,TRUE
7,8,21,7,1.166667,32,0.5,0.314286,2,3.285714,FALSE
3,9,1,2,0.5,37,1,0.5,0,11,TRUE
4,8,6,4,2,20,0,0.666667,0,4,FALSE
29,49,298,27,0.767857,476,0.833333,0.172414,4,15.206897,TRUE
17,33,32,15,0.8125,243,0.571429,0.254902,4,12.882353,TRUE
7,51,3,6,0.083333,282,1,0.303571,0,39,TRUE
11,20,35,9,0.8,113,0,0.257576,4,9.090909,TRUE
0,0,0,0,2,10,0,0,0,0,TRUE
7,17,0,6,0.888889,116,0.333333,0.357143,5,15.142857,FALSE
9,43,28,6,0.6875,416,1,0.333333,0,45,FALSE
7,26,0,5,0.083333,118,1,0.428571,0,15.571429,TRUE
