@relation poiA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z110.0436681

@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
12,24,46,10,0.818182,141,0.5,0.5,6,10.583333,TRUE
22,56,197,16,0.813853,378,0.545455,0.369048,0,15.681818,TRUE
11,21,43,9,0.85,117,0.5,0.418182,6,9.454545,TRUE
15,28,85,13,0.814286,209,0.8,0.322222,6,12.6,TRUE
7,8,21,7,1.166667,32,0.5,0.428571,2,3.285714,TRUE
24,41,0,22,0.717391,411,0.875,0.35,6,15.791667,TRUE
12,23,46,10,0.818182,122,0.5,0.4,6,9,TRUE
6,56,15,6,1.2,923,1,0.666667,0,152.5,TRUE
13,24,56,11,0.777778,141,0.666667,0.5,6,9.615385,TRUE
8,20,0,3,0.369048,441,1,0.416667,0,52.625,TRUE
17,33,40,15,0.830357,250,0.571429,0.376471,6,13.294118,TRUE
9,17,0,7,0.5,234,1,0.511111,0,24.555556,TRUE
34,60,187,34,0.747475,728,0.888889,0.198529,3,20.147059,TRUE
13,22,66,11,0.805556,140,0.666667,0.4,6,9.538462,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
96,117,3214,93,0.981195,1478,0.483146,0.313684,6,13.46875,TRUE
7,20,9,7,0.833333,173,1,0.571429,0,22.857143,TRUE
10,22,27,8,0.809524,222,1,0.5,0,20.5,TRUE
20,36,138,20,0.84689,336,0.909091,0.225,2,15.25,TRUE
6,45,5,6,0.55,247,0,0.375,0,39.5,TRUE
6,34,13,6,0.6,233,1,0.375,0,37.666667,TRUE
11,21,43,9,0.85,106,0.5,0.522727,6,8.454545,TRUE
4,11,6,4,2,61,0,0.6875,0,14.25,TRUE
23,39,91,21,0.795455,375,0.875,0.356522,6,14.956522,TRUE
17,38,104,15,0.883929,293,0,0.485294,6,15.823529,TRUE
21,53,176,16,0.725,353,0.75,0.3625,0,15.428571,TRUE
25,41,258,23,0.758333,389,0.8,0.257143,6,14.36,TRUE
4,8,6,4,2,20,0,0.666667,0,4,TRUE
25,39,106,25,0.753788,487,0.909091,0.18,0,18.04,TRUE
22,56,197,16,0.813853,378,0.545455,0.369048,0,15.681818,TRUE
30,66,297,4,0.659004,583,1,0.353448,0,18.133333,TRUE
7,30,21,5,2,350,0,0.306122,0,49,TRUE
8,29,28,8,2,166,0,0.458333,0,19.75,TRUE
11,22,43,9,0.85,117,0.5,0.522727,6,9.454545,TRUE
6,45,5,6,0.55,247,0,0.375,0,39.5,TRUE
25,44,128,23,0.948864,429,0.363636,0.352,6,15.28,TRUE
18,33,81,16,0.764706,308,0.8,0.305556,6,15.833333,TRUE
8,20,4,7,0.8,148,0.6,0.375,2,16.875,TRUE
54,183,89,45,0.878216,1831,0.727273,0.140162,0,32.703704,TRUE
30,66,297,4,0.659004,583,1,0.353448,0,18.133333,TRUE
14,34,41,12,0.711538,225,0,0.285714,5,14.785714,TRUE
16,28,72,14,0.933333,254,0.333333,0.46875,6,14.3125,TRUE
13,22,66,11,0.805556,140,0.666667,0.4,6,9.538462,TRUE
3,3,3,3,1.5,6,0,0.666667,0,0,TRUE
25,44,128,23,0.948864,429,0.363636,0.352,6,15.28,TRUE
14,34,65,12,0.794872,234,0.666667,0.4,6,15.5,TRUE
20,35,114,18,0.855263,359,0.625,0.45,6,16.55,TRUE
12,22,46,10,0.818182,128,0.5,0.4,6,9.5,TRUE
10,18,39,9,0.851852,78,0.333333,0.283333,2,6.5,TRUE
21,30,198,19,0.921429,234,0.857143,0.361905,4,9.809524,TRUE
7,18,1,5,0.809524,314,1,0.571429,2,42.857143,TRUE
35,53,535,30,0.941176,396,0.818182,0.225,5,10,TRUE
4,17,0,3,0,116,1,0.5,0,27.75,TRUE
40,60,90,38,0.838141,786,0.9375,0.275,6,18.25,TRUE
3,30,3,2,2,315,0,0.333333,0,104,TRUE
37,80,470,32,0.863426,866,0.833333,0.219595,6,22.081081,TRUE
7,8,21,7,1.166667,32,0.5,0.428571,2,3.285714,TRUE
13,25,66,11,0.777778,175,0.666667,0.333333,6,12.230769,TRUE
11,25,43,9,0.8,182,0,0.418182,6,15.363636,TRUE
16,31,102,11,0.933333,9849,0.75,0.190476,0,614.0625,TRUE
12,24,6,11,0.787879,156,0,0.375,0,11.5,TRUE
22,34,213,20,0.75,330,0.75,0.310606,6,13.818182,TRUE
13,25,66,11,0.777778,175,0.666667,0.333333,6,12.230769,TRUE
12,22,46,10,0.818182,128,0.5,0.4,6,9.5,TRUE
14,34,65,12,0.794872,234,0.666667,0.4,6,15.5,TRUE
54,140,651,7,0.766926,1806,0.705882,0.174004,0,32.12963,TRUE
12,37,66,10,1.090909,494,1,0.27381,0,40.083333,TRUE
23,40,0,21,0.838843,386,0.636364,0.297101,6,15.304348,TRUE
14,25,77,11,0.861538,212,0.8,0.517857,5,13.785714,TRUE
23,39,91,21,0.795455,375,0.875,0.356522,6,14.956522,TRUE
12,22,46,10,0.818182,128,0.5,0.4,6,9.5,TRUE
11,21,49,9,0.975,108,0.25,0.522727,6,8.454545,TRUE
12,22,54,10,0.818182,117,0.5,0.5,6,8.583333,TRUE
11,21,49,9,0.933333,106,0.333333,0.522727,6,8.363636,TRUE
25,40,258,23,0.758333,390,0.8,0.3,6,14.4,TRUE
13,24,56,11,0.777778,141,0.666667,0.5,6,9.615385,TRUE
7,22,0,5,0.166667,88,1,0.428571,0,11.285714,TRUE
12,37,66,10,1.090909,494,1,0.27381,0,40.083333,TRUE
7,8,21,7,1.166667,32,0.5,0.428571,2,3.285714,TRUE
2,8,1,2,2,28,0,0.5,0,13,TRUE
31,44,171,28,0.863889,406,0.916667,0.283333,6,11.709677,TRUE
12,22,46,10,0.818182,128,0.5,0.4,6,9.5,TRUE
25,41,258,23,0.758333,389,0.8,0.257143,6,14.36,TRUE
12,22,54,10,0.981818,120,0.2,0.5,6,8.583333,TRUE
25,39,106,25,0.753788,487,0.909091,0.18,0,18.04,TRUE
24,41,0,22,0.717391,411,0.875,0.35,6,15.791667,TRUE
12,24,36,10,0.772727,143,0.5,0.4,6,10.75,TRUE
23,39,0,21,0.744318,387,0.875,0.356522,6,15.478261,TRUE
14,34,41,12,0.711538,225,0,0.285714,5,14.785714,TRUE
9,13,36,9,1.125,62,0,0.333333,0,5.666667,TRUE
6,11,0,5,0,170,1,0.541667,0,27.166667,TRUE
23,39,0,21,0.744318,387,0.875,0.356522,6,15.478261,TRUE
