wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
2,4,0,2,5,1,0,2,1,2,24,1,0,0.941176471,0.75,1,1,10.5,3,1.5,FALSE
12,4,1,19,44,66,2,18,6,2,259,0,0,0.905172414,0.35,2,3,20.58333333,8,2.0833,FALSE
10,4,0,13,48,45,4,13,2,1.066666667,206,1,0,0.918918919,0.5,2,3,19.1,4,1.2,FALSE
2,3,0,5,7,1,0,5,1,2,26,1,0,0.933333333,0.75,1,1,11.5,4,2,TRUE
8,1,0,4,38,0,3,1,5,0.642857143,255,0.5,0,0,0.285714286,0,0,30.625,2,0.875,FALSE
2,3,0,10,18,1,0,10,1,2,108,1,0,0.933333333,0.75,2,2,52.5,10,5,FALSE
2,3,0,7,14,1,0,7,1,2,39,1,0,0.933333333,0.75,1,1,18,2,1,FALSE
4,1,0,7,18,6,2,5,1,2,66,0,0,0,0.416666667,0,0,15.5,2,1.5,FALSE
3,4,0,4,13,3,0,4,1,1.5,58,1,0,0.894736842,0.555555556,1,1,18,4,2,FALSE
35,1,0,34,124,139,4,30,3,1.005462185,2273,0.057142857,0,0,0.318627451,0,0,61.94285714,14,2.2571,FALSE
5,1,0,1,12,2,1,0,5,0.625,46,1,0,0,0.7,0,0,7.8,3,1.2,FALSE
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,FALSE
2,4,0,1,3,1,0,1,1,2,7,0,0,0.888888889,1,1,2,2.5,1,0.5,FALSE
8,1,1,4,37,18,1,3,4,0.957142857,271,0.5,0,0,0.392857143,0,0,31.625,6,1.625,FALSE
19,1,0,31,75,13,22,9,11,0.644444444,623,0.8,0,0,0.134920635,0,0,31.52631579,6,2.3684,FALSE
3,6,0,2,16,0,2,0,3,0.833333333,69,1,0,0.997088792,0.555555556,1,1,21,1,0.6667,FALSE
2,2,0,4,4,1,0,4,1,2,12,0,0,0.833333333,0.75,1,1,5,1,0.5,FALSE
23,1,0,10,72,185,1,9,17,1.003134796,985,0.224137931,0,0,0.286956522,0,0,39.30434783,12,2.1304,FALSE
2,1,0,5,8,1,0,5,2,2,27,0,0,0,0.666666667,0,0,12.5,1,0.5,FALSE
0,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,FALSE
5,2,3,4,16,2,4,0,4,0.75,81,1,0,0.714285714,0.433333333,1,2,14.6,2,1.4,FALSE
2,2,0,8,12,1,0,8,2,2,39,0,0,0.666666667,0.75,0,0,18.5,2,1,FALSE
4,2,14,23,20,0,14,9,2,2,89,0,0,0.4,0.583333333,0,0,21.25,4,2.25,TRUE
42,1,0,144,206,815,87,57,38,1.009059233,1133,0.2,0,0,0.078713969,0,0,25.14285714,11,2.8571,TRUE
2,3,0,7,14,1,0,7,1,2,74,1,0,0.933333333,0.75,1,1,35.5,5,2.5,FALSE
4,1,0,16,9,6,12,4,3,1,43,1,0,0,0.25,0,0,9,2,1.5,FALSE
