@relation propB

@attribute ﻿cbo numeric
@attribute rfc numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
9,13,0,9,43,0,0.923077,0.555556,9,1,0.5,FALSE
13,8,0,13,27,0,0.857143,0.6,12.5,1,0.5,FALSE
11,7,7,4,16,0,0.952381,0.666667,7,1,0.5,FALSE
6,8,0,6,26,0,0.789474,0.5,4.2,1,0.8,FALSE
46,30,26,20,189,0.25,0.769231,0.404762,22.125,5,1.625,FALSE
27,48,4,23,549,0.0625,0.756757,0.23,52.3,20,3.2,FALSE
9,14,0,9,46,0,0.903226,0.5,7.6,1,0.6,FALSE
18,18,0,18,77,0,0.857143,0.6,37.5,3,1.5,FALSE
31,68,0,31,859,0,0.857143,0.458333,285.333333,8,3,TRUE
5,6,0,5,20,0,0.833333,0.666667,9,1,0.5,FALSE
5,15,0,5,63,0,0.857143,0.666667,30,3,1.5,FALSE
4,1,3,1,3,0,0,1,0,1,1,FALSE
12,14,0,12,47,0,0.958333,0.666667,22.5,1,0.5,FALSE
25,46,2,23,173,0,0.903226,0.666667,33,1,0.6,FALSE
11,10,0,11,28,0,0.857143,0.6,13,1,0.5,FALSE
6,6,0,6,20,0,0.857143,0.625,9,1,0.5,FALSE
9,14,0,9,43,0,0.923077,0.555556,9,1,0.5,FALSE
4,5,0,4,12,0,0.866667,0.666667,3,1,0.6667,FALSE
24,45,0,24,210,0,0.857143,0.625,68.333333,5,1.6667,FALSE
6,8,0,6,32,0,0.8,0.666667,15,4,2,FALSE
21,15,0,21,81,0,0.857143,0.6,39.5,9,4.5,FALSE
19,26,0,19,118,0,0.8125,0.428571,13.375,4,1.125,FALSE
14,28,0,14,184,0,0.545455,0.633333,29.333333,4,2.3333,FALSE
11,16,1,10,55,0,0.857143,0.733333,7.666667,2,0.8333,TRUE
22,23,0,22,78,0,0.857143,0.666667,11.5,1,0.6667,FALSE
26,21,0,26,81,0,0.857143,0.6,39.5,3,1.5,FALSE
3,5,0,3,14,0,0.857143,0.666667,6,1,0.5,FALSE
12,14,0,12,46,0,0.8,0.666667,22,1,0.5,FALSE
