wmc	dit	noc	cbo	rfc	lcom	ca	ce	npm	lcom3	loc	dam	moa	mfa	cam	ic	cbm	amc	max_cc	avg_cc	Faultiness
4	5	0	9	13	4	0	9	1	1	43	0	0	0.923076923	0.555555556	2	2	9	1	0.5	FALSE
2	3	0	13	8	1	0	13	2	2	27	0	0	0.857142857	0.6	1	1	12.5	1	0.5	FALSE
2	3	7	11	7	1	7	4	2	2	16	0	0	0.952380952	0.666666667	0	0	7	1	0.5	FALSE
5	4	0	6	8	10	0	6	1	2	26	0	0	0.789473684	0.5	2	5	4.2	1	0.8	FALSE
8	4	26	46	30	24	26	20	3	0.928571429	189	0.25	0	0.769230769	0.404761905	2	4	22.125	5	1.625	FALSE
10	3	4	27	48	43	4	23	8	0.826388889	549	0.0625	0	0.756756757	0.23	0	0	52.3	20	3.2	FALSE
5	6	0	9	14	8	0	9	1	1	46	0	0	0.903225806	0.5	3	5	7.6	1	0.6	FALSE
2	3	0	18	18	1	0	18	2	2	77	0	0	0.857142857	0.6	1	1	37.5	3	1.5	FALSE
3	4	0	31	68	3	0	31	2	2	859	0	0	0.857142857	0.458333333	1	1	285.3333333	8	3	TRUE
2	3	0	5	6	1	0	5	2	2	20	0	0	0.833333333	0.666666667	2	2	9	1	0.5	FALSE
2	3	0	5	15	1	0	5	2	1	63	0	0	0.857142857	0.666666667	0	0	30	3	1.5	FALSE
1	1	0	4	1	0	3	1	1	2	3	0	0	0	1	0	0	0	1	1	FALSE
2	3	0	12	14	1	0	12	2	2	47	0	0	0.958333333	0.666666667	2	2	22.5	1	0.5	FALSE
5	6	0	25	46	4	2	23	4	0.916666667	173	0	0	0.903225806	0.666666667	4	4	33	1	0.6	FALSE
2	3	0	11	10	1	0	11	2	2	28	0	0	0.857142857	0.6	1	1	13	1	0.5	FALSE
2	3	0	6	6	1	0	6	2	2	20	0	0	0.857142857	0.625	1	1	9	1	0.5	FALSE
4	5	0	9	14	4	0	9	1	1	43	0	0	0.923076923	0.555555556	2	2	9	1	0.5	FALSE
3	4	0	4	5	3	0	4	1	2	12	0	0	0.866666667	0.666666667	2	2	3	1	0.6667	FALSE
3	3	0	24	45	1	0	24	2	0.75	210	0	0	0.857142857	0.625	1	1	68.33333333	5	1.6667	FALSE
2	2	0	6	8	1	0	6	2	2	32	0	0	0.8	0.666666667	1	1	15	4	2	FALSE
2	3	0	21	15	1	0	21	2	2	81	0	0	0.857142857	0.6	1	1	39.5	9	4.5	FALSE
8	5	0	19	26	16	0	19	2	0.904761905	118	0	0	0.8125	0.428571429	3	6	13.375	4	1.125	FALSE
6	3	0	14	28	15	0	14	2	0.8	184	0	0	0.545454545	0.633333333	1	1	29.33333333	4	2.3333	FALSE
6	5	0	11	16	9	1	10	1	0.933333333	55	0	0	0.857142857	0.733333333	2	3	7.666666667	2	0.8333	TRUE
6	5	0	22	23	9	0	22	2	0.933333333	78	0	0	0.857142857	0.666666667	2	3	11.5	1	0.6667	FALSE
