Dataset,Run ID,Treatment,Classifier,Tuned,TP Rate,FP Rate,Precision,Recall,ROC Area,Kappa
Ant,1,No Sample,functions.MultilayerPerceptron,Yes,0.3712121212,0.04367816092,0.7205882353,0.3712121212,0.8028039011,0.3940784511
Ant,1,Oversampling,meta.AdaBoostM1,Yes,0.590909091,0.151724138,0.541666667,0.590909091,0.781844305,0.425706472
Ant,2,Oversampling,meta.AdaBoostM1,Yes,0.5,0.183908046,0.452054795,0.5,0.723180077,0.304831965
Ant,3,Oversampling,meta.AdaBoostM1,Yes,0.492424242,0.188505747,0.442176871,0.492424242,0.720158481,0.292348285
Ant,4,Oversampling,meta.AdaBoostM1,Yes,0.121212121,0.112643678,0.246153846,0.121212121,0.554144897,0.010408403
Ant,5,Oversampling,meta.AdaBoostM1,Yes,0.25,0.034482759,0.6875,0.25,0.687678509,0.276882803
Ant,6,Oversampling,meta.AdaBoostM1,Yes,0.484848485,0.36091954,0.28959276,0.484848485,0.66856496,0.100361759
Ant,7,Oversampling,meta.AdaBoostM1,Yes,0.712121212,0.406896552,0.346863469,0.712121212,0.717476489,0.223322311
Ant,8,Oversampling,meta.AdaBoostM1,Yes,0.386363636,0.101149425,0.536842105,0.386363636,0.752899687,0.316069826
Ant,9,Oversampling,meta.AdaBoostM1,Yes,0.439393939,0.188505747,0.414285714,0.439393939,0.729824103,0.245702006
Ant,10,Oversampling,meta.AdaBoostM1,Yes,0.5,0.163218391,0.481751825,0.5,0.752385928,0.332396545
Ant,11,Oversampling,meta.AdaBoostM1,Yes,0.507575758,0.15862069,0.492647059,0.507575758,0.7419279,0.345310723
Ant,12,Oversampling,meta.AdaBoostM1,Yes,0.265151515,0.027586207,0.744680851,0.265151515,0.798885406,0.306246843
Ant,13,Oversampling,meta.AdaBoostM1,Yes,0.606060606,0.225287356,0.449438202,0.606060606,0.746194706,0.339561105
Ant,14,Oversampling,meta.AdaBoostM1,Yes,0.113636364,0.011494253,0.75,0.113636364,0.647056775,0.144986651
