Dataset,Run ID,Treatment,Best Model,TP Rate - Best,FP Rate - Best,Precision - Best,Recall - Best,ROC Area - Best,Kappa - Best,TP Rate - RandomForest,FP Rate - RandomForest,Precision - RandomForest,Recall - RandomForest,ROC Area- RandomForest,Kappa - RandomForest
Ant,1,No Sample,functions.MultilayerPerceptron,0.318,0.034,0.737,0.318,0.726,0.3537,0.364,0.041,0.727,0.364,0.81,0.3902
Ant,1,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.785806339,0.498327759,0.583333333,0.140229885,0.557971014,0.583333333,0.803039011,0.436198118
Ant,2,Oversampling,meta.AdaBoostM1,0.712121212,0.282758621,0.433179724,0.712121212,0.817093347,0.350709485,0.590909091,0.156321839,0.534246575,0.590909091,0.794043887,0.419106162
Ant,3,Oversampling,meta.AdaBoostM1,0.704545455,0.227586207,0.484375,0.704545455,0.805755834,0.411772666,0.583333333,0.151724138,0.538461538,0.583333333,0.799451411,0.419435912
Ant,4,Oversampling,meta.AdaBoostM1,0.825757576,0.317241379,0.441295547,0.825757576,0.819757924,0.390139293,0.636363636,0.156321839,0.552631579,0.636363636,0.806992337,0.455980149
Ant,5,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.824164054,0.433438885,0.575757576,0.154022989,0.531468531,0.575757576,0.779728318,0.409839811
Ant,6,Oversampling,meta.AdaBoostM1,0.787878788,0.27816092,0.462222222,0.787878788,0.807375479,0.409288276,0.545454545,0.144827586,0.533333333,0.545454545,0.796656217,0.397480756
Ant,7,Oversampling,meta.AdaBoostM1,0.689393939,0.2,0.511235955,0.689393939,0.818042494,0.436425476,0.537878788,0.112643678,0.591666667,0.537878788,0.802098572,0.43913888
Ant,8,Oversampling,meta.AdaBoostM1,0.636363636,0.140229885,0.579310345,0.636363636,0.805755834,0.479680752,0.545454545,0.133333333,0.553846154,0.545454545,0.79933821,0.414307474
Ant,9,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.789750958,0.498327759,0.522727273,0.156321839,0.503649635,0.522727273,0.768599791,0.361634653
Ant,10,Oversampling,meta.AdaBoostM1,0.689393939,0.190804598,0.522988506,0.689393939,0.81326193,0.448850007,0.583333333,0.147126437,0.546099291,0.583333333,0.790125392,0.426088954
Ant,11,Oversampling,meta.AdaBoostM1,0.621212121,0.170114943,0.525641026,0.621212121,0.77737722,0.424233491,0.583333333,0.147126437,0.546099291,0.583333333,0.798415186,0.426088954
Ant,12,Oversampling,meta.AdaBoostM1,0.643939394,0.218390805,0.472222222,0.643939394,0.793181818,0.377712855,0.568181818,0.147126437,0.539568345,0.568181818,0.788235806,0.413419858
Ant,13,Oversampling,meta.AdaBoostM1,0.628787879,0.163218391,0.538961039,0.628787879,0.817014977,0.440027653,0.560606061,0.151724138,0.528571429,0.560606061,0.792215256,0.400429799
Ant,14,Oversampling,meta.AdaBoostM1,0.803030303,0.264367816,0.479638009,0.803030303,0.809038662,0.436226702,0.628787879,0.170114943,0.52866242,0.628787879,0.795393591,0.430290406
Ant,15,Oversampling,meta.AdaBoostM1,0.696969697,0.248275862,0.46,0.696969697,0.802629746,0.380437672,0.545454545,0.137931034,0.545454545,0.545454545,0.800287356,0.407523511
Ant,16,Oversampling,meta.AdaBoostM1,0.772727273,0.243678161,0.490384615,0.772727273,0.820628701,0.440682392,0.560606061,0.140229885,0.548148148,0.560606061,0.786102403,0.417074878
Ant,17,Oversampling,meta.AdaBoostM1,0.772727273,0.264367816,0.470046083,0.772727273,0.819009056,0.41523525,0.575757576,0.165517241,0.513513514,0.575757576,0.779101358,0.393623421
Ant,18,Oversampling,meta.AdaBoostM1,0.689393939,0.170114943,0.551515152,0.689393939,0.811459422,0.477687261,0.553030303,0.170114943,0.496598639,0.553030303,0.786877395,0.368337731
Ant,19,Oversampling,meta.AdaBoostM1,0.674242424,0.220689655,0.481081081,0.674242424,0.799590735,0.397909839,0.598484848,0.167816092,0.519736842,0.598484848,0.79040404,0.409081886
Ant,20,Oversampling,meta.AdaBoostM1,0.727272727,0.264367816,0.454976303,0.727272727,0.807540927,0.383060594,0.568181818,0.147126437,0.539568345,0.568181818,0.795384883,0.413419858
Ant,21,Oversampling,meta.AdaBoostM1,0.787878788,0.245977011,0.492890995,0.787878788,0.828648555,0.448431657,0.575757576,0.147126437,0.542857143,0.575757576,0.795384883,0.419770774
Ant,22,Oversampling,meta.AdaBoostM1,0.598484848,0.112643678,0.6171875,0.598484848,0.783786137,0.491023339,0.515151515,0.167816092,0.482269504,0.515151515,0.777621038,0.339278879
Ant,23,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.803247997,0.42051697,0.613636364,0.15862069,0.54,0.613636364,0.803831418,0.434385755
Ant,24,Oversampling,meta.AdaBoostM1,0.757575758,0.236781609,0.492610837,0.757575758,0.801741553,0.438626213,0.598484848,0.16091954,0.530201342,0.598484848,0.804005573,0.418781409
Ant,25,Oversampling,meta.AdaBoostM1,0.795454545,0.268965517,0.472972973,0.795454545,0.815186346,0.425459151,0.583333333,0.179310345,0.496774194,0.583333333,0.793678161,0.380907815
Ant,26,Oversampling,meta.AdaBoostM1,0.689393939,0.28045977,0.427230047,0.689393939,0.791013584,0.336927746,0.568181818,0.154022989,0.528169014,0.568181818,0.794209335,0.403512344
Ant,27,Oversampling,meta.AdaBoostM1,0.765151515,0.342528736,0.404,0.765151515,0.798510972,0.322283756,0.560606061,0.137931034,0.552238806,0.560606061,0.801166841,0.420456317
Ant,28,Oversampling,meta.AdaBoostM1,0.803030303,0.268965517,0.475336323,0.803030303,0.792868339,0.430662931,0.575757576,0.172413793,0.503311258,0.575757576,0.793425636,0.384089156
Ant,29,Oversampling,meta.AdaBoostM1,0.636363636,0.147126437,0.567567568,0.636363636,0.790935214,0.469420493,0.598484848,0.151724138,0.544827586,0.598484848,0.78541449,0.431945041
Ant,30,Oversampling,meta.AdaBoostM1,0.674242424,0.218390805,0.483695652,0.674242424,0.813131313,0.400854544,0.590909091,0.165517241,0.52,0.590909091,0.799695228,0.406105043
Ant,31,Oversampling,meta.AdaBoostM1,0.674242424,0.202298851,0.502824859,0.674242424,0.815473703,0.421856392,0.545454545,0.144827586,0.533333333,0.545454545,0.795768025,0.397480756
Ant,32,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.798615465,0.498327759,0.583333333,0.11954023,0.596899225,0.583333333,0.799712644,0.467493483
