@relation synapseA-weka.filters.supervised.instance.Resample-B1.0-S1-Z155.924171

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
21,64,0,21,1,1.625,FALSE
7,29,11,6,0.2,1.2857,FALSE
15,26,29,7,1,1.5714,FALSE
7,4,1,2,0,0.5,FALSE
8,2,1,2,0,1,FALSE
15,22,8,8,0.5,1,FALSE
9,13,6,9,0,0.75,FALSE
12,30,13,12,0.333333,2.5,FALSE
7,2,1,2,0,1,FALSE
6,22,0,3,1,3,FALSE
22,21,4,9,1,2.25,FALSE
15,35,13,15,0.333333,2,FALSE
12,29,2,12,1,2.25,FALSE
10,12,26,3,0.428571,0.7778,FALSE
10,20,13,10,0.8,0.6667,FALSE
12,32,0,10,1,2,FALSE
5,5,1,4,0,0.5,FALSE
5,2,1,2,0,1,FALSE
12,31,6,12,0.666667,2.4,FALSE
11,34,2,11,1,3.5,FALSE
4,8,28,0,0,1,FALSE
7,17,8,5,0.666667,1.8,FALSE
1,1,0,0,0,1,FALSE
11,33,6,11,0.666667,4.2,FALSE
7,15,3,7,0,1.3333,FALSE
5,9,4,5,1,0.5,FALSE
15,21,4,8,0.5,1,FALSE
11,41,6,11,0.923077,3.8,FALSE
16,24,8,7,0.5,1.2,FALSE
5,5,1,4,0,0.5,FALSE
55,154,540,30,1,1.5574,FALSE
33,10,45,5,0,1,FALSE
7,9,1,7,0,0.5,FALSE
10,20,13,10,0.8,0.6667,FALSE
8,24,3,8,0,2.6667,FALSE
10,27,4,10,1,2.75,FALSE
18,44,781,0,1,0.9767,FALSE
11,18,10,9,1,0.6,FALSE
4,31,0,0,1,2,FALSE
12,29,3,12,0,3.3333,FALSE
11,33,6,11,0.666667,4.2,FALSE
10,2,1,2,0,1,FALSE
11,27,13,11,0.333333,2,FALSE
7,16,3,5,0,3.3333,FALSE
11,31,3,11,0,3.6667,FALSE
6,10,22,3,0.666667,0.8889,FALSE
7,9,1,7,0,0.5,FALSE
10,29,0,8,1,2.125,FALSE
10,23,13,10,0.333333,1.1667,FALSE
17,34,1,13,0.75,2.5,FALSE
8,17,9,5,1,1.8571,FALSE
5,5,1,4,0,0.5,FALSE
46,7,21,1,0,1,FALSE
12,30,322,0,1,0.9655,FALSE
0,2,0,0,0,0,FALSE
11,24,6,11,1,1.75,FALSE
2,28,87,1,1,0.9444,FALSE
10,13,1,6,0.666667,0.6667,FALSE
12,31,6,12,0.666667,2.4,FALSE
10,38,13,9,1,3.4286,FALSE
14,48,33,7,0.5,1.4,FALSE
6,5,1,4,0,0.5,FALSE
