@relation synapseA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
12,65,3,11,0.5,7,FALSE
5,9,4,5,1,0.5,FALSE
11,41,6,11,0.923077,3.8,FALSE
6,22,0,3,1,3,FALSE
9,1,0,1,0,1,FALSE
4,22,2,3,1,1.75,TRUE
13,60,65,10,0.454545,1.8889,FALSE
7,4,1,2,0,0.5,FALSE
10,41,20,9,0.666667,2.375,FALSE
1,8,0,0,1,1.4286,FALSE
12,1,0,2,0,1,FALSE
7,17,8,5,0.666667,1.6,FALSE
4,8,4,4,1,0.5,FALSE
25,35,20,14,0.8,1.75,FALSE
15,32,9,14,0.777778,2.8333,FALSE
0,2,0,0,0,0,FALSE
6,10,22,3,0.666667,0.8889,FALSE
15,59,203,12,0.916667,1.6957,FALSE
11,26,13,11,0.333333,1.3333,FALSE
10,33,28,10,0.666667,1.2222,FALSE
17,68,43,15,0.777778,1.8,TRUE
16,50,105,12,0.888889,1.4737,FALSE
9,21,20,8,0.666667,0.875,FALSE
25,79,66,24,0.5,2.7692,FALSE
10,18,8,10,0.666667,1,FALSE
5,9,4,5,1,0.5,FALSE
7,14,0,5,0,3,FALSE
11,3,0,3,0,0,FALSE
21,44,24,21,0.8,1.125,FALSE
14,1,0,3,0,1,FALSE
13,24,13,13,0.333333,1.3333,FALSE
29,76,172,17,0.714286,1.875,FALSE
18,58,43,16,0.666667,2.6667,TRUE
10,24,11,9,0.666667,2.8333,FALSE
10,2,1,2,0,1,FALSE
14,33,6,14,0.8,1.4,FALSE
15,22,8,8,0.5,1,FALSE
10,20,13,10,0.8,0.6667,FALSE
15,8,1,4,0,2.5,FALSE
8,8,4,7,1,0.75,FALSE
8,4,6,2,0,1,FALSE
12,14,0,12,1,2,FALSE
17,34,1,13,0.75,2.5,FALSE
11,28,6,11,0.666667,3.2,TRUE
18,40,4,16,0.5,0.5,FALSE
20,37,13,19,0.5,1.8333,FALSE
23,54,76,13,0.888889,2.2353,FALSE
7,29,11,6,0.2,1.2857,FALSE
8,18,4,6,0.666667,1.5,FALSE
10,23,13,10,0.333333,1.1667,FALSE
56,47,1081,9,0,1,FALSE
13,32,0,6,0.666667,0.9,FALSE
13,48,63,10,0.875,2,TRUE
10,13,1,6,0.666667,0.6667,FALSE
24,61,30,24,0.75,0.8889,FALSE
6,6,3,5,0,0.3333,FALSE
7,2,1,2,0,1,FALSE
6,26,0,3,1,4.2,FALSE
9,28,6,9,0.666667,0.8,FALSE
15,35,13,15,0.333333,2,FALSE
11,27,13,11,0.333333,2,FALSE
29,92,213,27,0.714286,2.3704,TRUE
12,25,4,9,0.666667,2,FALSE
14,22,15,9,0,2.3333,FALSE
16,34,257,4,0.615385,1.2692,FALSE
14,35,13,14,0.333333,1.5,FALSE
13,14,0,2,1,1.4286,FALSE
12,30,322,0,1,0.9655,FALSE
15,38,7,14,0.666667,4,TRUE
12,32,17,11,0.333333,2.8571,FALSE
5,1,0,2,0,1,FALSE
8,20,8,8,0.857143,1.8,FALSE
14,68,28,13,0.666667,5.2222,FALSE
15,21,4,8,0.5,1,FALSE
14,48,33,7,0.5,1.4,FALSE
11,33,6,11,0.666667,4.2,FALSE
8,21,16,5,0.875,1.75,FALSE
12,31,13,12,0.333333,1.6667,FALSE
9,12,26,3,0.428571,0.7778,FALSE
2,25,87,1,1,0.9444,FALSE
18,15,1,15,0,3.5,FALSE
20,59,2,20,0.75,0.6,FALSE
9,32,30,6,0.857143,1.4615,FALSE
2,3,1,0,0,0,FALSE
13,44,7,10,0.181818,1.5455,FALSE
8,47,13,8,0.5,1.5,TRUE
12,36,3,12,0.666667,3.7143,TRUE
11,36,17,9,0.833333,1.9091,FALSE
4,2,1,2,0,1,FALSE
11,6,15,1,0,1,FALSE
10,21,13,10,0.333333,1.1667,FALSE
2,4,0,0,1,0.6667,FALSE
88,6,3,0,1,0,FALSE
13,14,5,10,0.75,0.6667,FALSE
14,17,10,2,0,2,FALSE
8,19,9,1,1,1.2,FALSE
14,14,1,10,0,3.5,FALSE
12,30,13,12,0.333333,2.1667,FALSE
4,2,0,0,0,0,FALSE
