@relation synapseA-weka.filters.supervised.instance.Resample-B1.0-S1-Z44.07583-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
12,34,13,12,0.333333,2.3333,FALSE
10,30,2,10,1,4.25,FALSE
14,46,0,9,1,3.2857,FALSE
6,10,22,3,0.666667,0.8889,FALSE
34,136,1269,28,0.925926,1.3704,FALSE
9,23,3,9,0,2.3333,FALSE
11,18,10,9,1,0.6,FALSE
13,39,28,13,0.666667,1.4444,FALSE
7,17,8,5,0.666667,1.6,FALSE
8,4,6,2,0,1,FALSE
11,29,3,11,0,4,FALSE
25,35,20,14,0.8,1.75,FALSE
13,24,13,13,0.333333,1.3333,FALSE
11,25,3,11,0,4.3333,FALSE
8,19,9,1,1,1.2,FALSE
4,2,1,2,0,1,FALSE
12,65,3,11,0.5,7,FALSE
10,18,8,10,0.666667,1,FALSE
88,6,3,0,1,0,FALSE
2,4,0,1,1,0.6667,FALSE
2,7,1,1,0,1.3333,FALSE
5,9,4,5,1,0.5,FALSE
16,50,59,15,0.875,1.0667,FALSE
11,38,0,9,1,1.3636,FALSE
6,33,2,5,1,1.6,FALSE
11,36,17,9,0.833333,1.9091,FALSE
5,9,4,5,1,0.5,FALSE
9,22,5,9,1,1.4286,FALSE
11,6,15,1,0,1,FALSE
12,1,0,2,0,1,FALSE
11,28,8,10,1,1.8,FALSE
10,8,28,3,0,1,FALSE
8,29,4,8,1,1.75,FALSE
14,48,33,7,0.5,1.4,FALSE
71,48,1128,10,0,1,FALSE
9,38,4,9,1,5.4,FALSE
6,22,0,3,1,3,FALSE
16,31,245,4,0.666667,1.3462,FALSE
4,3,3,2,0,1,FALSE
7,4,6,1,0,1,FALSE
12,28,3,12,0,3,FALSE
12,14,0,12,1,2,FALSE
7,9,1,7,0,0.5,FALSE
6,31,13,5,1,2.1667,FALSE
13,22,2,12,1,1.75,FALSE
11,45,22,11,1,0.7778,FALSE
7,16,3,5,0,3,FALSE
5,5,1,4,0,0.5,FALSE
8,17,9,5,1,1.8571,FALSE
2,8,3,1,0,0,FALSE
7,4,6,1,0,1,FALSE
7,11,6,6,0.5,0.5,FALSE
7,42,9,4,1,3.2857,FALSE
55,154,540,30,1,1.5574,FALSE
33,10,45,5,0,1,FALSE
25,79,66,24,0.5,2.7692,FALSE
13,60,34,9,0.375,2.4375,FALSE
11,16,1,6,0,2.5,FALSE
11,28,1,11,1,2.6667,FALSE
15,32,9,14,0.777778,2.8333,FALSE
17,31,245,4,0.666667,1.3462,FALSE
15,26,29,7,1,1.5714,FALSE
4,2,1,2,0,1,FALSE
46,7,21,1,0,1,FALSE
11,26,13,11,0.333333,1.3333,FALSE
7,12,1,2,0,0.8333,FALSE
4,18,13,4,1,0.6667,FALSE
8,18,0,6,1,3,FALSE
24,61,30,24,0.75,0.8889,FALSE
5,11,3,2,1,1.1429,FALSE
5,8,1,5,1,0.3333,FALSE
0,2,0,0,0,0,FALSE
17,62,103,15,0.909091,2.0556,FALSE
17,79,1,15,0.857143,2.7273,FALSE
7,14,0,5,0,3,FALSE
23,77,34,19,0.714286,3.4118,FALSE
6,4,1,0,0,0,FALSE
10,37,14,8,0.714286,3.3333,FALSE
12,29,3,12,0,3.3333,FALSE
3,32,4,0,0.8,2,FALSE
11,38,0,11,0.75,5.2857,FALSE
10,27,4,10,1,2.75,FALSE
8,31,3,6,0.181818,1.1429,FALSE
21,64,0,21,1,1.625,FALSE
8,14,3,8,0,1.3333,FALSE
17,61,6,16,0.8,6.4,FALSE
10,16,3,10,0,1.6667,FALSE
14,14,1,10,0,3.5,FALSE
10,29,2,10,1,5,FALSE
1,8,0,0,1,1.4286,FALSE
10,23,13,10,0.333333,1.1667,FALSE
9,21,20,8,0.666667,0.875,FALSE
2,3,1,0,0,0,FALSE
6,6,3,5,0,0.3333,TRUE
20,25,2,20,1,2.25,TRUE
29,64,38,28,1,2.0833,TRUE
20,62,0,20,1,1.625,TRUE
35,101,3,33,1,1.6667,TRUE
13,26,0,6,1,1.4,TRUE
4,13,1,4,0,0.6667,TRUE
17,32,11,16,0.777778,2.8333,TRUE
12,36,3,12,0.666667,3.7143,TRUE
20,33,8,18,1,2,TRUE
26,77,99,26,1,2.6,TRUE
18,58,43,16,0.666667,2.6667,TRUE
14,74,299,12,1,2.0333,TRUE
15,14,1,10,0,3.5,TRUE
14,16,0,14,1,3,TRUE
71,45,13,21,1,2.1667,TRUE
15,1,0,3,0,1,TRUE
14,65,20,13,1,5.875,TRUE
29,92,213,27,0.714286,2.3704,TRUE
34,52,60,12,1,2.8125,TRUE
10,32,3,10,1,4.3333,TRUE
26,63,20,26,1,1,TRUE
15,37,2,14,1,5.4,TRUE
18,71,1,16,0.857143,2.7273,TRUE
13,48,63,10,0.875,2,TRUE
19,15,1,15,0,3.5,TRUE
12,60,0,11,1,8.2,TRUE
15,61,234,11,1,2.08,TRUE
28,84,99,28,1,2.6,TRUE
11,38,81,10,1,0.8667,TRUE
12,38,27,9,1,2,TRUE
15,38,2,14,1,5.6,TRUE
12,14,0,12,1,2,TRUE
13,36,493,0,1,0.9714,TRUE
