@relation synapseB

@attribute ﻿cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,16,2,6,1,2,FALSE
31,106,216,29,0.692308,3.2143,TRUE
10,29,4,10,1,1.75,FALSE
6,6,3,5,0,0.3333,FALSE
8,17,9,5,1,1.8571,FALSE
10,1,0,1,0,1,FALSE
83,6,3,0,1,0,TRUE
13,21,0,12,0,3.25,FALSE
10,13,15,10,0,0.8333,FALSE
11,35,1,11,1,3.6667,FALSE
21,47,0,19,1,1.6,FALSE
3,42,8,3,1,0.75,TRUE
1,1,0,0,0,1,FALSE
11,29,2,11,1,4,FALSE
17,32,11,16,0.777778,2.8333,TRUE
7,18,0,6,1,1.6,FALSE
22,66,4,20,1,0.6,TRUE
0,0,0,0,0,0,FALSE
9,29,2,9,1,4.25,FALSE
5,7,1,4,1,1,TRUE
12,10,0,9,1,0.6,FALSE
16,45,11,13,1,2.3636,FALSE
4,3,3,2,0,1,FALSE
6,7,0,5,1,0.5,FALSE
10,16,3,10,0,1.6667,FALSE
11,27,3,11,0,3.6667,FALSE
8,32,0,6,1,2.625,TRUE
2,4,0,0,1,0.6667,FALSE
5,9,4,5,1,0.5,FALSE
24,17,0,9,1,0.5,FALSE
4,44,135,4,1,2,TRUE
4,26,9,4,1,0.6667,TRUE
11,28,8,10,1,1.8,FALSE
8,20,9,1,1,1.2,FALSE
8,2,1,2,0,1,FALSE
9,13,6,9,0,0.75,FALSE
13,6,15,1,0,1,FALSE
12,19,6,8,1,3.2,FALSE
6,22,0,3,1,3,FALSE
9,42,4,9,1,6.8,FALSE
9,51,5,9,0.75,3.8571,FALSE
32,86,174,21,1,2.48,TRUE
10,29,0,8,1,2.125,TRUE
7,11,35,3,0.666667,0.9,FALSE
2,4,1,1,0,0.5,FALSE
10,21,3,8,1,4.5,FALSE
14,53,61,11,1,2.6,FALSE
11,90,349,11,1,1.6296,FALSE
7,13,3,7,0,1.3333,FALSE
8,14,3,8,0,1.3333,FALSE
5,9,4,5,1,0.5,FALSE
8,25,2,8,1,3.75,FALSE
8,4,1,2,0,0.5,FALSE
10,31,6,10,0,5.75,FALSE
11,29,2,11,1,3.75,FALSE
11,31,3,11,0,4.6667,FALSE
27,64,20,27,1,0.875,TRUE
5,2,1,2,0,1,FALSE
