@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z156.1904762

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
17,34,1,13,0.75,2.5,FALSE
7,42,9,4,1,3.2857,FALSE
11,27,6,10,0.8,1.2,FALSE
23,77,34,19,0.714286,3.4118,FALSE
12,31,13,12,0.333333,1.6667,FALSE
13,22,2,12,1,1.75,FALSE
13,22,2,12,1,1.75,FALSE
5,9,4,5,1,0.5,FALSE
15,59,203,12,0.916667,1.6957,FALSE
9,38,4,9,1,5.4,FALSE
10,27,4,10,1,2.75,FALSE
16,49,6,14,0.666667,3.4167,FALSE
10,28,9,9,0.5,0.6667,FALSE
13,22,2,12,1,1.75,FALSE
22,33,7,5,1,2.3333,FALSE
9,32,0,7,1,2.625,FALSE
11,3,0,3,0,0,FALSE
11,41,6,11,0.923077,3.8,FALSE
10,28,9,9,0.5,0.6667,FALSE
12,14,0,12,1,2,FALSE
13,60,65,10,0.454545,1.8889,FALSE
13,24,13,13,0.333333,1.3333,FALSE
17,42,28,17,0.666667,1.5556,FALSE
9,26,3,9,0,3.6667,FALSE
13,22,2,12,1,1.75,FALSE
10,27,4,10,1,2.75,FALSE
31,48,37,11,1,2.9286,FALSE
12,10,0,9,1,0.6,FALSE
7,15,3,7,0,1.3333,FALSE
23,77,34,19,0.714286,3.4118,FALSE
14,22,15,9,0,2.3333,FALSE
8,19,9,1,1,1.2,FALSE
14,22,15,9,0,2.3333,FALSE
11,41,6,11,0.923077,3.8,FALSE
22,33,7,5,1,2.3333,FALSE
12,10,0,9,1,0.6,FALSE
23,77,34,19,0.714286,3.4118,FALSE
31,48,37,11,1,2.9286,FALSE
7,16,3,5,0,3.3333,FALSE
16,49,6,14,0.666667,3.4167,FALSE
14,48,33,7,0.5,1.4,FALSE
11,41,6,11,0.923077,3.8,FALSE
18,70,143,17,0,2.2174,FALSE
12,10,0,9,1,0.6,FALSE
13,60,34,9,0.375,2.4375,FALSE
10,27,0,8,1,2.6667,FALSE
13,24,13,13,0.333333,1.3333,FALSE
6,8,1,4,0,1.5,FALSE
17,42,28,17,0.666667,1.5556,FALSE
7,15,3,7,0,1.3333,FALSE
10,8,28,3,0,1,FALSE
14,22,15,9,0,2.3333,FALSE
12,30,13,12,0.333333,2.1667,FALSE
12,14,0,12,1,2,FALSE
15,22,8,8,0.5,1,FALSE
6,33,2,5,1,1.6,FALSE
11,6,15,1,0,1,FALSE
13,32,0,6,0.666667,0.9,FALSE
9,32,0,7,1,2.625,FALSE
9,26,3,9,0,3.6667,FALSE
13,60,34,9,0.375,2.4375,FALSE
11,6,15,1,0,1,FALSE
23,77,34,19,0.714286,3.4118,FALSE
6,33,2,5,1,1.6,FALSE
0,2,0,0,0,0,FALSE
4,31,0,0,1,2,FALSE
22,33,7,5,1,2.3333,FALSE
18,70,143,17,0,2.2174,FALSE
10,8,28,3,0,1,FALSE
10,13,1,6,0.666667,0.6667,FALSE
9,38,4,9,1,5.4,FALSE
12,31,13,12,0.333333,1.6667,FALSE
46,7,21,1,0,1,FALSE
15,8,1,4,0,2.5,FALSE
19,32,9,4,1,2.8571,FALSE
12,30,13,12,0.333333,2.1667,FALSE
11,6,15,1,0,1,FALSE
14,46,0,9,1,3.2857,FALSE
22,33,7,5,1,2.3333,FALSE
46,7,21,1,0,1,FALSE
10,8,28,3,0,1,FALSE
2,8,3,1,0,0,FALSE
12,38,27,9,1,2,TRUE
12,38,27,9,1,2,TRUE
12,38,27,9,1,2,TRUE
9,17,13,8,1,0.8571,TRUE
5,30,1,3,0,4.5,TRUE
12,36,3,12,0.666667,3.7143,TRUE
12,38,27,9,1,2,TRUE
13,26,0,6,1,1.4,TRUE
25,44,32,25,1,1.8889,TRUE
4,13,1,4,0,0.6667,TRUE
13,26,0,6,1,1.4,TRUE
14,19,1,12,1,2.3333,TRUE
28,87,150,26,0.727273,2.9167,TRUE
14,19,1,12,1,2.3333,TRUE
9,17,13,8,1,0.8571,TRUE
12,36,3,12,0.666667,3.7143,TRUE
4,13,1,4,0,0.6667,TRUE
9,27,3,9,0,2.6667,TRUE
14,53,78,10,1,2.5882,TRUE
