@relation synapseA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z156.1904762

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
10,27,0,8,1,2.6667,FALSE
9,29,4,9,1,1.75,FALSE
7,4,1,2,0,0.5,FALSE
8,17,0,6,1,3,FALSE
8,21,16,5,0.875,1.75,FALSE
46,7,21,1,0,1,FALSE
7,17,8,5,0.666667,1.8,FALSE
12,30,322,0,1,0.9655,FALSE
22,21,4,9,1,2.25,FALSE
12,31,0,12,0.25,0.6,FALSE
20,37,13,19,0.5,1.8333,FALSE
11,26,13,11,0.333333,1.3333,FALSE
10,21,0,9,1,1.6,FALSE
15,8,1,4,0,2.5,FALSE
8,19,9,1,1,1.2,FALSE
10,30,2,10,1,4.25,FALSE
7,4,6,1,0,1,FALSE
9,13,6,9,0,0.75,FALSE
12,1,0,2,0,1,FALSE
18,70,143,17,0,2.2174,FALSE
11,6,15,1,0,1,FALSE
11,6,15,1,0,1,FALSE
4,2,0,0,0,0,FALSE
10,23,13,10,0.333333,1.1667,FALSE
10,23,13,10,0.333333,1.1667,FALSE
11,33,6,11,0.666667,4.2,FALSE
4,3,3,2,0,1,FALSE
4,2,1,2,0,1,FALSE
6,22,0,3,1,3,FALSE
11,6,15,1,0,1,FALSE
9,28,6,9,0.666667,0.8,FALSE
18,70,143,17,0,2.2174,FALSE
11,13,15,11,0,0.8333,FALSE
6,10,22,3,0.666667,0.8889,FALSE
18,44,781,0,1,0.9767,FALSE
10,18,8,10,0.666667,1,FALSE
12,10,0,9,1,0.6,FALSE
22,21,4,9,1,2.25,FALSE
6,26,0,3,1,4.2,FALSE
6,8,1,4,0,1.5,FALSE
7,14,0,5,0,3,FALSE
9,26,3,9,0,3.6667,FALSE
10,12,66,3,0,1,FALSE
5,15,1,3,0,1,FALSE
5,9,4,5,1,0.5,FALSE
10,2,1,2,0,1,FALSE
11,31,3,11,0,3.6667,FALSE
46,7,21,1,0,1,FALSE
2,22,231,0,0,1,FALSE
82,6,3,0,1,0,FALSE
7,15,3,7,0,1.3333,FALSE
11,13,15,11,0,0.8333,FALSE
16,30,1,14,0,12.5,FALSE
23,77,34,19,0.714286,3.4118,FALSE
3,32,4,0,0.8,2,FALSE
88,6,3,0,1,0,FALSE
25,79,66,24,0.5,2.7692,FALSE
22,66,4,20,1,0.6,FALSE
8,21,16,5,0.875,1.75,FALSE
6,7,0,3,1,1.6667,FALSE
11,23,2,10,1,1.25,FALSE
21,73,110,19,1,2.4286,FALSE
12,30,322,0,1,0.9655,FALSE
11,92,349,11,1,1.6296,FALSE
21,47,0,19,1,1.6,FALSE
7,15,3,7,0,1.3333,FALSE
17,31,245,4,0.666667,1.3462,FALSE
74,4,6,1,0,1,FALSE
11,36,17,9,0.833333,1.9091,FALSE
6,7,0,3,1,1.6667,FALSE
5,2,1,2,0,1,FALSE
33,10,45,5,0,1,FALSE
55,154,540,30,1,1.5574,FALSE
25,35,20,14,0.8,1.75,FALSE
