@relation synapseA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z43.80952381-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute dam numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
11,13,15,11,0,0.8333,FALSE
18,40,4,16,0.5,0.5,FALSE
5,9,4,5,1,0.5,FALSE
10,27,0,8,1,2.6667,FALSE
56,47,1081,9,0,1,FALSE
4,18,13,4,1,0.6667,FALSE
21,64,0,21,1,1.625,FALSE
4,3,3,2,0,1,FALSE
10,41,20,9,0.666667,2.375,FALSE
12,32,17,11,0.333333,2.8571,FALSE
14,35,13,14,0.333333,1.5,FALSE
11,48,7,9,0.666667,1.8,FALSE
7,15,3,7,0,1.3333,FALSE
12,1,0,2,0,1,FALSE
7,16,3,5,0,3.3333,FALSE
9,2,1,1,0,1,FALSE
19,70,53,13,0.666667,1.4286,FALSE
12,65,3,11,0.5,7,FALSE
55,154,540,30,1,1.5574,FALSE
12,32,0,10,1,2,FALSE
0,2,0,0,0,0,FALSE
7,16,3,5,0,3,FALSE
17,88,56,15,0.909091,2.125,FALSE
13,5,10,3,0,1,TRUE
10,32,3,10,1,4.3333,TRUE
15,61,234,11,1,2.08,TRUE
37,144,1172,30,0.961538,1.8302,TRUE
13,35,20,13,1,1.5,TRUE
4,13,1,4,0,0.6667,TRUE
31,96,28,27,0,2.875,TRUE
34,52,60,12,1,2.8125,TRUE
38,108,39,37,0.5,2.2,TRUE
12,38,27,9,1,2,TRUE
28,87,150,26,0.727273,2.9167,TRUE
4,29,58,3,1,1.5625,TRUE
31,107,104,29,0.833333,3.5,TRUE
31,36,22,14,1,1.75,TRUE
23,33,7,5,1,2.3333,TRUE
14,16,0,14,1,3,TRUE
13,26,0,6,1,1.4,TRUE
7,16,4,6,1,1.5,TRUE
10,30,4,10,1,1.75,TRUE
20,62,0,20,1,1.625,TRUE
14,74,299,12,1,2.0333,TRUE
29,64,38,28,1,2.0833,TRUE
10,29,20,10,1,1.25,TRUE
