@relation velocityA-weka.filters.supervised.instance.Resample-B1.0-S1-Z137.882353

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
2,17,0.25,0.9,0.466667,1,2,TRUE
1,4,0.4,0,0.5,0,0,TRUE
1,46,2,0,1,0,0,TRUE
1,6,1.5,0,0.583333,0,0,TRUE
2,5,0.75,0.521739,0.461538,0,0,TRUE
1,19,0.761905,0,0.3125,0,0,TRUE
2,6,0.25,0.733333,0.45,0,0,TRUE
2,3,0.333333,0.558824,0.5,1,6,TRUE
1,6,0.878788,0,0.261905,0,0,TRUE
2,8,0.5,0.588235,0.375,0,0,TRUE
2,8,0.473684,0.5,0.316667,1,3,TRUE
1,6,0.666667,0,0.625,0,0,TRUE
2,6,2,0.875,0.75,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
1,15,0.738636,0,0.422222,0,0,TRUE
2,10,2,0.931034,0.416667,1,1,TRUE
2,26,0.333333,0.842105,0.5,1,1,TRUE
1,5,2,0,0.3125,0,0,TRUE
2,8,2,0.931034,0.416667,1,1,TRUE
2,8,2,0.933333,0.416667,1,1,TRUE
2,2,2,0.947368,0.833333,1,2,TRUE
1,5,0.4,0,0.388889,0,0,TRUE
2,8,0.25,0.571429,0.457143,0,0,TRUE
2,22,0.764423,0.7,0.253968,1,2,TRUE
2,4,0.75,0.636364,0.44,0,0,TRUE
1,6,2,0,0.5,0,0,TRUE
1,4,2,0,0.9,0,0,TRUE
1,13,1.333333,0,0.55,0,0,TRUE
2,11,2,0.903226,0.4,1,1,TRUE
1,6,0.8,0,0.227273,0,0,TRUE
1,5,2,0,0,0,0,TRUE
3,5,2,0.833333,0.8,2,5,TRUE
2,16,0.566667,0.848485,0.326531,1,1,TRUE
1,19,0.761905,0,0.3125,0,0,TRUE
2,6,0.166667,0.666667,0.5,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
4,4,0.75,0.75,0.333333,1,2,TRUE
2,1,0.673684,0.448276,0.324561,1,2,TRUE
2,5,2,0.931034,0.392857,0,0,TRUE
1,11,2,0,0.625,0,0,TRUE
